market,time,open,high,low,close,volume
ROSE-EUR,1741219200000,0.033931,0.033931,0.033931,0.033931,2000
ROSE-EUR,1741132800000,0.033588,0.034566,0.032627,0.033632,2274391.30995524
ROSE-EUR,1741046400000,0.033487,0.035009,0.030923,0.033842,5403588.47212472
ROSE-EUR,1740960000000,0.041364,0.041507,0.03425,0.037665,3970413.50961064
ROSE-EUR,1740873600000,0.037685,0.041663,0.036657,0.041219,3898387.38431655
ROSE-EUR,1740787200000,0.03801,0.038655,0.0365,0.037868,1827666.20075773
ROSE-EUR,1740700800000,0.03787,0.0385,0.0347,0.03785,6427849.98773504
ROSE-EUR,1740614400000,0.036961,0.038849,0.036822,0.03776,9390644.45753623
ROSE-EUR,1740528000000,0.036421,0.03791,0.035538,0.037136,5097299.07946134
ROSE-EUR,1740441600000,0.035124,0.036898,0.033209,0.036501,9964616.92090266
ROSE-EUR,1740355200000,0.040626,0.040626,0.034436,0.035128,5359350.79885273
ROSE-EUR,1740268800000,0.041295,0.041611,0.039845,0.040315,1388877.78846127
ROSE-EUR,1740182400000,0.039744,0.0417,0.039744,0.041367,2871107.85275526
ROSE-EUR,1740096000000,0.04365,0.044822,0.0393,0.039787,7187252.99418423
ROSE-EUR,1740009600000,0.040059,0.043991,0.040059,0.043465,4896563.0586999
ROSE-EUR,1739923200000,0.039388,0.040296,0.03864,0.039692,1116200.71474948
ROSE-EUR,1739836800000,0.040695,0.040954,0.03765,0.039314,3070547.31493661
ROSE-EUR,1739750400000,0.041408,0.042818,0.039572,0.040503,1174171.54924484
ROSE-EUR,1739664000000,0.042063,0.042622,0.040848,0.041213,2881812.31469821
ROSE-EUR,1739577600000,0.043014,0.043205,0.041045,0.041867,1485916.00291131
ROSE-EUR,1739491200000,0.041824,0.044007,0.041791,0.042957,3369713.32465254
ROSE-EUR,1739404800000,0.044598,0.044893,0.041249,0.041675,1516909.68631835
ROSE-EUR,1739318400000,0.04208,0.045151,0.040722,0.044612,3395795.73920598
ROSE-EUR,1739232000000,0.044228,0.046357,0.041328,0.04218,4619757.73080783
ROSE-EUR,1739145600000,0.041831,0.044547,0.040483,0.043496,4849423.93264008
ROSE-EUR,1739059200000,0.041468,0.043782,0.039831,0.041643,2673862.27328015
ROSE-EUR,1738972800000,0.038933,0.041922,0.038462,0.041449,5769369.46948605
ROSE-EUR,1738886400000,0.03842,0.042305,0.037898,0.039155,3973399.46650981
ROSE-EUR,1738800000000,0.040721,0.04133,0.037674,0.038245,6047064.17917488
ROSE-EUR,1738713600000,0.042675,0.042876,0.039748,0.040506,3873507.78853008
ROSE-EUR,1738627200000,0.04712,0.047393,0.041,0.042798,6592251.73084496
ROSE-EUR,1738540800000,0.046358,0.047772,0.033314,0.046836,17241254.85437383
ROSE-EUR,1738454400000,0.054538,0.055492,0.0442,0.046459,11105143.84221097
ROSE-EUR,1738368000000,0.059427,0.060313,0.054103,0.054764,2358294.11021595
ROSE-EUR,1738281600000,0.059104,0.062408,0.058235,0.059834,3158309.93271783
ROSE-EUR,1738195200000,0.055451,0.060213,0.055315,0.058749,3320955.00941607
ROSE-EUR,1738108800000,0.0545,0.058172,0.0543,0.055705,4422243.39433575
ROSE-EUR,1738022400000,0.059429,0.059539,0.054,0.054569,4838091.6627185
