market,time,open,high,low,close,volume
RVN-EUR,1741132800000,0.011825,0.012262,0.011658,0.011912,881997.09648016
RVN-EUR,1741046400000,0.011946,0.012001,0.010963,0.012001,2273930.61558315
RVN-EUR,1740960000000,0.013737,0.014285,0.011771,0.012164,4949055.55580575
RVN-EUR,1740873600000,0.012847,0.01435,0.012631,0.01427,4952999.28701027
RVN-EUR,1740787200000,0.012945,0.012975,0.01244,0.012835,1239577.66541722
RVN-EUR,1740700800000,0.012932,0.01303,0.0118,0.012973,1516668.01744487
RVN-EUR,1740614400000,0.012799,0.013239,0.012657,0.01293,205339.54563691
RVN-EUR,1740528000000,0.012827,0.013137,0.012381,0.012825,1068210.67049013
RVN-EUR,1740441600000,0.012662,0.013058,0.012244,0.013045,3678306.64808407
RVN-EUR,1740355200000,0.014248,0.014249,0.012454,0.012558,2158775.74753735
RVN-EUR,1740268800000,0.01434,0.014445,0.014087,0.014206,1089843.82893174
RVN-EUR,1740182400000,0.013814,0.014504,0.013724,0.014359,169140.29305084
RVN-EUR,1740096000000,0.013994,0.014799,0.013613,0.013778,2284239.68410347
RVN-EUR,1740009600000,0.013684,0.013982,0.013604,0.013945,1260917.2057956
RVN-EUR,1739923200000,0.013217,0.013772,0.013217,0.013521,242491.49600691
RVN-EUR,1739836800000,0.013502,0.01394,0.012845,0.013289,4608004.60543965
RVN-EUR,1739750400000,0.013871,0.01404,0.013109,0.013457,303712.24775615
RVN-EUR,1739664000000,0.014038,0.014228,0.01369,0.013797,357682.32811804
RVN-EUR,1739577600000,0.014302,0.014453,0.013886,0.013963,205208.00913697
RVN-EUR,1739491200000,0.014074,0.014504,0.013893,0.014277,1388687.91160434
RVN-EUR,1739404800000,0.014788,0.014788,0.013895,0.014115,769939.34049293
RVN-EUR,1739318400000,0.013883,0.014756,0.013462,0.014697,3769413.70021483
RVN-EUR,1739232000000,0.01425,0.014514,0.013678,0.013983,1658280.34133418
RVN-EUR,1739145600000,0.013795,0.014093,0.013199,0.013975,738164.39163111
RVN-EUR,1739059200000,0.01388,0.014191,0.013199,0.013199,3451106.61547787
RVN-EUR,1738972800000,0.013388,0.014074,0.013029,0.013951,1471280.1219391
RVN-EUR,1738886400000,0.013549,0.014439,0.012893,0.013227,3104159.31187164
RVN-EUR,1738800000000,0.014035,0.014268,0.013358,0.013438,1336232.92801402
RVN-EUR,1738713600000,0.01419,0.014621,0.013972,0.014018,3435655.79495127
RVN-EUR,1738627200000,0.015371,0.01544,0.013912,0.014222,2490727.43711567
RVN-EUR,1738540800000,0.0144,0.01538,0.012,0.015268,13301781.10921334
RVN-EUR,1738454400000,0.01636,0.016771,0.01408,0.014622,4085742.30816878
RVN-EUR,1738368000000,0.017704,0.017922,0.016358,0.016424,1057597.65180863
RVN-EUR,1738281600000,0.017454,0.018383,0.017215,0.017607,730153.61193929
RVN-EUR,1738195200000,0.016787,0.017794,0.016787,0.017551,2292096.877774
RVN-EUR,1738108800000,0.016629,0.01726,0.01637,0.017054,1005395.45519616
RVN-EUR,1738022400000,0.017261,0.017298,0.016168,0.016229,373848.12703111
RVN-EUR,1737936000000,0.0175,0.0175,0.016136,0.01717,1962222.87708091
RVN-EUR,1737849600000,0.017803,0.018265,0.017753,0.017759,511110.51480162
RVN-EUR,1737763200000,0.01742,0.017836,0.017321,0.017803,256891.45176142
RVN-EUR,1737676800000,0.018023,0.018206,0.017329,0.0176,3530569.07267195
RVN-EUR,1737590400000,0.018201,0.018275,0.017407,0.017937,2370246.1649415
RVN-EUR,1737504000000,0.018846,0.019079,0.018113,0.018329,2427923.81750632
RVN-EUR,1737417600000,0.017872,0.019,0.017515,0.018725,1681098.43973007
RVN-EUR,1737331200000,0.018456,0.019576,0.017269,0.018119,5240805.92439004
RVN-EUR,1737244800000,0.019848,0.02074,0.018381,0.018612,9426258.1143685
RVN-EUR,1737158400000,0.021179,0.021249,0.019522,0.019899,1514741.03713807
RVN-EUR,1737072000000,0.019987,0.021321,0.019917,0.021229,2082846.02813934
RVN-EUR,1736985600000,0.020034,0.020362,0.019537,0.019795,1888053.09039451
RVN-EUR,1736899200000,0.019092,0.020222,0.018858,0.020186,7104656.35798518
RVN-EUR,1736812800000,0.018328,0.019018,0.018328,0.018984,1160041.77581027
RVN-EUR,1736726400000,0.019363,0.019363,0.01722,0.01826,2304848.28420797
RVN-EUR,1736640000000,0.019248,0.019399,0.018814,0.018898,835917.16404679
RVN-EUR,1736553600000,0.01941,0.019527,0.018996,0.019226,174864.5861115
RVN-EUR,1736467200000,0.018844,0.01953,0.018844,0.019368,405190.03120973
RVN-EUR,1736380800000,0.019501,0.019524,0.018556,0.018829,1598093.50230007
RVN-EUR,1736294400000,0.019898,0.019955,0.018509,0.019488,2543668.2795754
RVN-EUR,1736208000000,0.022153,0.022211,0.019791,0.019791,3617213.22206235
RVN-EUR,1736121600000,0.022388,0.022752,0.021815,0.0221,2130453.36008007
RVN-EUR,1736035200000,0.022654,0.022751,0.021988,0.022334,669272.53741486
RVN-EUR,1735948800000,0.022636,0.022959,0.022188,0.02277,2150830.10676699
RVN-EUR,1735862400000,0.021294,0.022708,0.020932,0.022579,2472985.20851915
RVN-EUR,1735776000000,0.020084,0.021592,0.020084,0.02131,2822886.19373965
RVN-EUR,1735689600000,0.019551,0.020067,0.019167,0.019893,440676.72167101
RVN-EUR,1735603200000,0.019633,0.020263,0.019104,0.019558,690496.68811276
RVN-EUR,1735516800000,0.020227,0.020239,0.019,0.019709,3002875.77253342
RVN-EUR,1735430400000,0.020705,0.020916,0.0195,0.019558,1347131.67759821
RVN-EUR,1735344000000,0.020064,0.020899,0.019872,0.020821,991840.56648655
RVN-EUR,1735257600000,0.020105,0.02083,0.019819,0.019839,625897.61268537
RVN-EUR,1735171200000,0.021196,0.021196,0.01973,0.020012,2693836.31459176
RVN-EUR,1735084800000,0.021828,0.021954,0.020989,0.021249,1380366.53091251
RVN-EUR,1734998400000,0.020881,0.022045,0.020523,0.021876,2860553.23166931
RVN-EUR,1734912000000,0.019737,0.021178,0.019522,0.020907,1676413.39424182
RVN-EUR,1734825600000,0.019568,0.020519,0.019249,0.019674,2975061.60144755
RVN-EUR,1734739200000,0.020841,0.022143,0.019449,0.019703,1204512.23908882
RVN-EUR,1734652800000,0.020649,0.021398,0.017607,0.021025,8776493.30181985
RVN-EUR,1734566400000,0.021794,0.022458,0.019618,0.020559,6839710.84537579
RVN-EUR,1734480000000,0.024433,0.024629,0.021627,0.02179,4844306.95784829
RVN-EUR,1734393600000,0.025816,0.02629,0.024257,0.024405,2722820.51882909
RVN-EUR,1734307200000,0.026829,0.027713,0.02553,0.026113,4390311.86273462
RVN-EUR,1734220800000,0.025486,0.026921,0.024595,0.026824,809363.23955723
RVN-EUR,1734134400000,0.027131,0.027171,0.024906,0.025534,2464842.68583565
RVN-EUR,1734048000000,0.02712,0.027252,0.026041,0.02705,2742564.57815434
RVN-EUR,1733961600000,0.026328,0.027821,0.026328,0.026926,2321330.42822449
RVN-EUR,1733875200000,0.024115,0.026658,0.023128,0.026416,6154839.07024013
RVN-EUR,1733788800000,0.024718,0.025347,0.021846,0.02414,9067889.01375075
RVN-EUR,1733702400000,0.030936,0.030936,0.021734,0.024901,15792543.35975818
RVN-EUR,1733616000000,0.030204,0.031128,0.029586,0.030892,2271352.059992
RVN-EUR,1733529600000,0.031536,0.032175,0.03029,0.030526,4317855.24729475
RVN-EUR,1733443200000,0.03,0.032129,0.028877,0.031455,4346813.39367739
RVN-EUR,1733356800000,0.032549,0.032982,0.029724,0.030074,6810056.88625968
RVN-EUR,1733270400000,0.032203,0.033967,0.030509,0.032494,12553577.28688935
RVN-EUR,1733184000000,0.027296,0.033405,0.026633,0.032391,37987416.47598236
RVN-EUR,1733097600000,0.025476,0.02756,0.023959,0.027383,5643123.7762109
RVN-EUR,1733011200000,0.025178,0.026218,0.024578,0.025514,4642267.90581692
RVN-EUR,1732924800000,0.023865,0.02577,0.023779,0.025324,4491059.47277418
RVN-EUR,1732838400000,0.023079,0.024815,0.022696,0.024077,5494455.49013112
RVN-EUR,1732752000000,0.023049,0.023471,0.022396,0.023179,4247024.21597973
RVN-EUR,1732665600000,0.022162,0.02325,0.021998,0.023077,3099560.3159464
RVN-EUR,1732579200000,0.02316,0.024037,0.020917,0.021819,4325020.10296337
RVN-EUR,1732492800000,0.024648,0.024979,0.022529,0.023393,3760250.58059537
RVN-EUR,1732406400000,0.024189,0.02552,0.022363,0.02462,3828541.85738958
RVN-EUR,1732320000000,0.021762,0.02525,0.021762,0.024203,7256365.43169135
RVN-EUR,1732233600000,0.021506,0.022305,0.02084,0.02184,5815898.37128388
RVN-EUR,1732147200000,0.020277,0.021789,0.019795,0.021549,4153405.46419808
RVN-EUR,1732060800000,0.020828,0.021173,0.019781,0.020322,2936906.12039676
RVN-EUR,1731974400000,0.021949,0.022352,0.0205,0.021064,16844688.29955682
RVN-EUR,1731888000000,0.019452,0.023001,0.019452,0.02193,20864796.7791688
RVN-EUR,1731801600000,0.020851,0.02112,0.019167,0.019471,1921543.60857213
RVN-EUR,1731715200000,0.019615,0.021558,0.019535,0.020855,4100030.99991947
RVN-EUR,1731628800000,0.018557,0.01995,0.017919,0.019615,5650914.30685808
RVN-EUR,1731542400000,0.018803,0.019555,0.018153,0.018472,3935731.18280548
RVN-EUR,1731456000000,0.018911,0.020119,0.017315,0.018777,14731743.94022553
RVN-EUR,1731369600000,0.019216,0.020156,0.017483,0.018933,32492180.70327578
RVN-EUR,1731283200000,0.01855,0.01934,0.017954,0.019321,13305000.19285277
RVN-EUR,1731196800000,0.017464,0.019043,0.0172,0.018463,7267819.11575691
RVN-EUR,1731110400000,0.016746,0.01749,0.01657,0.017455,2063530.58319898
RVN-EUR,1731024000000,0.016783,0.01679,0.016261,0.016746,954066.40084206
RVN-EUR,1730937600000,0.016648,0.017086,0.016283,0.016526,1420094.42652568
RVN-EUR,1730851200000,0.01552,0.016686,0.015476,0.016509,2415383.67051948
RVN-EUR,1730764800000,0.01458,0.015427,0.01458,0.014914,678991.60016024
RVN-EUR,1730678400000,0.014695,0.014783,0.014168,0.014375,504944.87566085
RVN-EUR,1730592000000,0.015192,0.015192,0.014299,0.014729,3540782.94975064
RVN-EUR,1730505600000,0.015358,0.015468,0.015121,0.015209,368101.64748649
RVN-EUR,1730419200000,0.0154,0.015964,0.015088,0.015479,2962265.51876214
RVN-EUR,1730332800000,0.016646,0.016646,0.015424,0.015583,1590767.55673784
RVN-EUR,1730246400000,0.0168,0.017084,0.016424,0.016664,3130261.19857826
RVN-EUR,1730160000000,0.015894,0.01706,0.015894,0.016727,2752730.77428479
RVN-EUR,1730073600000,0.015745,0.016044,0.015262,0.015781,1126168.8783681
RVN-EUR,1729987200000,0.016188,0.016231,0.015608,0.01577,1168344.33516459
RVN-EUR,1729900800000,0.015971,0.016751,0.015788,0.016196,1786416.40183854
RVN-EUR,1729814400000,0.019546,0.019546,0.0155,0.016087,18818308.0575884
RVN-EUR,1729728000000,0.015596,0.0197,0.015513,0.01965,46265900.50689387
RVN-EUR,1729641600000,0.0162,0.0162,0.0151,0.01551,337927.2265127
RVN-EUR,1729555200000,0.016223,0.016338,0.015938,0.016315,591022.38084667
RVN-EUR,1729468800000,0.017058,0.017126,0.016085,0.01627,1080879.28240469
RVN-EUR,1729382400000,0.016396,0.017061,0.016011,0.017061,1591755.39587032
RVN-EUR,1729296000000,0.01583,0.016374,0.015657,0.016374,3254597.32239073
RVN-EUR,1729209600000,0.015104,0.01575,0.01501,0.01575,877758.41070849
RVN-EUR,1729123200000,0.015715,0.015814,0.014795,0.015096,837106.81270087
RVN-EUR,1729036800000,0.015624,0.015904,0.015474,0.015641,607173.05588253
RVN-EUR,1728950400000,0.016007,0.016097,0.015298,0.015774,532897.17247988
RVN-EUR,1728864000000,0.015367,0.016138,0.015286,0.016003,2215621.6022755
RVN-EUR,1728777600000,0.01521,0.015467,0.014762,0.015078,234571.69739103
RVN-EUR,1728691200000,0.015424,0.016,0.015424,0.015549,524608.60971351
RVN-EUR,1728604800000,0.014713,0.01587,0.014713,0.015529,2958388.52266148
RVN-EUR,1728518400000,0.014845,0.014845,0.014218,0.014531,812314.98421091
RVN-EUR,1728432000000,0.014854,0.015044,0.014648,0.014686,461769.52612012
RVN-EUR,1728345600000,0.015284,0.015347,0.014722,0.014891,513164.69941559
RVN-EUR,1728259200000,0.015359,0.01574,0.015213,0.015213,2009902.85371092
RVN-EUR,1728172800000,0.015069,0.015235,0.01504,0.015188,574848.55937112
RVN-EUR,1728086400000,0.015293,0.015316,0.014784,0.01497,810926.22036514
RVN-EUR,1728000000000,0.014635,0.015267,0.014635,0.015139,521741.10531277
RVN-EUR,1727913600000,0.014661,0.014977,0.014188,0.014451,726725.48649247
RVN-EUR,1727827200000,0.014835,0.015512,0.014391,0.014611,1996167.89569436
RVN-EUR,1727740800000,0.01629,0.016748,0.014583,0.014804,4624341.18507042
RVN-EUR,1727654400000,0.017084,0.017084,0.01575,0.015889,183104.00241351
RVN-EUR,1727568000000,0.0167,0.017238,0.016412,0.017105,368277.08478221
RVN-EUR,1727481600000,0.017245,0.017261,0.016698,0.016859,608961.25138698
RVN-EUR,1727395200000,0.016713,0.017232,0.016623,0.01722,841307.37180047
RVN-EUR,1727308800000,0.015988,0.016714,0.015841,0.016643,2488222.79581694
