market,time,open,high,low,close,volume
S-USDC,1741132800000,0.54712,0.60227,0.54409,0.57533,153161.88424685
S-USDC,1741046400000,0.55,0.58587,0.49607,0.53417,170967.1272716
S-USDC,1740960000000,0.71942,0.73857,0.60157,0.60157,45541.73
S-USDC,1740873600000,0.7341,0.77697,0.72038,0.76079,89335.6886898
S-USDC,1740787200000,0.74005,0.7578,0.66991,0.72494,138977.58157482
S-USDC,1740700800000,0.6918,0.6918,0.61513,0.67203,100483.43
S-USDC,1740614400000,0.73284,0.74638,0.68925,0.69288,41250.28217482
S-USDC,1740528000000,0.75427,0.75731,0.67166,0.71821,76262.31698723
S-USDC,1740441600000,0.79024,0.79024,0.67884,0.77057,233518.2164447
S-USDC,1740355200000,0.86803,0.91105,0.79475,0.83834,151727.45311281
S-USDC,1740268800000,0.81747,0.85773,0.80282,0.85773,66087.84234916
S-USDC,1740182400000,0.85402,0.89363,0.79,0.80882,152165.84518281
S-USDC,1740096000000,0.88512,0.98599,0.83239,0.84991,425872.654541
S-USDC,1740009600000,0.70608,0.89688,0.69691,0.85893,219456.04588809
S-USDC,1739923200000,0.60363,0.7343,0.59415,0.71064,226180.72146999
S-USDC,1739836800000,0.60283,0.62904,0.56583,0.58731,73960.0838789
S-USDC,1739750400000,0.53721,0.6221,0.53721,0.60509,117076.52082792
S-USDC,1739664000000,0.5135,0.53535,0.50874,0.52867,55786.56
S-USDC,1739577600000,0.54348,0.5605,0.51357,0.51357,8550.378
S-USDC,1739491200000,0.54714,0.55787,0.54209,0.5559,75071.24759612
S-USDC,1739404800000,0.55187,0.58048,0.52969,0.53598,54206.91051088
S-USDC,1739318400000,0.45956,0.5582,0.45956,0.54719,111593.61808534
S-USDC,1739232000000,0.44569,0.47791,0.44569,0.45016,95316.77
S-USDC,1739145600000,0.40096,0.44492,0.40023,0.44492,71531.083
S-USDC,1739059200000,0.4138,0.4176,0.40015,0.40015,38725.07
S-USDC,1738972800000,0.39978,0.41243,0.37884,0.41193,120202.862
S-USDC,1738886400000,0.43055,0.44951,0.38749,0.39195,65853.88082724
S-USDC,1738800000000,0.43625,0.47401,0.42772,0.43034,129422.77982724
S-USDC,1738713600000,0.43003,0.45836,0.42674,0.43361,108052.82
S-USDC,1738627200000,0.474,0.474,0.4152,0.42047,163469.81
S-USDC,1738540800000,0.45559,0.47425,0.3233,0.47183,325361.07997404
S-USDC,1738454400000,0.5039,0.51127,0.42851,0.4584,68646.17740625
S-USDC,1738368000000,0.56094,0.56094,0.50279,0.50279,40531.18
S-USDC,1738281600000,0.52184,0.60121,0.50517,0.55633,143188.40936327
S-USDC,1738195200000,0.50448,0.53325,0.50202,0.51713,133788.87
S-USDC,1738108800000,0.446,0.49573,0.446,0.49102,53884.29185889
S-USDC,1738022400000,0.48665,0.48665,0.44909,0.44909,28261.08
S-USDC,1737936000000,0.513,0.513,0.46028,0.49277,78815.12195209
S-USDC,1737849600000,0.5417,0.55096,0.51985,0.51985,19050.293
S-USDC,1737763200000,0.53478,0.54263,0.53478,0.54263,7918.17
S-USDC,1737676800000,0.56042,0.57309,0.53106,0.53541,58902.57286225
S-USDC,1737590400000,0.57627,0.585,0.57627,0.585,954.5134842
S-USDC,1737504000000,0.6403,0.6403,0.6403,0.6403,1569.5659283
S-USDC,1737417600000,0.51201,0.63236,0.51201,0.56658,82640.48488959
S-USDC,1737331200000,0.55867,0.59198,0.51608,0.52249,186607.60361155
S-USDC,1737244800000,0.65023,0.65101,0.54745,0.55664,256540.2612789
S-USDC,1737158400000,0.78223,0.78226,0.66521,0.67,63537.12540001
S-USDC,1737072000000,0.78603,0.79145,0.76887,0.77505,45297.04820872
