market,time,open,high,low,close,volume
SAFE-EUR,1741132800000,0.44406,0.45107,0.43643,0.44443,56739.51471032
SAFE-EUR,1741046400000,0.43047,0.45491,0.42586,0.43203,61388.39729771
SAFE-EUR,1740960000000,0.49609,0.52296,0.44993,0.46112,125726.03988775
SAFE-EUR,1740873600000,0.47578,0.52703,0.47135,0.50414,216305.28201363
SAFE-EUR,1740787200000,0.47569,0.51506,0.47267,0.47783,89115.62791896
SAFE-EUR,1740700800000,0.54934,0.56549,0.48492,0.51034,344868.0421322
SAFE-EUR,1740614400000,0.44227,0.66519,0.44227,0.55028,1843362.96181179
SAFE-EUR,1740528000000,0.48514,0.4937,0.42024,0.44928,589889.38528454
SAFE-EUR,1740441600000,0.46783,0.48386,0.44495,0.47949,15858.90997547
SAFE-EUR,1740355200000,0.52607,0.52607,0.46994,0.46994,4240.50268908
SAFE-EUR,1740268800000,0.52967,0.54241,0.51943,0.52256,2916.64369177
SAFE-EUR,1740182400000,0.50041,0.54173,0.49881,0.53285,35591.14432711
SAFE-EUR,1740096000000,0.56015,0.58845,0.49528,0.50233,73999.52061297
SAFE-EUR,1740009600000,0.55364,0.55688,0.54166,0.55688,2036.52751637
SAFE-EUR,1739923200000,0.55089,0.57667,0.55031,0.55124,5468.33072106
SAFE-EUR,1739836800000,0.57754,0.5789,0.54112,0.54774,3674.04466013
SAFE-EUR,1739750400000,0.57986,0.6,0.5711,0.57856,5077.84400301
SAFE-EUR,1739664000000,0.57326,0.60598,0.57326,0.58192,22383.96080066
SAFE-EUR,1739577600000,0.58817,0.58817,0.57431,0.57431,2005.72156642
SAFE-EUR,1739491200000,0.58923,0.60681,0.58095,0.59196,1964.3457911
SAFE-EUR,1739404800000,0.64922,0.64922,0.59476,0.6023,77434.64563925
SAFE-EUR,1739318400000,0.5596,0.77103,0.54324,0.66008,620813.04633067
SAFE-EUR,1739232000000,0.59721,0.59989,0.55472,0.55514,1940.4180509
SAFE-EUR,1739145600000,0.56489,0.57153,0.5581,0.56494,403.79998695
SAFE-EUR,1739059200000,0.56953,0.5741,0.53898,0.56007,1654.42048574
SAFE-EUR,1738972800000,0.53673,0.57793,0.53394,0.57383,4785.28606898
SAFE-EUR,1738886400000,0.52707,0.55956,0.51481,0.5267,5914.43325098
SAFE-EUR,1738800000000,0.55678,0.56675,0.51937,0.52598,37389.8270709
SAFE-EUR,1738713600000,0.59099,0.59853,0.54921,0.55535,21372.65278508
SAFE-EUR,1738627200000,0.63272,0.63272,0.57088,0.57088,41305.36238769
SAFE-EUR,1738540800000,0.57938,0.64501,0.47582,0.63698,89709.8492544
SAFE-EUR,1738454400000,0.71629,0.71629,0.59082,0.60532,97728.82833859
SAFE-EUR,1738368000000,0.77417,0.78418,0.71207,0.71726,37955.6696798
SAFE-EUR,1738281600000,0.77476,0.79858,0.76294,0.77095,30752.78374928
SAFE-EUR,1738195200000,0.76177,0.77888,0.76177,0.77657,4845.66136186
SAFE-EUR,1738108800000,0.73412,0.76295,0.72607,0.74619,10836.85413362
SAFE-EUR,1738022400000,0.75966,0.76998,0.72327,0.73114,1392.30081397
SAFE-EUR,1737936000000,0.75,0.7637,0.70845,0.75825,8503.26516422
SAFE-EUR,1737849600000,0.78678,0.86401,0.78678,0.79515,29213.53103729
SAFE-EUR,1737763200000,0.75829,0.78555,0.7577,0.77324,957.73959868
SAFE-EUR,1737676800000,0.78354,0.79666,0.76194,0.76194,4569.32895811
SAFE-EUR,1737590400000,0.79613,0.79613,0.75938,0.76285,893.14238226
SAFE-EUR,1737504000000,0.80167,0.82914,0.79431,0.80124,10666.55802341
SAFE-EUR,1737417600000,0.80009,0.82944,0.77615,0.80742,25707.68876899
SAFE-EUR,1737331200000,0.8141,0.87578,0.79389,0.81332,64092.05787363
SAFE-EUR,1737244800000,0.90845,0.90845,0.80668,0.82587,23415.64630922
SAFE-EUR,1737158400000,0.95778,0.96043,0.87262,0.88096,28513.7090708
SAFE-EUR,1737072000000,0.94774,0.96052,0.9435,0.95766,8734.47445489
SAFE-EUR,1736985600000,0.94427,0.96425,0.93594,0.93656,4718.94705578
SAFE-EUR,1736899200000,0.92339,0.96393,0.91129,0.95474,3675.14187043
SAFE-EUR,1736812800000,0.88765,0.93616,0.88765,0.92715,13728.17420648
SAFE-EUR,1736726400000,0.92406,0.92406,0.84075,0.88219,7191.08225805
SAFE-EUR,1736640000000,0.97849,0.97849,0.92105,0.92861,1703.4264161
SAFE-EUR,1736553600000,0.9949,1.001,0.95295,0.96501,6641.8744904
SAFE-EUR,1736467200000,0.9188,1.09,0.9188,0.98845,301960.67787743
SAFE-EUR,1736380800000,0.9376,0.95445,0.89612,0.89612,2201.34937597
SAFE-EUR,1736294400000,0.98607,0.98607,0.902,0.9497,3811.1992363
SAFE-EUR,1736208000000,1.0391,1.0882,0.98184,0.9945,91633.58059021
SAFE-EUR,1736121600000,1.031,1.0337,1.0092,1.0126,5674.2606429
SAFE-EUR,1736035200000,1.0431,1.0432,1.0162,1.0279,3915.37851814
SAFE-EUR,1735948800000,1.0365,1.0612,1.0327,1.0383,13048.67406192
SAFE-EUR,1735862400000,1.0116,1.0364,0.98863,1.0353,18324.00712178
SAFE-EUR,1735776000000,0.98237,1.0239,0.98042,1.0134,32665.41479391
SAFE-EUR,1735689600000,0.95748,0.98903,0.94419,0.98042,3409.13295636
SAFE-EUR,1735603200000,0.93792,0.97553,0.93661,0.94755,3902.73337342
SAFE-EUR,1735516800000,0.9793,0.99749,0.94531,0.95352,11705.44206825
SAFE-EUR,1735430400000,0.99279,1.0192,0.95812,0.97425,17548.31260355
SAFE-EUR,1735344000000,0.9836,0.98569,0.94155,0.98523,5153.21402089
SAFE-EUR,1735257600000,1.0121,1.0413,0.97974,0.98145,9029.4832603
SAFE-EUR,1735171200000,1.1108,1.1413,1.0123,1.0198,11257.29096081
SAFE-EUR,1735084800000,1.04,1.1342,1.0399,1.1175,18843.0150588
SAFE-EUR,1734998400000,1.0368,1.0435,1.0098,1.038,43982.08711612
