market,time,open,high,low,close,volume
SAND-EUR,1741132800000,0.28592,0.2935,0.28082,0.28626,357968.60520648
SAND-EUR,1741046400000,0.28639,0.28983,0.26469,0.27742,433752.54599815
SAND-EUR,1740960000000,0.34409,0.35195,0.28278,0.29524,820266.21148614
SAND-EUR,1740873600000,0.30601,0.35236,0.30141,0.34337,830773.52027515
SAND-EUR,1740787200000,0.30883,0.3101,0.29743,0.3014,87715.93908481
SAND-EUR,1740700800000,0.3,0.31172,0.27502,0.30889,862549.86201248
SAND-EUR,1740614400000,0.29284,0.31305,0.29284,0.30132,1293968.45851382
SAND-EUR,1740528000000,0.29064,0.30099,0.28164,0.29321,632683.28068566
SAND-EUR,1740441600000,0.29474,0.29746,0.26757,0.2928,2941972.98579298
SAND-EUR,1740355200000,0.33634,0.33634,0.28542,0.29157,1053642.08965434
SAND-EUR,1740268800000,0.34028,0.34402,0.33,0.33485,134582.53320551
SAND-EUR,1740182400000,0.33345,0.34573,0.33345,0.34119,233018.3102267
SAND-EUR,1740096000000,0.35577,0.37369,0.32874,0.33444,516379.04282455
SAND-EUR,1740009600000,0.34869,0.3587,0.34777,0.35771,224738.71332184
SAND-EUR,1739923200000,0.34433,0.35462,0.33688,0.35036,284541.57043862
SAND-EUR,1739836800000,0.37456,0.3752,0.33496,0.34328,290088.9116578
SAND-EUR,1739750400000,0.37389,0.3929,0.36636,0.37321,127128.35284888
SAND-EUR,1739664000000,0.37772,0.38448,0.37067,0.37377,70966.1611283
SAND-EUR,1739577600000,0.38739,0.39153,0.37587,0.37738,57700.78633943
SAND-EUR,1739491200000,0.37804,0.39518,0.37634,0.38681,174541.51614358
SAND-EUR,1739404800000,0.38966,0.38966,0.37082,0.37507,260015.25398036
SAND-EUR,1739318400000,0.37676,0.39503,0.36118,0.3889,343329.5536496
SAND-EUR,1739232000000,0.38363,0.40451,0.37179,0.37782,199607.46856222
SAND-EUR,1739145600000,0.36824,0.38745,0.35288,0.38098,395273.4789117
SAND-EUR,1739059200000,0.37686,0.3867,0.35138,0.36188,246414.09419408
SAND-EUR,1738972800000,0.35818,0.3787,0.35547,0.37648,163950.28403767
SAND-EUR,1738886400000,0.35664,0.38698,0.34768,0.35767,377397.72863056
SAND-EUR,1738800000000,0.37674,0.38538,0.354,0.35653,186238.20856451
SAND-EUR,1738713600000,0.38668,0.39959,0.37129,0.37379,412614.20178084
SAND-EUR,1738627200000,0.41969,0.42536,0.375,0.38563,738931.16693622
SAND-EUR,1738540800000,0.39735,0.42429,0.29871,0.41853,1927898.52858005
SAND-EUR,1738454400000,0.46925,0.47831,0.37889,0.39933,948154.31837726
SAND-EUR,1738368000000,0.5084,0.51257,0.46619,0.47022,242147.65919161
SAND-EUR,1738281600000,0.51329,0.53106,0.50277,0.50757,138688.44253196
SAND-EUR,1738195200000,0.49245,0.52354,0.488,0.51279,348550.74842149
SAND-EUR,1738108800000,0.46957,0.50915,0.46957,0.49665,207441.66603513
SAND-EUR,1738022400000,0.49917,0.51178,0.46525,0.47058,122711.2228226
