market,time,open,high,low,close,volume
SEI-EUR,1741132800000,0.20934,0.22058,0.20625,0.21646,3107112.29860253
SEI-EUR,1741046400000,0.21791,0.21791,0.19379,0.21273,13944149.41997791
SEI-EUR,1740960000000,0.25714,0.26018,0.21566,0.21828,5564541.13811446
SEI-EUR,1740873600000,0.24119,0.26417,0.23372,0.25986,4703503.91849588
SEI-EUR,1740787200000,0.24728,0.25029,0.23463,0.23763,1532948.27738372
SEI-EUR,1740700800000,0.24618,0.24726,0.22291,0.24099,5195753.43224614
SEI-EUR,1740614400000,0.25643,0.26046,0.24488,0.24708,2341552.89330064
SEI-EUR,1740528000000,0.26262,0.27448,0.24756,0.25678,8249811.35215607
SEI-EUR,1740441600000,0.25597,0.27058,0.23424,0.26266,12507347.43282204
SEI-EUR,1740355200000,0.2681,0.27905,0.24565,0.25605,12034305.24448555
SEI-EUR,1740268800000,0.2668,0.27277,0.25691,0.26801,2397264.26794282
SEI-EUR,1740182400000,0.24386,0.27833,0.24209,0.26741,5894049.16810512
SEI-EUR,1740096000000,0.25307,0.27175,0.23836,0.24386,7304339.61115482
SEI-EUR,1740009600000,0.22276,0.26054,0.21997,0.25299,7297271.18473547
SEI-EUR,1739923200000,0.21182,0.22793,0.20948,0.22176,1370268.89823058
SEI-EUR,1739836800000,0.22013,0.22129,0.20513,0.21111,1662434.2716469
SEI-EUR,1739750400000,0.22433,0.23012,0.21727,0.22032,914925.92212021
SEI-EUR,1739664000000,0.22681,0.2305,0.22091,0.223,252860.76588176
SEI-EUR,1739577600000,0.23023,0.23338,0.22547,0.22691,290820.79597404
SEI-EUR,1739491200000,0.2242,0.23849,0.22409,0.23163,1695911.11825031
SEI-EUR,1739404800000,0.23214,0.23611,0.21915,0.22325,825263.55461007
SEI-EUR,1739318400000,0.21972,0.2366,0.20932,0.23232,2068523.58274239
SEI-EUR,1739232000000,0.22729,0.24,0.21714,0.21995,1457262.00969546
SEI-EUR,1739145600000,0.221,0.23152,0.21058,0.2258,1519103.02091924
SEI-EUR,1739059200000,0.22175,0.22516,0.20853,0.21867,1209047.24076086
SEI-EUR,1738972800000,0.20949,0.22232,0.20893,0.22151,724671.32934522
SEI-EUR,1738886400000,0.21174,0.22909,0.20416,0.21079,1494258.44931276
SEI-EUR,1738800000000,0.22505,0.23353,0.20877,0.20927,2515960.8482278
SEI-EUR,1738713600000,0.234,0.23774,0.22163,0.22351,1255811.8406762
SEI-EUR,1738627200000,0.25009,0.2515,0.22367,0.23508,2106466.15727723
SEI-EUR,1738540800000,0.24737,0.25156,0.1875,0.25098,6090777.25881465
SEI-EUR,1738454400000,0.28818,0.29504,0.23785,0.24894,3651063.85574178
SEI-EUR,1738368000000,0.31935,0.32361,0.28707,0.28954,980586.55450713
SEI-EUR,1738281600000,0.31983,0.3339,0.31233,0.32174,1769470.95445487
SEI-EUR,1738195200000,0.29315,0.32242,0.29315,0.31807,1417471.05801323
SEI-EUR,1738108800000,0.28014,0.30436,0.28,0.29295,2545564.47935471
SEI-EUR,1738022400000,0.30491,0.30747,0.27945,0.28275,1751490.11137941
SEI-EUR,1737936000000,0.3225,0.32292,0.28413,0.3052,3880849.95589203
SEI-EUR,1737849600000,0.32993,0.34382,0.323,0.32329,989283.84903749
SEI-EUR,1737763200000,0.323,0.33457,0.31862,0.3303,813241.57069734
SEI-EUR,1737676800000,0.32673,0.34385,0.31529,0.32408,1348426.32264539
SEI-EUR,1737590400000,0.3325,0.33915,0.319,0.33041,1615508.04095432
SEI-EUR,1737504000000,0.34687,0.34725,0.3329,0.3335,864953.26560363
SEI-EUR,1737417600000,0.33437,0.35676,0.3224,0.34536,1961881.88191439
SEI-EUR,1737331200000,0.33654,0.37476,0.32354,0.33576,4479015.54380626
SEI-EUR,1737244800000,0.38118,0.38828,0.33164,0.33818,3726568.70941962
SEI-EUR,1737158400000,0.41207,0.42069,0.37274,0.38232,1895833.81264089
SEI-EUR,1737072000000,0.39213,0.41596,0.39137,0.41178,2001606.17841361
SEI-EUR,1736985600000,0.39337,0.40537,0.37955,0.39282,2703164.53433168
SEI-EUR,1736899200000,0.36667,0.39484,0.35608,0.39336,2186871.26834071
SEI-EUR,1736812800000,0.35537,0.37269,0.35389,0.36553,2969694.09359457
SEI-EUR,1736726400000,0.37383,0.38303,0.33222,0.35526,2473900.15928832
SEI-EUR,1736640000000,0.37912,0.38329,0.36745,0.37363,631112.23454454
SEI-EUR,1736553600000,0.38131,0.3871,0.37185,0.3802,1315344.90156243
SEI-EUR,1736467200000,0.36565,0.38389,0.36292,0.38057,1371840.61717284
SEI-EUR,1736380800000,0.3827,0.38846,0.35668,0.36377,1755774.20992509
