market,time,open,high,low,close,volume
SEI-USDC,1741046400000,0.22559,0.22559,0.21493,0.21753,26860.2
SEI-USDC,1740700800000,0.24741,0.24741,0.24741,0.24741,62.60460251
SEI-USDC,1740528000000,0.28799,0.28799,0.27105,0.27105,12826.60025094
SEI-USDC,1740441600000,0.2488,0.27957,0.2488,0.27957,42099.05670493
SEI-USDC,1740355200000,0.27547,0.29099,0.26599,0.26599,40730.91599997
SEI-USDC,1740268800000,0.27147,0.27947,0.27109,0.27947,9234
SEI-USDC,1740182400000,0.26975,0.28265,0.26975,0.28265,14006.4
SEI-USDC,1740096000000,0.27703,0.27724,0.26187,0.26187,8218.996
SEI-USDC,1740009600000,0.24418,0.27126,0.24418,0.26855,16444.64728304
SEI-USDC,1739836800000,0.227,0.227,0.22355,0.22355,2640.35698574
SEI-USDC,1739750400000,0.23535,0.24157,0.23307,0.23307,5614.02474576
SEI-USDC,1739318400000,0.22901,0.22901,0.22768,0.22768,19613.3
SEI-USDC,1739145600000,0.22904,0.23483,0.22904,0.23483,13567.12648192
SEI-USDC,1738972800000,0.21823,0.22569,0.21807,0.22569,1976.236
SEI-USDC,1738886400000,0.22575,0.2373,0.21713,0.21713,1766.450861
SEI-USDC,1738800000000,0.23994,0.24052,0.22134,0.22251,19367.057
SEI-USDC,1738540800000,0.21582,0.25223,0.20097,0.25223,160820.75986485
SEI-USDC,1738454400000,0.24915,0.2555,0.24915,0.2555,2425.78362958
SEI-USDC,1738368000000,0.32708,0.33048,0.32708,0.33048,1828.23651049
SEI-USDC,1738281600000,0.32585,0.3459,0.32585,0.33733,5550.23448775
SEI-USDC,1738195200000,0.33124,0.33124,0.33124,0.33124,26.49207035
SEI-USDC,1738108800000,0.30316,0.30316,0.2946,0.2946,8331.7
SEI-USDC,1737936000000,0.30433,0.32,0.30433,0.32,2973.4
SEI-USDC,1737676800000,0.35058,0.35343,0.35058,0.35343,3679.5
SEI-USDC,1737417600000,0.34425,0.3662,0.33973,0.3662,61285.92
SEI-USDC,1737331200000,0.34352,0.38784,0.3325,0.35475,22880.62167013
SEI-USDC,1737244800000,0.37787,0.38747,0.35587,0.35744,22695.269
SEI-USDC,1737158400000,0.43183,0.43183,0.39752,0.39752,4107.7
SEI-USDC,1737072000000,0.41555,0.42712,0.4152,0.42712,6170.11149181
SEI-USDC,1736985600000,0.40821,0.41587,0.4066,0.41092,11876.53
SEI-USDC,1736899200000,0.37313,0.3963,0.37313,0.39573,8733.7
SEI-USDC,1736812800000,0.36883,0.37833,0.36883,0.37775,9232.1
SEI-USDC,1736726400000,0.35395,0.35395,0.34264,0.34264,3743.44747592
SEI-USDC,1736640000000,0.38563,0.3908,0.38134,0.38134,26490.545
SEI-USDC,1736553600000,0.38929,0.38931,0.38929,0.38931,4724.58
SEI-USDC,1736467200000,0.38456,0.39238,0.37779,0.39022,11891.68253045
SEI-USDC,1736380800000,0.3713,0.38698,0.3713,0.37609,6742.5
SEI-USDC,1736294400000,0.39299,0.39751,0.3841,0.38908,47325.485
SEI-USDC,1736208000000,0.46531,0.46531,0.41532,0.41532,43475.06772111
SEI-USDC,1736121600000,0.45836,0.47442,0.45163,0.46169,19774.277
SEI-USDC,1736035200000,0.46504,0.46825,0.4517,0.46051,4563.90106959
SEI-USDC,1735948800000,0.45243,0.47586,0.45243,0.47443,33885.884
SEI-USDC,1735862400000,0.43119,0.46,0.42156,0.45539,15810.24593902
SEI-USDC,1735776000000,0.42483,0.43734,0.4229,0.42887,20871.8522468
SEI-USDC,1735689600000,0.39331,0.42045,0.39268,0.42014,5795.962
SEI-USDC,1735603200000,0.4008,0.40468,0.4008,0.40468,2996.2
SEI-USDC,1735516800000,0.4096,0.4191,0.40182,0.40182,8016.47
SEI-USDC,1735430400000,0.42556,0.42556,0.40819,0.40819,269.80147261
SEI-USDC,1735344000000,0.42474,0.42474,0.42474,0.42474,1927.4
SEI-USDC,1735257600000,0.42703,0.43966,0.41366,0.4164,124736.393
SEI-USDC,1735171200000,0.44101,0.44101,0.41803,0.42214,33428.71000233
SEI-USDC,1735084800000,0.45964,0.46311,0.44852,0.45587,17919.426
SEI-USDC,1734998400000,0.45526,0.47671,0.44761,0.4682,106252.78797058
SEI-USDC,1734912000000,0.4271,0.46037,0.42681,0.46037,11654.741
SEI-USDC,1734825600000,0.43452,0.43588,0.41396,0.42493,16767.07106516
SEI-USDC,1734739200000,0.44657,0.47764,0.41636,0.42469,26168.83
SEI-USDC,1734652800000,0.43895,0.43895,0.37141,0.43181,72487.992
SEI-USDC,1734566400000,0.44654,0.48295,0.4188,0.44211,192061.645
SEI-USDC,1734480000000,0.52961,0.52961,0.46275,0.49113,183142.52558993
SEI-USDC,1734393600000,0.55913,0.56979,0.53721,0.53721,12646.28648115
SEI-USDC,1734307200000,0.59685,0.61177,0.56107,0.57428,80274.7816719
SEI-USDC,1734220800000,0.56692,0.59939,0.56692,0.59304,15013.478
SEI-USDC,1734134400000,0.60461,0.60461,0.5617,0.56444,24280.63
SEI-USDC,1734048000000,0.59432,0.61324,0.5905,0.60009,77047.25866723
SEI-USDC,1733961600000,0.6225,0.63592,0.60408,0.60778,66844.02165376
