market,time,open,high,low,close,volume
SLF-EUR,1741219200000,0.21032,0.21032,0.21032,0.21032,2153.9
SLF-EUR,1741132800000,0.20398,0.22852,0.2003,0.20135,437496.60356278
SLF-EUR,1741046400000,0.22675,0.24106,0.18432,0.20716,442324.38689931
SLF-EUR,1740960000000,0.23328,0.25999,0.2268,0.23604,889099.45226021
SLF-EUR,1740873600000,0.23266,0.24616,0.21549,0.23437,454301.02062778
SLF-EUR,1740787200000,0.20757,0.23754,0.20542,0.22314,590709.62164063
SLF-EUR,1740700800000,0.21625,0.22054,0.19982,0.21611,251184.59314237
SLF-EUR,1740614400000,0.19775,0.24137,0.19489,0.21574,1463143.00540712
SLF-EUR,1740528000000,0.19616,0.20147,0.18861,0.19712,196151.5391994
SLF-EUR,1740441600000,0.19344,0.21049,0.18233,0.19794,246864.71150154
SLF-EUR,1740355200000,0.21845,0.21898,0.19,0.19416,73538.07781351
SLF-EUR,1740268800000,0.22683,0.22957,0.21888,0.21994,79807.49165411
SLF-EUR,1740182400000,0.22036,0.23287,0.21992,0.22484,68817.15875339
SLF-EUR,1740096000000,0.23676,0.24011,0.22247,0.22248,153183.83480185
SLF-EUR,1740009600000,0.21183,0.23943,0.21021,0.23574,275617.49954447
SLF-EUR,1739923200000,0.22519,0.23476,0.21114,0.21208,152521.80859101
SLF-EUR,1739836800000,0.2298,0.2606,0.21845,0.22497,1922137.1410027
SLF-EUR,1739750400000,0.20457,0.23081,0.19768,0.2302,1117292.68911864
SLF-EUR,1739664000000,0.20252,0.2455,0.19527,0.20445,965281.18669386
SLF-EUR,1739577600000,0.20634,0.21468,0.1952,0.20235,867249.66553839
SLF-EUR,1739491200000,0.23772,0.253,0.19597,0.20576,6541933.09305575
SLF-EUR,1739404800000,0.18416,0.27628,0.17756,0.23598,3434091.80307965
SLF-EUR,1739318400000,0.17919,0.1859,0.1758,0.18527,78149.1008451
SLF-EUR,1739232000000,0.1928,0.19551,0.18235,0.18332,24047.90094831
SLF-EUR,1739145600000,0.18322,0.19562,0.18069,0.18777,26555.18591114
SLF-EUR,1739059200000,0.19346,0.19346,0.18126,0.18331,54059.75023077
SLF-EUR,1738972800000,0.17971,0.18861,0.1741,0.18523,47151.81251846
SLF-EUR,1738886400000,0.17643,0.18668,0.17194,0.1784,62328.68627478
SLF-EUR,1738800000000,0.18837,0.20658,0.17171,0.17171,158788.2645644
SLF-EUR,1738713600000,0.18711,0.19274,0.1815,0.18615,84459.14860286
SLF-EUR,1738627200000,0.1948,0.1948,0.18277,0.18528,57268.13765206
SLF-EUR,1738540800000,0.19025,0.19869,0.15037,0.19869,87189.1917133
SLF-EUR,1738454400000,0.21774,0.21915,0.18846,0.19357,87811.56853079
SLF-EUR,1738368000000,0.23465,0.23465,0.21532,0.2167,62544.83116313
SLF-EUR,1738281600000,0.22481,0.23628,0.22463,0.22958,14124.41065274
SLF-EUR,1738195200000,0.22304,0.22896,0.22245,0.2272,65192.84783537
SLF-EUR,1738108800000,0.21687,0.22952,0.21687,0.22551,11670.75898307
SLF-EUR,1738022400000,0.22909,0.23224,0.21547,0.21788,44482.94584584
SLF-EUR,1737936000000,0.22438,0.24708,0.20938,0.23248,448984.22493297
SLF-EUR,1737849600000,0.23464,0.23644,0.22324,0.22324,44225.58752076
SLF-EUR,1737763200000,0.22346,0.24003,0.21997,0.23707,119988.94816369
SLF-EUR,1737676800000,0.22979,0.23652,0.22463,0.22463,44446.26997007
SLF-EUR,1737590400000,0.22854,0.25157,0.22505,0.23761,237777.95106716
SLF-EUR,1737504000000,0.23741,0.23976,0.22812,0.23259,59504.69829954
SLF-EUR,1737417600000,0.22384,0.24222,0.21514,0.23641,180529.3767952
SLF-EUR,1737331200000,0.23663,0.24948,0.22467,0.22516,134305.83713268
SLF-EUR,1737244800000,0.26614,0.2683,0.2368,0.23714,658115.65060829
SLF-EUR,1737158400000,0.27735,0.28025,0.25823,0.26673,610294.40435514
SLF-EUR,1737072000000,0.27355,0.2796,0.26527,0.27775,103471.62029587
SLF-EUR,1736985600000,0.26826,0.27607,0.25689,0.2659,38849.52448861
SLF-EUR,1736899200000,0.26022,0.27287,0.24899,0.27179,84417.9629108
SLF-EUR,1736812800000,0.25179,0.26588,0.25178,0.25987,52629.59000896
SLF-EUR,1736726400000,0.26685,0.26685,0.23652,0.25357,200975.790418
SLF-EUR,1736640000000,0.26497,0.27678,0.2579,0.2579,416900.42670728
SLF-EUR,1736553600000,0.2644,0.27021,0.26062,0.2689,63796.37477129
SLF-EUR,1736467200000,0.26671,0.27794,0.25836,0.2649,102102.87705339
SLF-EUR,1736380800000,0.27653,0.28066,0.25808,0.26392,25843.69371567
SLF-EUR,1736294400000,0.29865,0.30001,0.26722,0.27918,90794.97976617
SLF-EUR,1736208000000,0.33182,0.33312,0.29591,0.30084,66954.32591683
SLF-EUR,1736121600000,0.33397,0.34441,0.3309,0.3309,167748.34001684
SLF-EUR,1736035200000,0.3418,0.35305,0.33384,0.3396,225595.96700244
SLF-EUR,1735948800000,0.32927,0.34746,0.32642,0.33931,98548.3213931
SLF-EUR,1735862400000,0.32187,0.33473,0.32037,0.3278,106974.367985
SLF-EUR,1735776000000,0.32957,0.33548,0.31869,0.32067,195056.91854375
SLF-EUR,1735689600000,0.31188,0.33277,0.30964,0.33148,195246.0913947
SLF-EUR,1735603200000,0.30825,0.33318,0.30221,0.30807,296745.4764292
SLF-EUR,1735516800000,0.32181,0.32881,0.30235,0.30928,477683.02084621
SLF-EUR,1735430400000,0.31014,0.38229,0.31014,0.32348,2442957.71677872
SLF-EUR,1735344000000,0.30648,0.31551,0.3003,0.31178,91911.86367411
SLF-EUR,1735257600000,0.29785,0.33437,0.29479,0.30839,809272.39453271
SLF-EUR,1735171200000,0.31402,0.33881,0.29293,0.29732,335264.3989863
SLF-EUR,1735084800000,0.31798,0.31965,0.30521,0.31532,63668.69423174
SLF-EUR,1734998400000,0.31433,0.3208,0.3046,0.31789,233987.48923447
SLF-EUR,1734912000000,0.30131,0.31509,0.29541,0.31386,145336.25519374
SLF-EUR,1734825600000,0.29983,0.30817,0.29058,0.30204,128589.67109321
SLF-EUR,1734739200000,0.30788,0.32988,0.29198,0.29557,130721.61223937
SLF-EUR,1734652800000,0.30287,0.31983,0.27127,0.30653,351314.59242543
SLF-EUR,1734566400000,0.33849,0.35518,0.29363,0.30643,319880.35944597
SLF-EUR,1734480000000,0.34109,0.37594,0.33419,0.34117,1027422.47909689
SLF-EUR,1734393600000,0.38189,0.38564,0.33667,0.34296,1551584.46141435
SLF-EUR,1734307200000,0.44485,0.45,0.37798,0.38302,2214654.33565797
SLF-EUR,1734220800000,0.50102,0.65222,0.42924,0.44361,2844725.32516741
SLF-EUR,1734134400000,0.4907,0.51493,0.47015,0.50494,230365.80200673
SLF-EUR,1734048000000,0.45771,0.51184,0.45687,0.49414,259494.36562641
SLF-EUR,1733961600000,0.46191,0.47144,0.44999,0.46511,74480.16963934
SLF-EUR,1733875200000,0.42537,0.46668,0.41376,0.4666,144783.54278086
SLF-EUR,1733788800000,0.40075,0.45572,0.3807,0.42147,192715.02036759
SLF-EUR,1733702400000,0.48727,0.4945,0.35307,0.40223,124175.25015482
SLF-EUR,1733616000000,0.48406,0.53753,0.47357,0.49217,538037.44138081
SLF-EUR,1733529600000,0.49071,0.50159,0.47664,0.48311,32126.59342972
