market,time,open,high,low,close,volume
SSV-EUR,1741132800000,8.7047,9.2385,8.5406,8.8309,6257.41521275
SSV-EUR,1741046400000,9.2582,9.2583,8,8.7182,14666.41538978
SSV-EUR,1740960000000,11.324,11.794,9.0492,9.0492,9369.81570201
SSV-EUR,1740873600000,9.995,11.88,9.875,10.024,14691.35655268
SSV-EUR,1740787200000,10.156,10.471,9.8149,9.8616,2183.51270076
SSV-EUR,1740700800000,10.658,10.658,9.5708,10.364,5009.62386282
SSV-EUR,1740614400000,10.576,10.938,10.322,10.598,18841.62163282
SSV-EUR,1740528000000,10.428,10.788,10.076,10.538,3266.99956078
SSV-EUR,1740441600000,9.9492,10.762,9.262,10.695,14211.82569895
SSV-EUR,1740355200000,11.354,11.517,9.8913,10.04,14137.47859724
SSV-EUR,1740268800000,11.919,12.15,11.313,11.317,25142.3343972
SSV-EUR,1740182400000,11.189,11.797,11.089,11.797,16718.46150921
SSV-EUR,1740096000000,11.5,12.322,11,11.214,10473.92451948
SSV-EUR,1740009600000,11.38,11.918,11.38,11.648,1010.72317277
SSV-EUR,1739923200000,11.119,11.47,11.119,11.39,1812.82781218
SSV-EUR,1739836800000,12.1,12.114,10.873,11.144,6739.6512644
SSV-EUR,1739750400000,11.427,12.453,11.427,12.029,4704.00723664
SSV-EUR,1739664000000,11.443,11.735,11.145,11.145,533.00296208
SSV-EUR,1739577600000,11.526,12.033,11.367,11.506,1121.34717292
SSV-EUR,1739491200000,11.322,11.873,11.322,11.558,1351.82291243
SSV-EUR,1739404800000,11.984,12.332,11.213,11.325,1675.87067082
SSV-EUR,1739318400000,11.486,12.5,11.099,12.026,12044.18704157
SSV-EUR,1739232000000,11.611,12.279,11.154,11.217,2725.56965719
SSV-EUR,1739145600000,11.543,11.589,11.032,11.438,2157.3193116
SSV-EUR,1739059200000,11.669,11.844,10.893,11.46,4543.52760573
SSV-EUR,1738972800000,10.669,11.463,10.669,11.396,1937.49164337
SSV-EUR,1738886400000,11.273,11.793,10.145,10.517,5965.67947133
SSV-EUR,1738800000000,11.746,12.138,11.03,11.123,6282.63499676
SSV-EUR,1738713600000,11.233,11.896,11.2,11.661,6091.6222638
SSV-EUR,1738627200000,12.748,12.748,10.755,11.318,6003.30660041
SSV-EUR,1738540800000,13.435,13.435,10,12.961,21304.6019184
SSV-EUR,1738454400000,17.069,17.183,13.298,13.991,3575.27472838
SSV-EUR,1738368000000,18.794,18.794,16.75,16.75,390.08327062
SSV-EUR,1738281600000,17.892,19.418,17.82,18.543,2385.95429769
SSV-EUR,1738195200000,17.473,18.261,17.473,17.896,1328.78454533
SSV-EUR,1738108800000,17.026,17.766,16.748,17.766,1781.17681524
SSV-EUR,1738022400000,17.614,18.163,16.346,16.447,5892.32610285
SSV-EUR,1737936000000,17.151,17.613,15.872,17.446,3176.08635706
SSV-EUR,1737849600000,17.841,18.416,17.772,17.951,1018.18245928
SSV-EUR,1737763200000,17.995,18.495,17.808,17.852,749.31416308
SSV-EUR,1737676800000,17.665,19.498,16.989,18.007,10726.45467404
SSV-EUR,1737590400000,16.994,17.613,16.763,17.57,744.81587852
SSV-EUR,1737504000000,17.909,17.909,17.171,17.242,336.48603349
SSV-EUR,1737417600000,17.304,18.277,16.529,17.808,1111.13063103
SSV-EUR,1737331200000,18.42,19.859,17.438,17.671,8289.61485287
SSV-EUR,1737244800000,18.994,20.559,17.798,18.66,7249.85777974
SSV-EUR,1737158400000,21.654,21.654,18.488,19.04,1888.48759836
SSV-EUR,1737072000000,19.959,21.409,19.959,21.344,1090.70720243
SSV-EUR,1736985600000,21.409,21.409,19.823,19.945,771.49171581
SSV-EUR,1736899200000,19.748,21.29,19.27,21.241,507.36742823
SSV-EUR,1736812800000,19.418,19.869,19.104,19.682,1074.38344045
SSV-EUR,1736726400000,19.273,19.273,18,18.48,903.50092535
SSV-EUR,1736640000000,19.808,20.175,19.536,19.57,211.01172462
SSV-EUR,1736553600000,19.67,20,19.628,20,109.30302914
SSV-EUR,1736467200000,19.719,20.228,19.104,19.962,1245.26104394
SSV-EUR,1736380800000,20.091,20.384,19.261,19.547,1586.12613195
SSV-EUR,1736294400000,20.855,20.855,19.049,20.042,1105.04283908
SSV-EUR,1736208000000,24.204,24.3,21.207,21.207,4312.08538369
SSV-EUR,1736121600000,24.185,25.602,23.872,24.429,2055.47977295
SSV-EUR,1736035200000,25.237,25.237,23.885,24.493,574.57301418
SSV-EUR,1735948800000,25.662,25.855,24.817,25.265,602.57633543
SSV-EUR,1735862400000,24.567,26.019,23.69,25.5,689.99420107
SSV-EUR,1735776000000,24.301,25.438,24.301,25.04,637.23122655
SSV-EUR,1735689600000,24.894,25.121,23.136,24.029,1318.00670086
SSV-EUR,1735603200000,24.235,25.304,24.082,24.352,1088.28314397
SSV-EUR,1735516800000,24.087,25.009,23.136,24.916,2562.27116151
SSV-EUR,1735430400000,24.988,24.988,24.015,24.015,617.5004491
SSV-EUR,1735344000000,24.178,25.85,23.667,25.396,7437.82179672
SSV-EUR,1735257600000,22.046,24.813,21.784,24.013,6157.53189492
SSV-EUR,1735171200000,22.764,22.764,21.01,21.01,459.08798417
SSV-EUR,1735084800000,22.882,23.705,22.623,22.948,608.9996716
SSV-EUR,1734998400000,22.047,23.28,21.71,22.901,1286.83492405
SSV-EUR,1734912000000,19.374,22.763,19.374,22.3,3509.8230469
SSV-EUR,1734825600000,20.198,20.338,19.159,19.597,1367.59783394
SSV-EUR,1734739200000,20.798,22.181,19.449,19.618,2221.90153715
SSV-EUR,1734652800000,20.203,21.038,17.623,20.275,10758.82352101
SSV-EUR,1734566400000,22.637,22.924,19.707,20.138,10369.6494008
SSV-EUR,1734480000000,25.821,25.821,22.585,22.816,1871.30050021
SSV-EUR,1734393600000,27.945,27.991,25.588,25.722,761.55622774
SSV-EUR,1734307200000,28.061,29.228,26.592,28.193,3579.06361491
SSV-EUR,1734220800000,26.431,28.347,26.11,28.086,1372.79442151
SSV-EUR,1734134400000,28.396,28.396,26,26.508,1093.70580057
SSV-EUR,1734048000000,28.929,29.123,27.436,27.451,1591.20143623
SSV-EUR,1733961600000,26.699,30.02,26.656,28.52,2445.31371368
SSV-EUR,1733875200000,24.926,27.092,23.968,26.806,3306.48958208
SSV-EUR,1733788800000,25.422,26.309,22.877,24.877,8148.48338273
SSV-EUR,1733702400000,31.802,32.09,21.73,25.989,8262.62079265
SSV-EUR,1733616000000,31.525,31.69,30.534,31.612,346.95785694
SSV-EUR,1733529600000,32.268,33.589,31.22,31.694,1884.38498411
SSV-EUR,1733443200000,31.057,34.007,30.228,32.359,3329.19567745
SSV-EUR,1733356800000,31.331,32.251,29.603,30.306,4320.59441467
SSV-EUR,1733270400000,30.708,34.15,30.152,31.62,8731.5729469
SSV-EUR,1733184000000,29.71,31.12,28.089,30.948,7965.46607344
SSV-EUR,1733097600000,30.359,31.736,27.489,30.411,7209.43749137
SSV-EUR,1733011200000,30.413,31.5,29.475,30.5,3665.86634891
SSV-EUR,1732924800000,26.001,31.912,26.001,30.319,16165.76184428
SSV-EUR,1732838400000,26.263,26.263,25.148,26.129,1974.01916886
SSV-EUR,1732752000000,27.094,28.655,25.477,26.26,6695.35526911
SSV-EUR,1732665600000,24.859,27.874,23.733,27.559,8910.41164644
SSV-EUR,1732579200000,24.655,25.186,22.475,24.454,14299.32975181
SSV-EUR,1732492800000,21.703,27.517,21.235,24.868,20509.17330239
SSV-EUR,1732406400000,21.48,23.075,19.633,21.911,3709.0124631
SSV-EUR,1732320000000,19.416,22.097,19.416,21.691,4277.91420779
SSV-EUR,1732233600000,19.187,19.628,18.403,19.496,2167.73818324
SSV-EUR,1732147200000,16,20.306,15.975,19.273,7830.83563607
SSV-EUR,1732060800000,17.403,17.683,16.207,16.605,1664.66906957
SSV-EUR,1731974400000,18.718,18.777,17,17.424,524.00166681
SSV-EUR,1731888000000,17.768,18.573,17.406,18.573,1796.41739042
SSV-EUR,1731801600000,18.763,19,17.1,17.515,1080.24456798
SSV-EUR,1731715200000,17.341,18.888,17.341,18.765,1932.10913927
SSV-EUR,1731628800000,17.272,17.471,16.59,17.376,2623.71824255
SSV-EUR,1731542400000,17.097,17.989,16.572,17.192,2352.11003217
SSV-EUR,1731456000000,19.477,19.477,16.891,17.465,2915.55330428
