market,time,open,high,low,close,volume
STRK-EUR,1741132800000,0.16806,0.17404,0.16546,0.16914,206259.1489554
STRK-EUR,1741046400000,0.18712,0.18712,0.155,0.16987,276646.36405469
STRK-EUR,1740960000000,0.20207,0.22129,0.18426,0.18839,123533.34073246
STRK-EUR,1740873600000,0.2003,0.22289,0.19546,0.21904,223640.38739606
STRK-EUR,1740787200000,0.2035,0.20531,0.19528,0.19782,53537.67074441
STRK-EUR,1740700800000,0.20471,0.21235,0.18953,0.2065,212639.24823615
STRK-EUR,1740614400000,0.20355,0.21303,0.2,0.20441,1125324.18104707
STRK-EUR,1740528000000,0.20109,0.2055,0.19387,0.2055,328369.41971548
STRK-EUR,1740441600000,0.18933,0.19845,0.174,0.19703,251330.31385717
STRK-EUR,1740355200000,0.22023,0.22023,0.18522,0.18901,365630.22428262
STRK-EUR,1740268800000,0.22383,0.22586,0.21671,0.22081,285058.32987726
STRK-EUR,1740182400000,0.2145,0.22735,0.2145,0.22392,101967.21691177
STRK-EUR,1740096000000,0.22175,0.23548,0.21005,0.21521,172385.03545058
STRK-EUR,1740009600000,0.21763,0.22335,0.21645,0.22317,281432.99741666
STRK-EUR,1739923200000,0.20984,0.21661,0.2075,0.21577,64398.12153608
STRK-EUR,1739836800000,0.2185,0.2185,0.19947,0.21113,61851.54548896
STRK-EUR,1739750400000,0.21967,0.229,0.2133,0.22058,106953.14116165
STRK-EUR,1739664000000,0.21917,0.22337,0.21461,0.21907,83630.90881222
STRK-EUR,1739577600000,0.22811,0.23039,0.2168,0.21929,19931.04886142
STRK-EUR,1739491200000,0.22247,0.23361,0.22221,0.22729,67127.27652336
STRK-EUR,1739404800000,0.23578,0.23838,0.21962,0.22276,97941.79923078
STRK-EUR,1739318400000,0.23096,0.2374,0.21929,0.23476,161224.37761948
STRK-EUR,1739232000000,0.23957,0.24964,0.22395,0.22602,129319.32836565
STRK-EUR,1739145600000,0.23074,0.24216,0.22176,0.23705,154170.33452858
STRK-EUR,1739059200000,0.23275,0.23917,0.21809,0.23082,123596.9525307
STRK-EUR,1738972800000,0.22535,0.23328,0.21875,0.23276,37634.35183673
STRK-EUR,1738886400000,0.23022,0.23778,0.21107,0.21182,200014.87342453
STRK-EUR,1738800000000,0.24264,0.24664,0.22125,0.22125,303075.28323414
STRK-EUR,1738713600000,0.24623,0.2516,0.23662,0.24059,165724.4814657
STRK-EUR,1738627200000,0.26376,0.26648,0.23909,0.24839,330638.73503197
STRK-EUR,1738540800000,0.2549,0.26756,0.18,0.26293,712266.00212008
STRK-EUR,1738454400000,0.31,0.31482,0.2475,0.25519,333226.29343248
STRK-EUR,1738368000000,0.34747,0.34747,0.30797,0.31236,61040.10393721
