market,time,open,high,low,close,volume
STX-EUR,1741219200000,0.68292,0.68492,0.68292,0.68492,7498.86260047
STX-EUR,1741132800000,0.66684,0.68632,0.64753,0.65591,1949115.9120203
STX-EUR,1741046400000,0.69553,0.69553,0.61607,0.65386,4584145.57261661
STX-EUR,1740960000000,0.69101,0.83747,0.68584,0.70138,1783758.99441917
STX-EUR,1740873600000,0.76846,0.85993,0.75748,0.8444,592380.91966375
STX-EUR,1740787200000,0.78899,0.81071,0.75925,0.76948,458144.42783324
STX-EUR,1740700800000,0.80254,0.81386,0.73618,0.80365,1050663.78534493
STX-EUR,1740614400000,0.75449,0.8688,0.7489,0.80022,1364049.63864806
STX-EUR,1740528000000,0.74322,0.77283,0.72043,0.75398,2151453.20287971
STX-EUR,1740441600000,0.74886,0.74932,0.67789,0.74523,1885274.32434391
STX-EUR,1740355200000,0.87485,0.87485,0.73781,0.75038,1317891.7048051
STX-EUR,1740268800000,0.89039,0.90577,0.86246,0.87224,235099.36150426
STX-EUR,1740182400000,0.8611,0.8896,0.85545,0.88645,77594.69401421
STX-EUR,1740096000000,0.90963,0.93226,0.84654,0.8623,404999.04123622
STX-EUR,1740009600000,0.85394,0.90405,0.85279,0.9039,364992.47088368
STX-EUR,1739923200000,0.83606,0.86943,0.82423,0.85393,362298.51856472
STX-EUR,1739836800000,0.87774,0.88449,0.81357,0.83729,710850.57055531
STX-EUR,1739750400000,0.89232,0.91891,0.86027,0.88278,250414.89091248
STX-EUR,1739664000000,0.89547,0.91618,0.87733,0.88935,130288.91200304
STX-EUR,1739577600000,0.934,0.9433,0.88173,0.88965,360881.88285517
STX-EUR,1739491200000,0.9133,0.96421,0.91133,0.93192,226991.45726304
STX-EUR,1739404800000,0.96225,0.96225,0.8999,0.91441,349087.44173078
STX-EUR,1739318400000,0.90214,0.96686,0.86426,0.94716,601975.09665928
STX-EUR,1739232000000,0.94019,0.98196,0.89175,0.90175,961431.97483093
STX-EUR,1739145600000,0.87505,0.9674,0.8497,0.9368,885576.76484582
STX-EUR,1739059200000,0.88402,0.9,0.8363,0.8754,424801.70275209
STX-EUR,1738972800000,0.84104,0.89856,0.8212,0.88583,343582.47189306
STX-EUR,1738886400000,0.8791,0.9182,0.82257,0.84258,511012.94675249
STX-EUR,1738800000000,0.93626,0.95604,0.85767,0.86412,327571.24235951
STX-EUR,1738713600000,0.98256,0.9939,0.92548,0.93567,346318.31999386
STX-EUR,1738627200000,1.0382,1.0489,0.94561,0.97794,872057.90711308
STX-EUR,1738540800000,1.0069,1.0281,0.75,1.0182,1749885.48292433
STX-EUR,1738454400000,1.1797,1.1996,0.95343,1.0133,1562188.3080416
STX-EUR,1738368000000,1.2813,1.2959,1.167,1.1798,199713.6101831
STX-EUR,1738281600000,1.2657,1.3291,1.2644,1.285,342658.37575134
STX-EUR,1738195200000,1.193,1.3072,1.1901,1.2673,194041.74323497
STX-EUR,1738108800000,1.1791,1.2395,1.1703,1.2015,159737.49262878
STX-EUR,1738022400000,1.2282,1.2497,1.1689,1.1775,202417.45215489
STX-EUR,1737936000000,1.27,1.273,1.1482,1.2232,551411.61628685
STX-EUR,1737849600000,1.3242,1.3468,1.2701,1.2739,101273.19046063
STX-EUR,1737763200000,1.3,1.3419,1.2915,1.3292,77778.76766896
STX-EUR,1737676800000,1.3169,1.3721,1.2992,1.3062,159921.2297525
STX-EUR,1737590400000,1.3518,1.3843,1.294,1.3459,519713.71822571
STX-EUR,1737504000000,1.4271,1.4309,1.3515,1.3539,214580.16417752
STX-EUR,1737417600000,1.3584,1.4551,1.3082,1.4264,394699.56991078
STX-EUR,1737331200000,1.3655,1.5127,1.3185,1.3597,768854.4139023
STX-EUR,1737244800000,1.5232,1.5433,1.3489,1.3734,613854.46601544
STX-EUR,1737158400000,1.6403,1.6726,1.4932,1.5294,411235.59415706
STX-EUR,1737072000000,1.5205,1.6354,1.5162,1.63,468309.705816
STX-EUR,1736985600000,1.5666,1.5666,1.4868,1.5102,334447.98730857
STX-EUR,1736899200000,1.4584,1.5663,1.4274,1.5663,234072.35922908
STX-EUR,1736812800000,1.4103,1.4767,1.407,1.4595,228606.31277502
STX-EUR,1736726400000,1.4748,1.5062,1.3278,1.4157,496864.11475861
STX-EUR,1736640000000,1.4921,1.5063,1.4606,1.475,72801.2138733
STX-EUR,1736553600000,1.5011,1.5157,1.4687,1.4968,188717.20855494
STX-EUR,1736467200000,1.464,1.52,1.4549,1.5059,175584.62936785
STX-EUR,1736380800000,1.493,1.5124,1.4232,1.4572,194822.04328744
STX-EUR,1736294400000,1.5406,1.5615,1.4185,1.4981,336481.69199399
