market,time,open,high,low,close,volume
SUI-USDC,1741132800000,2.4514,2.6814,2.4451,2.5107,24148.10744806
SUI-USDC,1741046400000,2.4101,2.5805,2.2728,2.2972,48290.75779161
SUI-USDC,1740960000000,2.9456,3.1804,2.6425,2.6835,8502.80044811
SUI-USDC,1740873600000,2.8802,3.2355,2.8046,3.2316,34445.79051083
SUI-USDC,1740787200000,2.8576,2.916,2.7988,2.8459,13142.39573639
SUI-USDC,1740700800000,2.7187,2.8418,2.5366,2.8228,28684.64483688
SUI-USDC,1740614400000,2.917,2.9505,2.76,2.7849,9125.47204407
SUI-USDC,1740528000000,2.9001,3.0424,2.7661,2.8894,44757.71758375
SUI-USDC,1740441600000,2.8962,2.9854,2.6422,2.9747,252917.76348106
SUI-USDC,1740355200000,3.3741,3.4353,2.8182,2.8463,58555.66426051
SUI-USDC,1740268800000,3.4199,3.4507,3.2925,3.3789,38530.06728745
SUI-USDC,1740182400000,3.2625,3.4529,3.2625,3.4127,14401.69302875
SUI-USDC,1740096000000,3.4598,3.5459,3.2271,3.2577,23702.93264833
SUI-USDC,1740009600000,3.2271,3.465,3.2271,3.455,6436.38030154
SUI-USDC,1739923200000,3.1456,3.2445,3.1456,3.1553,1791.5906
SUI-USDC,1739836800000,3.19,3.19,2.9683,3.03,6032.46115708
SUI-USDC,1739750400000,3.2124,3.362,3.1555,3.2078,13406.63362435
SUI-USDC,1739664000000,3.4391,3.4508,3.2764,3.2764,4479.07436714
SUI-USDC,1739577600000,3.5269,3.5269,3.3973,3.4116,1371.0676
SUI-USDC,1739491200000,3.5356,3.7332,3.5078,3.5953,2034.69417942
SUI-USDC,1739404800000,3.5705,3.5705,3.4603,3.5283,2440.2565
SUI-USDC,1739318400000,3.3381,3.5186,3.1455,3.5186,13940.16437481
SUI-USDC,1739232000000,3.4016,3.5642,3.2522,3.32,11660.18003778
SUI-USDC,1739145600000,3.0435,3.2803,2.9278,3.1931,21510.92427088
SUI-USDC,1739059200000,3.0651,3.1798,2.8931,2.9966,5455.21472147
SUI-USDC,1738972800000,3.0116,3.0852,2.9422,3.0809,9500.94586566
SUI-USDC,1738886400000,3.187,3.3763,2.9169,2.9787,18067.57732358
SUI-USDC,1738800000000,3.3167,3.5031,3.11,3.1603,13793.04964444
SUI-USDC,1738713600000,3.6668,3.671,3.3522,3.3745,7927.2957044
SUI-USDC,1738627200000,3.6221,3.886,3.313,3.5706,33546.15894668
SUI-USDC,1738540800000,3.1758,3.7612,2.4182,3.719,151091.64885844
SUI-USDC,1738454400000,3.7875,3.8471,3.095,3.3085,44632.73924938
SUI-USDC,1738368000000,4.08,4.08,3.8215,3.8215,2094.01657657
SUI-USDC,1738281600000,4.172,4.207,4.0193,4.0616,8131.9812806
SUI-USDC,1738195200000,3.8443,4.2117,3.8443,4.1151,35176.59394809
SUI-USDC,1738108800000,3.7811,3.8742,3.6476,3.791,12376.93649198
SUI-USDC,1738022400000,3.8639,3.8639,3.8639,3.8639,2064
SUI-USDC,1737936000000,3.8,3.87,3.5352,3.7662,7109.19946372
SUI-USDC,1737849600000,4.1694,4.1694,3.99,3.99,1016.4964039
SUI-USDC,1737763200000,4.226,4.226,4.226,4.226,11.45926486
SUI-USDC,1737676800000,4.3353,4.3353,4.188,4.2259,97.64849772
SUI-USDC,1737590400000,4.3757,4.4581,4.2,4.2671,6109.80808362
SUI-USDC,1737504000000,4.6579,4.6579,4.5292,4.5292,68.11052959
SUI-USDC,1737417600000,4.3024,4.7263,4.2964,4.7263,7884.62532054
SUI-USDC,1737331200000,4.3949,4.8079,4.35,4.3946,10380.09906488
SUI-USDC,1737244800000,4.929,5.01,4.5036,4.5117,14425.61138173
SUI-USDC,1737158400000,4.704,5.1081,4.654,5.0373,11924.1736365
SUI-USDC,1737072000000,4.8065,4.9547,4.792,4.889,7015.38906691
SUI-USDC,1736985600000,4.6975,5.0475,4.5893,5.0418,6745.20209678
SUI-USDC,1736899200000,4.5242,4.8861,4.4403,4.8861,10925.81615452
SUI-USDC,1736812800000,4.6627,4.71,4.5532,4.5799,8969.8206595
SUI-USDC,1736726400000,4.7443,4.8262,4.3,4.7508,35014.38069429
SUI-USDC,1736640000000,4.8064,4.8706,4.7312,4.7312,9622.53260326
SUI-USDC,1736553600000,5.077,5.1119,4.91,5.0377,6082.32828008
SUI-USDC,1736467200000,4.8168,5.24,4.7965,5.1189,43931.33783749
SUI-USDC,1736380800000,4.8566,4.8566,4.5,4.7398,23168.06561457
SUI-USDC,1736294400000,4.862,4.862,4.4,4.8138,47626.18113158
SUI-USDC,1736208000000,5.0822,5.1666,4.75,4.76,32015.63717216
SUI-USDC,1736121600000,5.2748,5.3416,5.0462,5.0698,4715.40480658
SUI-USDC,1736035200000,5.265,5.29,5.1441,5.29,8692.87019236
SUI-USDC,1735948800000,4.9423,5.35,4.8865,5.3049,16875.58647694
SUI-USDC,1735862400000,4.3584,4.9662,4.289,4.921,10055.0320484
SUI-USDC,1735776000000,4.3037,4.4493,4.2753,4.3426,3300.9221562
SUI-USDC,1735689600000,4.0903,4.2972,4.0439,4.2735,2386.54530827
SUI-USDC,1735603200000,4.0474,4.3094,4.0474,4.1452,10269.04086644
SUI-USDC,1735516800000,4.12,4.3338,3.97,4.1558,10804.12914659
SUI-USDC,1735430400000,4.2266,4.2266,4.05,4.07,965.94856118
SUI-USDC,1735344000000,4.0347,4.2124,4.01,4.19,2863.27504433
SUI-USDC,1735257600000,4.223,4.3775,4.0954,4.1451,42416.1200859
SUI-USDC,1735171200000,4.3979,4.3979,4.1615,4.1992,2149.5416
SUI-USDC,1735084800000,4.5434,4.5481,4.4985,4.5192,1125.54
SUI-USDC,1734998400000,4.73,4.73,4.5289,4.5848,4810.84067052
SUI-USDC,1734912000000,4.38,4.7365,4.1169,4.7077,5044.969155
SUI-USDC,1734825600000,4.5188,4.5451,4.2303,4.3144,30909.37824353
SUI-USDC,1734739200000,4.5466,4.88,4.2921,4.3704,7682.74867432
SUI-USDC,1734652800000,4.1238,4.6047,3.5,4.545,49434.69306739
SUI-USDC,1734566400000,4.1186,4.569,3.9942,4.0232,35002.4621202
SUI-USDC,1734480000000,4.5381,4.745,4.268,4.356,13965.70541443
SUI-USDC,1734393600000,4.6239,4.8065,4.6,4.6391,5480.61227711
SUI-USDC,1734307200000,4.8143,4.9544,4.6352,4.665,14585.36321056
SUI-USDC,1734220800000,4.41,4.821,4.41,4.7769,12110.22739992
SUI-USDC,1734134400000,4.7424,4.8143,4.3726,4.4347,6912.944
SUI-USDC,1734048000000,4.6649,4.8996,4.5749,4.7591,25507.308
SUI-USDC,1733961600000,4.71,4.7188,4.5505,4.6115,18519.24191979
