market,time,open,high,low,close,volume
SUPER-EUR,1741132800000,0.48262,0.59422,0.48262,0.55356,1657524.59746259
SUPER-EUR,1741046400000,0.51301,0.51301,0.44,0.48439,471868.9559727
SUPER-EUR,1740960000000,0.63667,0.63667,0.50337,0.51365,434264.28096813
SUPER-EUR,1740873600000,0.5378,0.63975,0.52988,0.54221,691821.12203034
SUPER-EUR,1740787200000,0.54158,0.54877,0.52101,0.5334,94806.49750959
SUPER-EUR,1740700800000,0.55643,0.55643,0.49603,0.53986,301622.39348485
SUPER-EUR,1740614400000,0.54818,0.58289,0.54818,0.55653,634407.32859767
SUPER-EUR,1740528000000,0.55546,0.59369,0.53,0.55495,459294.13070312
SUPER-EUR,1740441600000,0.55,0.56675,0.51699,0.55468,574905.71614938
SUPER-EUR,1740355200000,0.66518,0.67257,0.55509,0.55801,896948.44367794
SUPER-EUR,1740268800000,0.69178,0.69342,0.65192,0.66738,204070.06446309
SUPER-EUR,1740182400000,0.63535,0.69108,0.6322,0.68859,140096.28314599
SUPER-EUR,1740096000000,0.68315,0.70637,0.63005,0.63803,422993.67692859
SUPER-EUR,1740009600000,0.61847,0.69774,0.61378,0.67631,283021.82441193
SUPER-EUR,1739923200000,0.61993,0.63377,0.60596,0.61795,275320.67549486
SUPER-EUR,1739836800000,0.6522,0.65948,0.58685,0.61772,150434.28572104
SUPER-EUR,1739750400000,0.68837,0.69654,0.64512,0.65694,147311.8464253
SUPER-EUR,1739664000000,0.72362,0.741,0.68972,0.69013,110951.65351954
SUPER-EUR,1739577600000,0.72912,0.73568,0.70348,0.71811,101589.24135081
SUPER-EUR,1739491200000,0.68253,0.77359,0.68253,0.72881,480559.58364463
SUPER-EUR,1739404800000,0.71898,0.72347,0.67108,0.68445,382232.14502775
SUPER-EUR,1739318400000,0.70137,0.72808,0.65,0.71851,711347.10765928
SUPER-EUR,1739232000000,0.6784,0.76868,0.6784,0.70239,533343.14899557
SUPER-EUR,1739145600000,0.6441,0.67734,0.61546,0.66936,89042.00009977
SUPER-EUR,1739059200000,0.64512,0.67248,0.61386,0.64129,593186.76442978
SUPER-EUR,1738972800000,0.6187,0.65008,0.59802,0.64778,311690.2651577
SUPER-EUR,1738886400000,0.634,0.68486,0.6,0.61809,524918.53679098
SUPER-EUR,1738800000000,0.6549,0.678,0.6195,0.62643,655125.38026296
SUPER-EUR,1738713600000,0.69284,0.70438,0.64278,0.65103,178980.74852865
SUPER-EUR,1738627200000,0.7628,0.7628,0.67601,0.69988,277021.42539444
SUPER-EUR,1738540800000,0.71877,0.79753,0.55,0.76922,827908.12776811
SUPER-EUR,1738454400000,0.83318,0.84907,0.68356,0.71802,449985.00631741
SUPER-EUR,1738368000000,0.92618,0.95638,0.82621,0.83833,290746.80434002
SUPER-EUR,1738281600000,0.956,1.0029,0.9248,0.926,134575.62440048
SUPER-EUR,1738195200000,0.90019,0.98079,0.8985,0.96017,184704.35686999
SUPER-EUR,1738108800000,0.82616,0.96829,0.8212,0.91,334194.82305124
SUPER-EUR,1738022400000,0.90637,0.91321,0.81822,0.82722,187743.38966832
SUPER-EUR,1737936000000,0.9,0.90982,0.78948,0.89133,322980.34564369
SUPER-EUR,1737849600000,0.94059,0.9798,0.90196,0.90196,60994.85611677
SUPER-EUR,1737763200000,0.93092,0.97561,0.91613,0.94148,105857.68698679
SUPER-EUR,1737676800000,1.0128,1.0221,0.93668,0.94114,175209.77023247
SUPER-EUR,1737590400000,1.039,1.04,0.97982,1.0136,195422.89371959
SUPER-EUR,1737504000000,1.092,1.092,1.0354,1.039,114850.71123612
SUPER-EUR,1737417600000,1.0219,1.0984,0.99,1.0825,113074.49179752
SUPER-EUR,1737331200000,1.0485,1.1525,0.98999,1.0377,247931.56196761
SUPER-EUR,1737244800000,1.184,1.213,1.0434,1.0587,337141.21543764
SUPER-EUR,1737158400000,1.3325,1.3473,1.1553,1.1895,193242.83475927
SUPER-EUR,1737072000000,1.2283,1.34,1.2283,1.327,394198.41285081
SUPER-EUR,1736985600000,1.2526,1.2765,1.1884,1.2249,224286.73657699
SUPER-EUR,1736899200000,1.1686,1.2806,1.1168,1.2608,156918.404545
SUPER-EUR,1736812800000,1.1497,1.2249,1.1432,1.155,136018.48079136
SUPER-EUR,1736726400000,1.1597,1.1968,1,1.1526,282009.86818534
SUPER-EUR,1736640000000,1.1967,1.199,1.1419,1.1597,74401.65007457
SUPER-EUR,1736553600000,1.2331,1.2345,1.1842,1.1974,83161.97389435
SUPER-EUR,1736467200000,1.1708,1.2408,1.1654,1.2333,306557.2186889
SUPER-EUR,1736380800000,1.2454,1.2589,1.1216,1.169,200311.36513581
SUPER-EUR,1736294400000,1.3531,1.36,1.1675,1.2457,248643.82906882
SUPER-EUR,1736208000000,1.501,1.5033,1.3418,1.3507,194959.92343887
SUPER-EUR,1736121600000,1.5166,1.5717,1.475,1.5004,95196.73972092
SUPER-EUR,1736035200000,1.5487,1.5487,1.4887,1.5194,116442.53208288
SUPER-EUR,1735948800000,1.58,1.5835,1.4909,1.554,68049.95685232
SUPER-EUR,1735862400000,1.4297,1.5748,1.3829,1.5748,205644.21972692
SUPER-EUR,1735776000000,1.35,1.4853,1.35,1.4327,167654.8403751
SUPER-EUR,1735689600000,1.293,1.3804,1.2923,1.3511,227644.81654993
SUPER-EUR,1735603200000,1.329,1.3702,1.2935,1.3018,268716.60246045
SUPER-EUR,1735516800000,1.4038,1.4578,1.31,1.333,154399.9662228
SUPER-EUR,1735430400000,1.5001,1.5051,1.3877,1.4056,142228.24172017
SUPER-EUR,1735344000000,1.4588,1.5145,1.43,1.5058,115073.59471389
SUPER-EUR,1735257600000,1.5269,1.5879,1.4473,1.4524,165598.99299817
SUPER-EUR,1735171200000,1.672,1.7,1.5069,1.5327,191935.66430374
SUPER-EUR,1735084800000,1.6828,1.7482,1.6433,1.6725,94422.79648911
SUPER-EUR,1734998400000,1.5501,1.73,1.4953,1.6765,164796.92699611
SUPER-EUR,1734912000000,1.4139,1.601,1.3764,1.5542,177495.08466175
SUPER-EUR,1734825600000,1.4605,1.4959,1.3818,1.417,89622.22494635
SUPER-EUR,1734739200000,1.515,1.6771,1.446,1.4607,279217.14229881
SUPER-EUR,1734652800000,1.467,1.5364,1.1838,1.5199,806313.8344255
SUPER-EUR,1734566400000,1.6342,1.6588,1.4,1.4698,485976.81364021
SUPER-EUR,1734480000000,1.7848,1.8084,1.579,1.6365,230107.30802549
SUPER-EUR,1734393600000,1.89,1.908,1.7476,1.7795,215641.96034621
SUPER-EUR,1734307200000,2.0587,2.0794,1.885,1.8957,279640.97246877
SUPER-EUR,1734220800000,1.9323,2.0872,1.861,2.0524,237167.52253394
SUPER-EUR,1734134400000,2.0018,2.0209,1.87,1.9462,183907.9376535
SUPER-EUR,1734048000000,1.9883,2.0579,1.9291,2.0066,107408.95880974
SUPER-EUR,1733961600000,1.9502,2.1646,1.9372,1.9857,460771.32874726
SUPER-EUR,1733875200000,1.8476,2.0444,1.7435,1.9603,314091.18154208
SUPER-EUR,1733788800000,1.9043,1.9946,1.6855,1.849,393785.75965821
SUPER-EUR,1733702400000,2.0306,2.1034,1.5446,1.93,1143901.98870662
SUPER-EUR,1733616000000,1.8091,2.0499,1.7875,2.028,844067.9583317
SUPER-EUR,1733529600000,1.7215,1.8795,1.7137,1.8076,442257.13637422
SUPER-EUR,1733443200000,1.6059,1.77,1.5727,1.7259,281051.0821638
