market,time,open,high,low,close,volume
SUSHI-EUR,1741132800000,0.66071,0.69414,0.65726,0.65726,61050.85089076
SUSHI-EUR,1741046400000,0.6966,0.70035,0.62,0.67771,124731.80244981
SUSHI-EUR,1740960000000,0.85517,0.85517,0.69195,0.69582,73787.11787973
SUSHI-EUR,1740873600000,0.7594,0.86,0.74316,0.85723,181912.01388478
SUSHI-EUR,1740787200000,0.75404,0.76382,0.73449,0.76325,20011.15925785
SUSHI-EUR,1740700800000,0.76518,0.78224,0.70797,0.76435,99136.66042855
SUSHI-EUR,1740614400000,0.75543,0.79956,0.75509,0.78291,405755.61563763
SUSHI-EUR,1740528000000,0.73965,0.77562,0.72497,0.75226,122307.07939865
SUSHI-EUR,1740441600000,0.71745,0.74626,0.66215,0.7424,183741.90651495
SUSHI-EUR,1740355200000,0.83904,0.83904,0.7,0.7174,101618.94469946
SUSHI-EUR,1740268800000,0.86644,0.86827,0.82734,0.83542,30185.94979734
SUSHI-EUR,1740182400000,0.83873,0.87,0.83873,0.8617,16406.18603633
SUSHI-EUR,1740096000000,0.88,0.9178,0.82186,0.83734,116076.05464002
SUSHI-EUR,1740009600000,0.84859,0.87422,0.84,0.87422,88509.53565763
SUSHI-EUR,1739923200000,0.82537,0.8599,0.82225,0.84263,47714.31595614
SUSHI-EUR,1739836800000,0.8697,0.8697,0.78098,0.81566,92629.28572034
SUSHI-EUR,1739750400000,0.86181,0.90291,0.8325,0.86469,183568.05577842
SUSHI-EUR,1739664000000,0.85265,0.88958,0.8451,0.85085,84973.50761575
SUSHI-EUR,1739577600000,0.88338,0.89736,0.83753,0.84814,67389.72879327
SUSHI-EUR,1739491200000,0.88784,0.9264,0.88568,0.88568,94686.79350281
SUSHI-EUR,1739404800000,0.92332,0.9471,0.87754,0.89359,108595.71506415
SUSHI-EUR,1739318400000,0.84958,0.95,0.82,0.92587,287129.99809988
SUSHI-EUR,1739232000000,0.869,0.91612,0.83053,0.85156,105069.63885295
SUSHI-EUR,1739145600000,0.82547,0.86224,0.79145,0.84892,83506.95729384
SUSHI-EUR,1739059200000,0.81574,0.84365,0.77315,0.80621,76022.8921695
SUSHI-EUR,1738972800000,0.789,0.82514,0.77229,0.82514,37534.34093528
SUSHI-EUR,1738886400000,0.7839,0.87089,0.76435,0.78394,76908.7086505
SUSHI-EUR,1738800000000,0.84067,0.85985,0.76666,0.76888,90591.8134117
SUSHI-EUR,1738713600000,0.84632,0.87297,0.82835,0.84128,76488.42456462
SUSHI-EUR,1738627200000,0.93618,0.94139,0.815,0.8491,182331.72208924
SUSHI-EUR,1738540800000,0.92431,0.94145,0.66245,0.92866,651970.48191489
SUSHI-EUR,1738454400000,1.092,1.1179,0.86895,0.9305,342646.41669228
SUSHI-EUR,1738368000000,1.237,1.2418,1.0788,1.095,98203.54458934
SUSHI-EUR,1738281600000,1.2139,1.3069,1.18,1.2264,214711.07217029
SUSHI-EUR,1738195200000,1.1549,1.2886,1.1549,1.2195,122550.08107305
SUSHI-EUR,1738108800000,1.107,1.2,1.107,1.1751,166779.58256272
SUSHI-EUR,1738022400000,1.1914,1.1993,1.0919,1.098,135404.41432305
SUSHI-EUR,1737936000000,1.2114,1.2137,1.06,1.1915,376789.86414563
SUSHI-EUR,1737849600000,1.2539,1.2953,1.2174,1.2198,105654.55716262
SUSHI-EUR,1737763200000,1.25,1.283,1.2333,1.2559,73359.13291876
SUSHI-EUR,1737676800000,1.2981,1.338,1.2371,1.2433,93784.67905259
SUSHI-EUR,1737590400000,1.2877,1.3128,1.24,1.294,194434.46990268
SUSHI-EUR,1737504000000,1.3537,1.362,1.283,1.2943,132098.86202729
SUSHI-EUR,1737417600000,1.3161,1.4003,1.2486,1.3472,354284.49725773
SUSHI-EUR,1737331200000,1.2926,1.486,1.25,1.3318,456524.83046685
SUSHI-EUR,1737244800000,1.475,1.5006,1.2917,1.3133,346886.20256699
SUSHI-EUR,1737158400000,1.6677,1.6965,1.4415,1.4791,206885.62317795
SUSHI-EUR,1737072000000,1.5492,1.7,1.5492,1.6683,402466.00034407
SUSHI-EUR,1736985600000,1.62,1.6296,1.5288,1.5499,179228.78880612
SUSHI-EUR,1736899200000,1.4126,1.6303,1.39,1.6242,459081.95353538
SUSHI-EUR,1736812800000,1.3678,1.4204,1.3509,1.4022,188383.60527243
SUSHI-EUR,1736726400000,1.4333,1.45,1.2486,1.3552,375704.52136073
SUSHI-EUR,1736640000000,1.4311,1.4443,1.3751,1.4041,55774.40246722
SUSHI-EUR,1736553600000,1.4614,1.4808,1.4,1.4408,67587.05775163
SUSHI-EUR,1736467200000,1.4245,1.4912,1.4,1.4612,63601.15505056
SUSHI-EUR,1736380800000,1.4749,1.4885,1.3671,1.4058,137670.87068569
SUSHI-EUR,1736294400000,1.5145,1.538,1.3641,1.4659,222626.24118526
SUSHI-EUR,1736208000000,1.724,1.7677,1.5123,1.5123,596033.36150304
SUSHI-EUR,1736121600000,1.7436,1.8662,1.7064,1.7225,621261.48741141
SUSHI-EUR,1736035200000,1.7831,1.7935,1.6949,1.7346,134690.17710297
SUSHI-EUR,1735948800000,1.745,1.8449,1.6689,1.7886,458994.44454553
SUSHI-EUR,1735862400000,1.4239,1.7586,1.3776,1.7305,484157.77500023
SUSHI-EUR,1735776000000,1.3683,1.4555,1.365,1.4243,123022.96336917
SUSHI-EUR,1735689600000,1.3152,1.3723,1.2799,1.3553,73233.14009084
SUSHI-EUR,1735603200000,1.3066,1.3848,1.2722,1.308,49635.85929333
SUSHI-EUR,1735516800000,1.336,1.4007,1.2775,1.3101,110885.37945298
SUSHI-EUR,1735430400000,1.4239,1.4302,1.3226,1.3378,108815.84111221
SUSHI-EUR,1735344000000,1.357,1.4535,1.3361,1.425,106476.74939914
SUSHI-EUR,1735257600000,1.3725,1.4516,1.3428,1.3546,199200.41885942
SUSHI-EUR,1735171200000,1.5294,1.5461,1.3576,1.3722,155262.98015717
SUSHI-EUR,1735084800000,1.5902,1.6165,1.507,1.5288,101592.92054623
SUSHI-EUR,1734998400000,1.4826,1.6685,1.4233,1.5891,221360.23509065
SUSHI-EUR,1734912000000,1.3805,1.5264,1.3412,1.4793,204312.09264523
SUSHI-EUR,1734825600000,1.381,1.438,1.3291,1.3883,197089.79774955
SUSHI-EUR,1734739200000,1.5128,1.65,1.3676,1.3919,188510.48586636
SUSHI-EUR,1734652800000,1.444,1.5362,1.2162,1.5171,616754.4746752
SUSHI-EUR,1734566400000,1.6371,1.6745,1.425,1.4501,499513.13864661
SUSHI-EUR,1734480000000,1.8591,1.8731,1.5878,1.6533,265922.42258643
SUSHI-EUR,1734393600000,1.9366,1.9391,1.8203,1.8575,317839.35712161
SUSHI-EUR,1734307200000,2.1311,2.1729,1.9123,1.933,378695.93779192
SUSHI-EUR,1734220800000,1.9824,2.1797,1.9658,2.1521,341575.22652218
SUSHI-EUR,1734134400000,2.0902,2.1824,1.9654,1.9878,252508.42565257
SUSHI-EUR,1734048000000,2.1209,2.1688,2.0337,2.0919,378944.89848107
SUSHI-EUR,1733961600000,2.1952,2.5423,2.0898,2.1194,1284831.60729262
SUSHI-EUR,1733875200000,1.9028,2.201,1.8367,2.1981,717789.11241558
SUSHI-EUR,1733788800000,1.9466,2.2034,1.7217,1.9025,1297510.00070941
SUSHI-EUR,1733702400000,2.5282,2.6674,1.71,1.96,3023612.33261093
SUSHI-EUR,1733616000000,1.8311,2.5571,1.8103,2.525,5532931.0989739
SUSHI-EUR,1733529600000,1.6191,1.951,1.5881,1.8308,1595009.66857779
SUSHI-EUR,1733443200000,1.3562,1.6711,1.3562,1.6145,703184.10536632
SUSHI-EUR,1733356800000,1.431,1.4465,1.3302,1.3614,379515.34125829
SUSHI-EUR,1733270400000,1.3849,1.5042,1.3426,1.4304,432084.81977367
SUSHI-EUR,1733184000000,1.3434,1.4021,1.2392,1.3915,590179.93423697
SUSHI-EUR,1733097600000,1.2497,1.3833,1.176,1.3574,643441.23389855
SUSHI-EUR,1733011200000,1.2541,1.2751,1.2047,1.2487,153625.81876904
SUSHI-EUR,1732924800000,1.116,1.31,1.1109,1.2635,423270.10249235
SUSHI-EUR,1732838400000,1.0848,1.1394,1.0627,1.1297,269862.46244762
SUSHI-EUR,1732752000000,1.1299,1.155,1.0799,1.0875,232065.89700962
SUSHI-EUR,1732665600000,0.98282,1.1703,0.9651,1.1462,429427.33561115
SUSHI-EUR,1732579200000,1.0302,1.0657,0.93123,0.98356,385799.61039944
SUSHI-EUR,1732492800000,1.0675,1.1351,0.9995,1.0296,339334.49813758
SUSHI-EUR,1732406400000,1.0114,1.0927,0.95,1.0735,662525.07173408
SUSHI-EUR,1732320000000,0.82714,1.2307,0.80014,1.0113,3066102.39529822
SUSHI-EUR,1732233600000,0.74924,0.8265,0.7311,0.8265,264145.69242149
SUSHI-EUR,1732147200000,0.7005,0.75998,0.67647,0.7493,587059.96440132
SUSHI-EUR,1732060800000,0.7315,0.74603,0.68644,0.70097,38571.72629368
SUSHI-EUR,1731974400000,0.77416,0.78664,0.7205,0.73536,93666.41506937
SUSHI-EUR,1731888000000,0.70048,0.77128,0.69956,0.7691,335320.02690647
SUSHI-EUR,1731801600000,0.75368,0.76251,0.68967,0.70034,230075.41809186
SUSHI-EUR,1731715200000,0.71721,0.76594,0.70873,0.75683,178212.68882179
SUSHI-EUR,1731628800000,0.67914,0.71562,0.65855,0.71428,173974.22548957
SUSHI-EUR,1731542400000,0.7209,0.734,0.6674,0.69349,216868.09733587
SUSHI-EUR,1731456000000,0.74329,0.76097,0.67617,0.71674,276842.14866867
SUSHI-EUR,1731369600000,0.78854,0.82789,0.70181,0.74026,980482.97865457
SUSHI-EUR,1731283200000,0.73394,0.80044,0.72331,0.80044,470396.10607761
SUSHI-EUR,1731196800000,0.70727,0.76606,0.6948,0.73816,261807.71480913
SUSHI-EUR,1731110400000,0.67829,0.71551,0.67098,0.71353,146866.16713622
SUSHI-EUR,1731024000000,0.68326,0.68581,0.65547,0.67648,175192.68331527
SUSHI-EUR,1730937600000,0.67133,0.7035,0.64304,0.67649,210019.43255823
SUSHI-EUR,1730851200000,0.58439,0.7026,0.58439,0.67313,379792.23455665
SUSHI-EUR,1730764800000,0.55074,0.58831,0.55021,0.57842,45248.37662911
SUSHI-EUR,1730678400000,0.56163,0.56903,0.54245,0.54785,84696.44942897
SUSHI-EUR,1730592000000,0.60407,0.60487,0.54513,0.56484,131771.4207714
SUSHI-EUR,1730505600000,0.62255,0.63495,0.6022,0.60289,11894.9134481
SUSHI-EUR,1730419200000,0.62869,0.63933,0.61113,0.6167,20947.57823556
SUSHI-EUR,1730332800000,0.66888,0.66888,0.62285,0.62913,55137.25723427
SUSHI-EUR,1730246400000,0.66429,0.6833,0.65555,0.67056,27484.69742666
SUSHI-EUR,1730160000000,0.65432,0.67689,0.65326,0.66541,85853.63936871
SUSHI-EUR,1730073600000,0.6526,0.6582,0.625,0.6515,28260.13969807
SUSHI-EUR,1729987200000,0.63304,0.65434,0.63249,0.65107,29891.29282286
SUSHI-EUR,1729900800000,0.63235,0.64753,0.62034,0.63532,109279.55655445
SUSHI-EUR,1729814400000,0.69382,0.69382,0.615,0.63325,73540.68155102
SUSHI-EUR,1729728000000,0.66004,0.69333,0.66004,0.68509,74610.26052382
SUSHI-EUR,1729641600000,0.68492,0.68492,0.64318,0.6614,81005.87918571
SUSHI-EUR,1729555200000,0.70867,0.71941,0.68182,0.69986,79302.68140371
SUSHI-EUR,1729468800000,0.76152,0.76824,0.69762,0.7077,293366.10650945
SUSHI-EUR,1729382400000,0.64574,0.78221,0.64368,0.7558,1144280.14725475
SUSHI-EUR,1729296000000,0.65969,0.67203,0.63816,0.64852,75396.66852658
SUSHI-EUR,1729209600000,0.63237,0.66,0.63237,0.66,151676.52061839
SUSHI-EUR,1729123200000,0.66941,0.67523,0.61914,0.63675,72332.45470729
SUSHI-EUR,1729036800000,0.6971,0.7,0.66761,0.675,36145.74619702
SUSHI-EUR,1728950400000,0.72309,0.72309,0.66975,0.6942,62086.43288659
SUSHI-EUR,1728864000000,0.67828,0.7294,0.67686,0.71734,62167.76044694
SUSHI-EUR,1728777600000,0.70233,0.70381,0.66178,0.67401,125897.90285641
SUSHI-EUR,1728691200000,0.71162,0.71162,0.6861,0.69833,80730.95482211
SUSHI-EUR,1728604800000,0.70884,0.71331,0.67992,0.70824,121585.12617862
SUSHI-EUR,1728518400000,0.64936,0.71147,0.64936,0.71147,124174.34390781
SUSHI-EUR,1728432000000,0.67686,0.68071,0.64705,0.65122,49748.06332167
SUSHI-EUR,1728345600000,0.68289,0.68709,0.66076,0.66666,170437.52694477
SUSHI-EUR,1728259200000,0.68873,0.70922,0.67186,0.67828,126211.82171854
SUSHI-EUR,1728172800000,0.67464,0.69188,0.67225,0.6845,43617.13672322
SUSHI-EUR,1728086400000,0.67476,0.68472,0.665,0.68074,25642.35652726
SUSHI-EUR,1728000000000,0.63589,0.68505,0.63589,0.67043,97990.14238724
SUSHI-EUR,1727913600000,0.6371,0.64689,0.61155,0.62948,19342.79535391
SUSHI-EUR,1727827200000,0.64897,0.66563,0.62679,0.63718,153635.82665993
SUSHI-EUR,1727740800000,0.71532,0.73303,0.63381,0.64529,178671.8820323
SUSHI-EUR,1727654400000,0.76983,0.77478,0.71716,0.71928,127428.63640918
SUSHI-EUR,1727568000000,0.81805,0.83086,0.76988,0.77287,297837.01313779
SUSHI-EUR,1727481600000,0.74,0.82831,0.74,0.81706,1571621.40783109
SUSHI-EUR,1727395200000,0.66641,0.73444,0.66641,0.73444,137442.9520719
SUSHI-EUR,1727308800000,0.6311,0.6748,0.6311,0.66332,70297.53826729
SUSHI-EUR,1727222400000,0.64594,0.65454,0.62398,0.63555,26034.40185629
SUSHI-EUR,1727136000000,0.6233,0.64782,0.62244,0.64315,54828.4178837
SUSHI-EUR,1727049600000,0.61092,0.63817,0.61092,0.63262,88582.66753665
SUSHI-EUR,1726963200000,0.625,0.625,0.60311,0.60934,32979.84881988
SUSHI-EUR,1726876800000,0.61856,0.62763,0.61249,0.61702,62955.78487969
SUSHI-EUR,1726790400000,0.5973,0.62411,0.59558,0.61678,138127.99378253
SUSHI-EUR,1726704000000,0.5843,0.60514,0.5843,0.59943,311433.52433878
SUSHI-EUR,1726617600000,0.54597,0.58508,0.53389,0.58508,151830.28301774
SUSHI-EUR,1726531200000,0.53773,0.57004,0.53765,0.55177,74880.35146459
SUSHI-EUR,1726444800000,0.56094,0.56094,0.53491,0.53761,64225.85155056
SUSHI-EUR,1726358400000,0.58829,0.59705,0.56379,0.56491,138173.61192007
SUSHI-EUR,1726272000000,0.58502,0.5905,0.58013,0.58789,291061.25994226
SUSHI-EUR,1726185600000,0.59804,0.60283,0.57625,0.58598,332070.41483055
SUSHI-EUR,1726099200000,0.56084,0.5973,0.56084,0.59507,238869.78588775
SUSHI-EUR,1726012800000,0.56513,0.56679,0.54053,0.56098,11709.46162491
SUSHI-EUR,1725926400000,0.57077,0.57227,0.55711,0.56616,45003.0830295
SUSHI-EUR,1725840000000,0.51498,0.5777,0.51331,0.57355,294722.89816446
SUSHI-EUR,1725753600000,0.50887,0.51742,0.5,0.51725,28817.73040635
SUSHI-EUR,1725667200000,0.50157,0.5184,0.50157,0.50817,4920.97297238
SUSHI-EUR,1725580800000,0.51774,0.53102,0.48504,0.50215,71525.71175947
SUSHI-EUR,1725494400000,0.54081,0.54624,0.51278,0.51558,41615.95043213
SUSHI-EUR,1725408000000,0.498,0.54252,0.47959,0.54004,71316.62509946
SUSHI-EUR,1725321600000,0.51708,0.5302,0.50174,0.50174,11058.43582911
SUSHI-EUR,1725235200000,0.48273,0.52615,0.47989,0.51838,42105.6353069
