market,time,open,high,low,close,volume
SYN-EUR,1741132800000,0.23027,0.2387,0.22967,0.23328,29230.14531324
SYN-EUR,1741046400000,0.24053,0.25177,0.22,0.23038,249248.23794425
SYN-EUR,1740960000000,0.28666,0.29669,0.252,0.26723,53385.95425311
SYN-EUR,1740873600000,0.28874,0.3082,0.28315,0.30002,43000.13659387
SYN-EUR,1740787200000,0.27884,0.28922,0.27809,0.28763,2075.38919194
SYN-EUR,1740700800000,0.2737,0.29124,0.26772,0.29043,25693.7753706
SYN-EUR,1740614400000,0.27896,0.29034,0.2772,0.28736,13293.30335253
SYN-EUR,1740528000000,0.2979,0.2979,0.26503,0.28264,37731.2839643
SYN-EUR,1740441600000,0.275,0.29752,0.26839,0.29583,79869.98961156
SYN-EUR,1740355200000,0.33031,0.33032,0.276,0.27893,49747.66182223
SYN-EUR,1740268800000,0.338,0.34158,0.32719,0.32957,6637.12791562
SYN-EUR,1740182400000,0.32005,0.33812,0.32005,0.33618,19670.52246871
SYN-EUR,1740096000000,0.327,0.3531,0.32081,0.32385,18137.34587958
SYN-EUR,1740009600000,0.33779,0.3449,0.33043,0.33258,59829.64198031
SYN-EUR,1739923200000,0.33278,0.33998,0.33132,0.33705,30557.14386085
SYN-EUR,1739836800000,0.34717,0.35017,0.32,0.33027,70132.41987393
SYN-EUR,1739750400000,0.38545,0.39157,0.34374,0.3555,72461.90817805
SYN-EUR,1739664000000,0.39928,0.40539,0.38314,0.38314,16591.1205678
SYN-EUR,1739577600000,0.4088,0.41546,0.39239,0.40123,8840.44526308
SYN-EUR,1739491200000,0.41178,0.43454,0.40909,0.41003,158616.54137386
SYN-EUR,1739404800000,0.44145,0.45085,0.4035,0.41217,201161.55713975
SYN-EUR,1739318400000,0.40741,0.4913,0.38991,0.44095,1594865.03827096
SYN-EUR,1739232000000,0.3718,0.42564,0.34445,0.40401,537979.80944624
SYN-EUR,1739145600000,0.36008,0.38888,0.34226,0.36637,1012780.322194
SYN-EUR,1739059200000,0.31677,0.37973,0.31677,0.36003,1103182.21073955
SYN-EUR,1738972800000,0.297,0.31896,0.29156,0.31579,12787.28597823
SYN-EUR,1738886400000,0.31887,0.33147,0.29,0.29469,140115.00324588
SYN-EUR,1738800000000,0.32079,0.34536,0.30626,0.30626,116564.90331747
SYN-EUR,1738713600000,0.32692,0.33941,0.31636,0.31763,26562.43985271
SYN-EUR,1738627200000,0.34887,0.34977,0.32056,0.32656,46572.21163852
SYN-EUR,1738540800000,0.34272,0.35736,0.27287,0.35219,247299.82496556
SYN-EUR,1738454400000,0.39482,0.40033,0.33992,0.33992,90750.91077796
SYN-EUR,1738368000000,0.45248,0.45424,0.39359,0.39359,16567.66346051
SYN-EUR,1738281600000,0.4514,0.46954,0.43797,0.44585,108876.19108618
SYN-EUR,1738195200000,0.41691,0.45644,0.41546,0.45644,128707.45982349
SYN-EUR,1738108800000,0.41443,0.4335,0.41261,0.41843,16965.3852671
SYN-EUR,1738022400000,0.435,0.44419,0.4,0.4,111388.35103187
SYN-EUR,1737936000000,0.4342,0.43611,0.38929,0.42781,96274.72732691
SYN-EUR,1737849600000,0.45856,0.46633,0.44,0.44,72269.78474007
SYN-EUR,1737763200000,0.448,0.46231,0.44244,0.45525,93220.4833562
SYN-EUR,1737676800000,0.48998,0.48998,0.45,0.4516,41351.45365199
SYN-EUR,1737590400000,0.498,0.51149,0.48,0.48911,46764.06682891
SYN-EUR,1737504000000,0.53405,0.53405,0.5,0.5028,29621.05153371
SYN-EUR,1737417600000,0.53573,0.54781,0.51217,0.52962,52695.63862615
SYN-EUR,1737331200000,0.54064,0.5802,0.52803,0.53584,247883.10445719
SYN-EUR,1737244800000,0.6,0.61534,0.54901,0.54901,237441.79065817
SYN-EUR,1737158400000,0.6628,0.6628,0.59796,0.61331,56745.16013235
SYN-EUR,1737072000000,0.62726,0.6686,0.62726,0.66293,47386.96829765
SYN-EUR,1736985600000,0.63579,0.64381,0.61704,0.61704,26965.90058047
SYN-EUR,1736899200000,0.57989,0.65622,0.57989,0.64366,283089.20975329
SYN-EUR,1736812800000,0.56188,0.58979,0.56188,0.58092,118916.60615086
SYN-EUR,1736726400000,0.57116,0.57116,0.52268,0.56443,35279.99291206
SYN-EUR,1736640000000,0.6115,0.61615,0.57787,0.57787,32954.213553
SYN-EUR,1736553600000,0.5862,0.61854,0.5783,0.60854,49344.01321252
SYN-EUR,1736467200000,0.56878,0.59743,0.56878,0.59152,46545.82342977
SYN-EUR,1736380800000,0.58801,0.58801,0.54512,0.55424,5372.52634928
SYN-EUR,1736294400000,0.61766,0.62073,0.55602,0.58965,51496.51886478
SYN-EUR,1736208000000,0.69429,0.70153,0.61658,0.62664,125255.84731197
SYN-EUR,1736121600000,0.71565,0.72786,0.67766,0.69711,102645.42776427
SYN-EUR,1736035200000,0.66755,0.72997,0.65417,0.72045,351501.05230084
SYN-EUR,1735948800000,0.64516,0.67865,0.63926,0.66325,131674.89591198
SYN-EUR,1735862400000,0.62076,0.67145,0.5968,0.64058,157554.81713208
SYN-EUR,1735776000000,0.64141,0.66482,0.60773,0.62438,210061.67253447
SYN-EUR,1735689600000,0.61451,0.64446,0.59077,0.64,438415.93707064
SYN-EUR,1735603200000,0.59303,0.66605,0.55899,0.61307,2716545.18834985
SYN-EUR,1735516800000,0.5067,0.66262,0.47766,0.5924,2747090.21813616
SYN-EUR,1735430400000,0.5143,0.51993,0.49083,0.49083,13198.12824443
SYN-EUR,1735344000000,0.5,0.52284,0.48982,0.52284,13673.55986277
SYN-EUR,1735257600000,0.49027,0.52472,0.49027,0.50072,37641.08523164
SYN-EUR,1735171200000,0.53198,0.53488,0.48216,0.48932,7826.74624547
SYN-EUR,1735084800000,0.55,0.5528,0.53029,0.53788,1497.36738688
SYN-EUR,1734998400000,0.5215,0.5502,0.5215,0.5402,52317.51162671
SYN-EUR,1734912000000,0.49805,0.5449,0.48961,0.5337,17473.9986529
SYN-EUR,1734825600000,0.50468,0.51969,0.4909,0.51003,17672.96617169
SYN-EUR,1734739200000,0.53135,0.56489,0.49714,0.50092,72377.47813924
SYN-EUR,1734652800000,0.53292,0.5466,0.44183,0.53206,145761.25730046
SYN-EUR,1734566400000,0.5735,0.58014,0.49774,0.51941,88546.19783315
SYN-EUR,1734480000000,0.648,0.648,0.57,0.57647,83217.77015877
SYN-EUR,1734393600000,0.69852,0.69852,0.64464,0.64464,16997.08543728
SYN-EUR,1734307200000,0.72817,0.74599,0.67619,0.69836,140760.58580358
SYN-EUR,1734220800000,0.706,0.73696,0.67766,0.68835,59367.41669126
SYN-EUR,1734134400000,0.76385,0.76385,0.69015,0.71081,35086.0233836
SYN-EUR,1734048000000,0.73992,0.76784,0.73149,0.75743,104386.83072198
SYN-EUR,1733961600000,0.70874,0.79868,0.70367,0.75882,87473.05033018
SYN-EUR,1733875200000,0.67,0.74434,0.657,0.7175,87837.2484435
SYN-EUR,1733788800000,0.70082,0.73055,0.61577,0.6864,297812.90793805
SYN-EUR,1733702400000,0.87511,0.87511,0.6019,0.7161,601408.3048764
SYN-EUR,1733616000000,0.92056,0.93608,0.86539,0.87824,75684.29722138
SYN-EUR,1733529600000,0.8555,0.95867,0.84544,0.90446,313192.24346601
SYN-EUR,1733443200000,0.82,0.89527,0.79791,0.86007,94728.62758334
SYN-EUR,1733356800000,0.81776,0.85802,0.78,0.82599,148529.37513372
SYN-EUR,1733270400000,0.74397,0.99096,0.74397,0.82211,1131455.92928659
SYN-EUR,1733184000000,0.72226,0.75717,0.64486,0.75353,627474.08332173
SYN-EUR,1733097600000,0.66064,0.73367,0.62652,0.72884,333636.85294989
