market,time,open,high,low,close,volume
TAIKO-EUR,1741132800000,0.76685,0.78221,0.75441,0.77388,6481.56614686
TAIKO-EUR,1741046400000,0.77214,0.82566,0.73908,0.76637,55190.42365379
TAIKO-EUR,1740960000000,0.95383,0.96898,0.83105,0.83727,33302.23774473
TAIKO-EUR,1740873600000,1.0706,1.0706,0.91535,0.97889,50196.98005632
TAIKO-EUR,1740787200000,0.97232,1.0073,0.92782,0.9364,8285.71375056
TAIKO-EUR,1740700800000,0.9505,1.0586,0.88035,0.9659,62740.11289433
TAIKO-EUR,1740614400000,0.87549,0.98036,0.87549,0.91521,73639.48295748
TAIKO-EUR,1740528000000,0.86103,0.9,0.81753,0.86235,2857.11928166
TAIKO-EUR,1740441600000,0.88051,0.88051,0.82586,0.86049,15116.86898262
TAIKO-EUR,1740355200000,0.91998,0.978,0.88098,0.89106,81116.57426519
TAIKO-EUR,1740268800000,1.0249,1.1,0.97826,0.98558,2500.60605206
TAIKO-EUR,1740182400000,0.98759,0.99637,0.98008,0.99637,2010.65612065
TAIKO-EUR,1740096000000,0.99259,1.0601,0.96545,1.0057,63807.72206986
TAIKO-EUR,1740009600000,0.96727,0.98354,0.96149,0.98322,79089.53361147
TAIKO-EUR,1739923200000,0.96796,0.97207,0.95473,0.96712,67.53960586
TAIKO-EUR,1739836800000,0.9879,0.98794,0.93156,0.95418,2185.42521424
TAIKO-EUR,1739750400000,1.0347,1.0347,1.0006,1.0006,31.0991603
TAIKO-EUR,1739664000000,1.0137,1.0137,0.9834,0.9834,29.96871376
TAIKO-EUR,1739577600000,1.0135,1.0135,0.98636,0.98636,248.63569921
TAIKO-EUR,1739491200000,1.0452,1.0452,1.0202,1.0202,120.22308458
TAIKO-EUR,1739404800000,1.0118,1.0118,0.99483,0.99483,284.28599849
TAIKO-EUR,1739318400000,1.0101,1.0573,0.99064,1.0573,3614.89572861
TAIKO-EUR,1739232000000,1.067,1.0762,1.0044,1.0044,977.71213108
TAIKO-EUR,1739145600000,1.05,1.0716,1.0361,1.0549,2364.34572304
TAIKO-EUR,1739059200000,1.0376,1.0463,0.98157,0.98157,1602.6922536
TAIKO-EUR,1738972800000,0.9633,0.99842,0.95395,0.99842,3412.97080463
TAIKO-EUR,1738886400000,1.0035,1.0138,0.95224,0.95224,1843.42637792
TAIKO-EUR,1738800000000,1.0234,1.044,0.97187,0.97213,1035.56371731
TAIKO-EUR,1738713600000,1.0453,1.062,1.0045,1.0203,6360.83951395
TAIKO-EUR,1738627200000,1.1237,1.1238,1.0063,1.0063,10383.12806437
TAIKO-EUR,1738540800000,1.0898,1.1748,0.84639,1.1748,31340.53171097
TAIKO-EUR,1738454400000,1.2116,1.2242,1.0281,1.1192,9685.59548477
TAIKO-EUR,1738368000000,1.2968,1.2968,1.168,1.168,6352.74982101
TAIKO-EUR,1738281600000,1.2571,1.3031,1.2571,1.2753,3118.6473273
TAIKO-EUR,1738195200000,1.2407,1.2855,1.2351,1.2799,713.09715653
TAIKO-EUR,1738108800000,1.1956,1.267,1.1956,1.24,663.6161339
TAIKO-EUR,1738022400000,1.1961,1.2666,1.1736,1.1813,1846.85737729
TAIKO-EUR,1737936000000,1.2508,1.2546,1.1234,1.1891,1604.30773232
TAIKO-EUR,1737849600000,1.3142,1.3234,1.2668,1.2668,6013.08361
TAIKO-EUR,1737763200000,1.2985,1.3393,1.287,1.3179,728.41726137
TAIKO-EUR,1737676800000,1.3081,1.3536,1.2713,1.2752,3575.45828243
TAIKO-EUR,1737590400000,1.2767,1.2896,1.2604,1.2666,5519.45829705
TAIKO-EUR,1737504000000,1.2869,1.313,1.2861,1.2927,1787.71263279
TAIKO-EUR,1737417600000,1.2607,1.3038,1.2169,1.2798,2393.02968061
TAIKO-EUR,1737331200000,1.3652,1.41,1.2799,1.2928,4419.46470502
TAIKO-EUR,1737244800000,1.3727,1.4081,1.2757,1.2819,11130.36699257
TAIKO-EUR,1737158400000,1.4503,1.4878,1.3307,1.4122,2456.95337796
TAIKO-EUR,1737072000000,1.3964,1.4539,1.3964,1.4518,4778.98548103
TAIKO-EUR,1736985600000,1.4019,1.4182,1.35,1.3677,1663.71050712
TAIKO-EUR,1736899200000,1.358,1.4257,1.3338,1.4257,6575.32498394
TAIKO-EUR,1736812800000,1.3732,1.399,1.3732,1.3932,431.39207819
TAIKO-EUR,1736726400000,1.4658,1.4692,1.3219,1.3835,3089.96012178
TAIKO-EUR,1736640000000,1.5615,1.5639,1.5094,1.5218,3325.01770641
TAIKO-EUR,1736553600000,1.5072,1.5218,1.505,1.5218,1096.44785106
TAIKO-EUR,1736467200000,1.5138,1.5522,1.5138,1.5403,1006.30166531
TAIKO-EUR,1736380800000,1.5377,1.5438,1.4701,1.5126,2995.67746659
TAIKO-EUR,1736294400000,1.5529,1.5529,1.4651,1.5509,1100.11153634
TAIKO-EUR,1736208000000,1.7078,1.7157,1.5422,1.572,5357.31274973
TAIKO-EUR,1736121600000,1.6668,1.7343,1.6668,1.7076,3722.67431244
TAIKO-EUR,1736035200000,1.7139,1.7139,1.6684,1.694,17063.47059958
TAIKO-EUR,1735948800000,1.6586,1.6833,1.6416,1.6565,1561.72302758
TAIKO-EUR,1735862400000,1.6438,1.6864,1.6127,1.683,2227.16713086
TAIKO-EUR,1735776000000,1.6169,1.6635,1.6169,1.637,1798.43370765
TAIKO-EUR,1735689600000,1.5543,1.6,1.5419,1.6,2363.59560021
TAIKO-EUR,1735603200000,1.5641,1.5932,1.5209,1.5603,2157.09907205
TAIKO-EUR,1735516800000,1.6363,1.6602,1.5448,1.5528,1268.28986553
TAIKO-EUR,1735430400000,1.653,1.6811,1.6077,1.6077,1250.88774918
TAIKO-EUR,1735344000000,1.6102,1.6957,1.6,1.6957,3184.77987078
TAIKO-EUR,1735257600000,1.6136,1.7185,1.6135,1.6138,3529.49271157
TAIKO-EUR,1735171200000,1.7418,1.7519,1.6238,1.6258,5622.90006526
