market,time,open,high,low,close,volume
TIA-USDC,1741132800000,3.3758,3.4978,3.2346,3.2962,12565.79512388
TIA-USDC,1741046400000,3.2587,3.5544,3.2216,3.4235,60505.688002
TIA-USDC,1740960000000,4.0621,4.1565,3.3157,3.4145,11511.70214944
TIA-USDC,1740873600000,4.1305,4.4778,4.0883,4.2118,16724.64598139
TIA-USDC,1740787200000,4.1678,4.3053,4.0541,4.1673,55686.16829448
TIA-USDC,1740700800000,3.607,4.1411,3.3858,4.0926,21379.9764804
TIA-USDC,1740614400000,3.8273,3.96,3.6116,3.625,29358.807412
TIA-USDC,1740528000000,3.6327,4.079,3.5836,3.822,33398.02907948
TIA-USDC,1740441600000,3.2151,3.7992,3.0162,3.6743,56595.84750488
TIA-USDC,1740355200000,3.711,3.7517,3.209,3.2362,21310.837436
TIA-USDC,1740268800000,3.7627,3.8018,3.6778,3.715,9667.547709
TIA-USDC,1740182400000,3.5548,3.979,3.5212,3.764,29212.003664
TIA-USDC,1740096000000,3.7043,3.7957,3.4722,3.5815,61249.44637
TIA-USDC,1740009600000,3.1463,3.7739,3.141,3.6604,75150.37555715
TIA-USDC,1739923200000,3.0109,3.2033,2.9646,3.1439,15121.866145
TIA-USDC,1739836800000,3.104,3.1774,2.9347,2.9964,9882.821889
TIA-USDC,1739750400000,3.0568,3.2302,3.0205,3.1743,2065.918279
TIA-USDC,1739664000000,3.0717,3.1081,2.9922,3.0196,1745.866836
TIA-USDC,1739577600000,3.1833,3.2249,3.0223,3.0619,7631.381769
TIA-USDC,1739491200000,3.0426,3.2845,3.0426,3.1714,3882.009981
TIA-USDC,1739404800000,3.2456,3.2456,2.9494,3.0112,10785.484465
TIA-USDC,1739318400000,3.1912,3.3026,3.0008,3.2354,26288.72959158
TIA-USDC,1739232000000,3.2691,3.5494,3.2077,3.2231,9254.14262109
TIA-USDC,1739145600000,3.1336,3.315,3.0144,3.2101,11131.40135104
TIA-USDC,1739059200000,3.0332,3.1763,2.9342,3.1272,13521.09415974
TIA-USDC,1738972800000,2.8239,3.0457,2.8001,3.0334,2940.8179759
TIA-USDC,1738886400000,2.937,3.1003,2.7379,2.7968,11339.23294657
TIA-USDC,1738800000000,2.9902,3.1184,2.8269,2.9075,32770.35593353
TIA-USDC,1738713600000,3.2471,3.3054,2.9964,3.025,6455.923667
TIA-USDC,1738627200000,3.4416,3.4416,3.0448,3.2486,22665.44643812
TIA-USDC,1738540800000,3.2825,3.5126,2.3733,3.4999,44526.38312975
TIA-USDC,1738454400000,4.0064,4.0064,3.0022,3.2952,17562.53839417
TIA-USDC,1738368000000,4.4096,4.4533,3.9324,3.9461,2419.08658172
TIA-USDC,1738281600000,4.1971,4.5304,4.1681,4.2823,3477.9459429
TIA-USDC,1738195200000,3.9422,4.3433,3.9422,4.287,14679.06691583
TIA-USDC,1738108800000,3.8199,4.0688,3.8038,4.0507,11291.65687277
TIA-USDC,1738022400000,4.0405,4.0676,3.7709,3.7709,1524.82287975
