market,time,open,high,low,close,volume
TURBO-EUR,1741132800000,0.002597,0.0026657,0.0024105,0.0024202,31550941.97414926
TURBO-EUR,1741046400000,0.0028018,0.0029168,0.0023837,0.0025814,38497484.61380036
TURBO-EUR,1740960000000,0.0034098,0.0035476,0.00285,0.0029212,19657424.60230571
TURBO-EUR,1740873600000,0.0032221,0.0035741,0.003154,0.0032975,31601834.59509843
TURBO-EUR,1740787200000,0.0032905,0.0033871,0.0030804,0.0032356,27426150.29456761
TURBO-EUR,1740700800000,0.0031522,0.0033856,0.0028865,0.0033415,41308507.91251128
TURBO-EUR,1740614400000,0.0032056,0.0032947,0.0031046,0.0031509,15818569.3234272
TURBO-EUR,1740528000000,0.0031174,0.0031936,0.0029907,0.0031401,21764383.78581538
TURBO-EUR,1740441600000,0.0029311,0.0031178,0.0027362,0.0030638,24905253.67384559
TURBO-EUR,1740355200000,0.0034901,0.0035238,0.002817,0.002916,62320979.47627178
TURBO-EUR,1740268800000,0.0036509,0.0036683,0.0034335,0.0034724,24474803.11741196
TURBO-EUR,1740182400000,0.003302,0.0037899,0.00322,0.0036534,58501011.82380311
TURBO-EUR,1740096000000,0.0032421,0.0038053,0.0031681,0.0033042,67122689.85193864
TURBO-EUR,1740009600000,0.0030655,0.003236,0.0030503,0.003236,14047096.17386092
TURBO-EUR,1739923200000,0.0031642,0.003188,0.0030326,0.0030623,3538122.85681755
TURBO-EUR,1739836800000,0.003405,0.0034117,0.0029731,0.0031346,42934491.93190757
TURBO-EUR,1739750400000,0.0034705,0.003586,0.00326,0.003419,13481146.64079327
TURBO-EUR,1739664000000,0.0035357,0.003538,0.0033954,0.0034763,10558699.54669009
TURBO-EUR,1739577600000,0.0036153,0.0036555,0.0034479,0.0035149,17543807.58766508
TURBO-EUR,1739491200000,0.003297,0.0038592,0.003268,0.0036437,31904711.37396952
TURBO-EUR,1739404800000,0.0035695,0.003628,0.0032662,0.0032893,11300469.46123502
TURBO-EUR,1739318400000,0.0035748,0.0036112,0.0031963,0.0035631,75636797.33696906
TURBO-EUR,1739232000000,0.0036982,0.0039078,0.0035091,0.0035524,43320607.66429423
TURBO-EUR,1739145600000,0.0037417,0.0038252,0.0035918,0.0036794,24132034.99258716
TURBO-EUR,1739059200000,0.0038432,0.0039251,0.0035373,0.0037395,12904329.0332485
TURBO-EUR,1738972800000,0.0035455,0.003928,0.0034756,0.0038723,17995274.85413558
TURBO-EUR,1738886400000,0.0035062,0.0038629,0.0033808,0.0035197,19968443.65135799
TURBO-EUR,1738800000000,0.0038161,0.0038766,0.0034392,0.0034685,32466169.28959868
TURBO-EUR,1738713600000,0.0039237,0.0041115,0.0037268,0.0037638,21810637.43834548
TURBO-EUR,1738627200000,0.0041972,0.0042079,0.0037897,0.0039375,54789744.45152158
TURBO-EUR,1738540800000,0.0040085,0.0043323,0.0028025,0.0042058,71270134.38746357
TURBO-EUR,1738454400000,0.004799,0.0049198,0.0037458,0.0039765,56424788.74660209
TURBO-EUR,1738368000000,0.0055005,0.0055202,0.00471,0.0047468,33376339.05294148
TURBO-EUR,1738281600000,0.0054071,0.0060765,0.0052766,0.0055052,45614419.13341267
TURBO-EUR,1738195200000,0.0051123,0.0058068,0.0051055,0.005435,57924839.78238896
TURBO-EUR,1738108800000,0.0046506,0.0054601,0.0046455,0.0051946,62239850.53440105
TURBO-EUR,1738022400000,0.0051997,0.0052463,0.0045635,0.0046685,33451525.13112857
TURBO-EUR,1737936000000,0.0053913,0.0053913,0.0045251,0.0051935,96531311.3775879
TURBO-EUR,1737849600000,0.0055615,0.0058573,0.0054,0.0054,24140882.41836993
TURBO-EUR,1737763200000,0.0054858,0.0057031,0.0053545,0.0055198,22552862.90040487
TURBO-EUR,1737676800000,0.0058349,0.0059785,0.0054316,0.0054888,30376339.98301122
TURBO-EUR,1737590400000,0.0060711,0.0061435,0.0055875,0.0058094,24440831.24341513
TURBO-EUR,1737504000000,0.0062144,0.0064095,0.0060835,0.0060835,30523275.51851306
TURBO-EUR,1737417600000,0.0064621,0.0066263,0.0059908,0.006221,44657780.2751874
TURBO-EUR,1737331200000,0.0061043,0.0066219,0.0057893,0.0064524,158800904.7978325
TURBO-EUR,1737244800000,0.007753,0.007915,0.0060643,0.0061319,128632204.2551248
TURBO-EUR,1737158400000,0.0088778,0.0090063,0.0075202,0.0077608,28600967.36494784
TURBO-EUR,1737072000000,0.0077301,0.0089589,0.0077301,0.0088573,42969347.5897449
TURBO-EUR,1736985600000,0.0084569,0.0084569,0.0076578,0.0077196,32612644.42762056
TURBO-EUR,1736899200000,0.0080282,0.0084399,0.007495,0.0083904,29988848.8951377
TURBO-EUR,1736812800000,0.0076703,0.0085243,0.0076626,0.0080363,42631655.80969705
TURBO-EUR,1736726400000,0.0078362,0.008073,0.0069416,0.0075906,32228388.83833329
TURBO-EUR,1736640000000,0.0081017,0.0081285,0.0077304,0.007857,18254153.69115381
TURBO-EUR,1736553600000,0.0081733,0.0083027,0.007964,0.0080926,8815352.6952239
TURBO-EUR,1736467200000,0.0081343,0.0084496,0.0079512,0.008219,18313875.34413164
TURBO-EUR,1736380800000,0.0082341,0.0083387,0.0078119,0.008056,10912277.12977325
TURBO-EUR,1736294400000,0.0085742,0.0086824,0.0076943,0.008227,24801182.05475025
TURBO-EUR,1736208000000,0.0097127,0.0098293,0.0085585,0.0085654,33666941.87614251
TURBO-EUR,1736121600000,0.0097384,0.010085,0.0094876,0.0097696,18371690.50450424
TURBO-EUR,1736035200000,0.00989,0.0098951,0.0095,0.0097345,31511880.58809913
TURBO-EUR,1735948800000,0.010126,0.010184,0.0097319,0.00989,30275565.16007751
TURBO-EUR,1735862400000,0.0089734,0.010403,0.0087806,0.010125,70116911.1386291
TURBO-EUR,1735776000000,0.0088572,0.0095319,0.0088085,0.0089991,42214680.3567274
TURBO-EUR,1735689600000,0.0087982,0.0091452,0.0086371,0.0089075,41627905.27932229
TURBO-EUR,1735603200000,0.0087852,0.0093101,0.0083795,0.0087639,55325844.64758467
TURBO-EUR,1735516800000,0.0089853,0.0092736,0.0087193,0.0088455,27694885.92786856
TURBO-EUR,1735430400000,0.0094886,0.0095287,0.0088836,0.0090153,54124895.82521962
TURBO-EUR,1735344000000,0.0093026,0.0098231,0.0091299,0.0094932,33120160.24769299
TURBO-EUR,1735257600000,0.0097554,0.010416,0.0092489,0.0092618,47259090.20632125
TURBO-EUR,1735171200000,0.011167,0.0114,0.0095,0.0097082,52968718.41266926
TURBO-EUR,1735084800000,0.010691,0.011213,0.010233,0.011041,107310482.14510334
TURBO-EUR,1734998400000,0.008551,0.010956,0.0083963,0.010878,125200909.80080388
TURBO-EUR,1734912000000,0.0081197,0.0088249,0.0077779,0.0085476,33207920.0914024
TURBO-EUR,1734825600000,0.0079417,0.0085565,0.0076653,0.0081408,34962938.05931555
TURBO-EUR,1734739200000,0.0082592,0.0090937,0.0078035,0.0079404,52318245.30957831
TURBO-EUR,1734652800000,0.0077839,0.0083911,0.006736,0.0082391,63902688.43941768
TURBO-EUR,1734566400000,0.0086698,0.0088375,0.0074627,0.0077258,68455930.81074308
TURBO-EUR,1734480000000,0.0095264,0.0095908,0.0084,0.0086917,99196559.52621326
TURBO-EUR,1734393600000,0.010125,0.01055,0.0093413,0.0094555,86934984.8544868
TURBO-EUR,1734307200000,0.010462,0.010722,0.0098431,0.010166,86681870.47457194
TURBO-EUR,1734220800000,0.010852,0.010852,0.010153,0.010518,58779587.034496
TURBO-EUR,1734134400000,0.011057,0.0113,0.010291,0.010827,47186757.06751027
TURBO-EUR,1734048000000,0.011531,0.011877,0.01095,0.011057,66710768.17133337
TURBO-EUR,1733961600000,0.01277,0.012876,0.011245,0.011582,206157447.57961944
TURBO-EUR,1733875200000,0.0099398,0.013763,0.0096263,0.012838,529102248.70583993
TURBO-EUR,1733788800000,0.0101,0.010761,0.0083836,0.0099365,227386938.40634117
TURBO-EUR,1733702400000,0.010632,0.012804,0.0082083,0.010145,453643017.5755597
TURBO-EUR,1733616000000,0.010408,0.011018,0.009954,0.010588,167619970.25427637
TURBO-EUR,1733529600000,0.0088649,0.0114,0.0086183,0.010407,425775447.63685185
TURBO-EUR,1733443200000,0.0080986,0.0091679,0.0079626,0.0088878,95865905.45462778
TURBO-EUR,1733356800000,0.0082231,0.0086201,0.0075731,0.0081392,130184537.63996898
TURBO-EUR,1733270400000,0.0074437,0.0095825,0.0071439,0.0082902,222581618.87452692
TURBO-EUR,1733184000000,0.0070965,0.0074471,0.00652,0.0073859,59330203.11764037
TURBO-EUR,1733097600000,0.0075927,0.0076244,0.0066967,0.0070984,69414040.55900444
TURBO-EUR,1733011200000,0.0076075,0.0079496,0.0073972,0.0075805,39486363.71050371
TURBO-EUR,1732924800000,0.0073674,0.0077127,0.0071781,0.0076085,24333293.29391598
TURBO-EUR,1732838400000,0.0069776,0.0077875,0.0068719,0.0074134,86159141.40808675
TURBO-EUR,1732752000000,0.0068316,0.0070983,0.0066371,0.006953,51003914.85579106
TURBO-EUR,1732665600000,0.0065024,0.0069008,0.0064214,0.0068876,28210467.265255
TURBO-EUR,1732579200000,0.00685,0.0070655,0.0062149,0.0065417,28907048.49173946
TURBO-EUR,1732492800000,0.0070603,0.0072581,0.0065274,0.0068027,51345201.56768172
TURBO-EUR,1732406400000,0.0073579,0.0078556,0.0065887,0.0070534,69133220.67635913
TURBO-EUR,1732320000000,0.0073236,0.0078,0.0070428,0.0073478,59199554.57694484
TURBO-EUR,1732233600000,0.0076768,0.0076934,0.0069881,0.0073053,84816189.32468878
TURBO-EUR,1732147200000,0.0072299,0.0079796,0.006953,0.0077159,47999262.98916497
TURBO-EUR,1732060800000,0.0081131,0.0081209,0.007138,0.0071897,56975859.990753
TURBO-EUR,1731974400000,0.0082,0.008354,0.0077366,0.0081085,61573195.468942
TURBO-EUR,1731888000000,0.0087081,0.0087654,0.0079987,0.0081855,62265787.00524624
TURBO-EUR,1731801600000,0.0084386,0.0091983,0.0079366,0.0087154,65560247.28366356
TURBO-EUR,1731715200000,0.0088199,0.0092143,0.0082486,0.0085025,130586215.51004255
TURBO-EUR,1731628800000,0.0083633,0.0091,0.0078867,0.0088592,82852096.8184709
TURBO-EUR,1731542400000,0.0086614,0.010333,0.0082341,0.0083108,318024571.3617161
TURBO-EUR,1731456000000,0.0084796,0.0090239,0.007368,0.0086937,214828468.86703616
TURBO-EUR,1731369600000,0.0084221,0.0097282,0.0077527,0.0085382,232634233.58379823
TURBO-EUR,1731283200000,0.0087499,0.009145,0.00795,0.0084554,166403062.814853
TURBO-EUR,1731196800000,0.0085273,0.010194,0.0080833,0.0087611,181381857.92730546
TURBO-EUR,1731110400000,0.0080647,0.0086854,0.0077357,0.0084931,45338583.77440473
TURBO-EUR,1731024000000,0.008518,0.0086499,0.0077143,0.0079922,95052195.03138027
TURBO-EUR,1730937600000,0.00886,0.0090855,0.0080322,0.0083417,71862345.38052449
TURBO-EUR,1730851200000,0.0074091,0.0089633,0.0073922,0.0088533,82702737.46093601
TURBO-EUR,1730764800000,0.0066921,0.0077338,0.0066921,0.0074311,41862469.62181047
TURBO-EUR,1730678400000,0.0069989,0.0070126,0.0065116,0.0066531,23545915.93397072
TURBO-EUR,1730592000000,0.0073378,0.0073645,0.0066354,0.0069942,41564522.04894086
TURBO-EUR,1730505600000,0.0079104,0.0080303,0.0072276,0.0072528,27871713.09983476
TURBO-EUR,1730419200000,0.0079645,0.0082383,0.0075179,0.0078559,20531700.33887532
TURBO-EUR,1730332800000,0.0083509,0.0084266,0.0077901,0.007898,23214367.62253113
TURBO-EUR,1730246400000,0.0086598,0.0086598,0.0081369,0.0084051,29016609.63306225
TURBO-EUR,1730160000000,0.0084852,0.0095571,0.0084319,0.0086742,55222275.40246501
TURBO-EUR,1730073600000,0.0087453,0.0088368,0.00792,0.0085334,62643273.19192959
TURBO-EUR,1729987200000,0.0080399,0.0088799,0.007823,0.0087443,40549009.97302849
TURBO-EUR,1729900800000,0.00795,0.0083,0.0077248,0.008052,28708996.24560807
TURBO-EUR,1729814400000,0.0095286,0.0095286,0.0076073,0.00795,76782278.48451109
TURBO-EUR,1729728000000,0.0086597,0.0096167,0.0086046,0.0095286,55814457.14046633
TURBO-EUR,1729641600000,0.0091024,0.0094955,0.0084,0.00864,80935849.9754965
TURBO-EUR,1729555200000,0.0090949,0.0093798,0.008784,0.0090924,50931016.03695278
TURBO-EUR,1729468800000,0.0095785,0.0097396,0.0088796,0.0090354,38105583.09670968
TURBO-EUR,1729382400000,0.0098469,0.0098661,0.0093,0.0095292,45145436.03520566
TURBO-EUR,1729296000000,0.0095424,0.010862,0.0094984,0.0098378,95551813.1584506
TURBO-EUR,1729209600000,0.0092762,0.0099867,0.0092319,0.0095359,97533328.56896453
TURBO-EUR,1729123200000,0.009737,0.010651,0.0089398,0.0093109,148223592.39052013
TURBO-EUR,1729036800000,0.010556,0.010647,0.0093583,0.009721,155077335.1911008
