market,time,open,high,low,close,volume
UTK-EUR,1741132800000,0.040082,0.040825,0.038957,0.039246,340940.52989322
UTK-EUR,1741046400000,0.040841,0.040841,0.038014,0.039456,379921.02604558
UTK-EUR,1740960000000,0.048731,0.048731,0.040204,0.041283,635204.15629275
UTK-EUR,1740873600000,0.044741,0.048675,0.0443,0.047597,1764795.32387276
UTK-EUR,1740787200000,0.04436,0.046123,0.043609,0.045655,341813.3516236
UTK-EUR,1740700800000,0.044,0.046699,0.04178,0.04643,651132.56921716
UTK-EUR,1740614400000,0.044845,0.046647,0.043673,0.044126,1453666.13104744
UTK-EUR,1740528000000,0.045565,0.046408,0.042314,0.044353,1594479.48916986
UTK-EUR,1740441600000,0.044324,0.046036,0.041496,0.04575,1132756.06706692
UTK-EUR,1740355200000,0.052028,0.052028,0.043519,0.043519,1082733.39235921
UTK-EUR,1740268800000,0.053616,0.054549,0.051408,0.052728,782812.47462992
UTK-EUR,1740182400000,0.052094,0.054372,0.051623,0.054099,528985.62259629
UTK-EUR,1740096000000,0.055298,0.057265,0.051358,0.051847,1075173.67194813
UTK-EUR,1740009600000,0.053138,0.055257,0.052849,0.055257,306386.46971316
UTK-EUR,1739923200000,0.052396,0.055958,0.052369,0.052996,628115.24578184
UTK-EUR,1739836800000,0.053868,0.05392,0.050275,0.052105,432176.79871304
UTK-EUR,1739750400000,0.055681,0.057253,0.053556,0.054566,557980.23246518
UTK-EUR,1739664000000,0.058132,0.058132,0.0555,0.056,969921.71888581
UTK-EUR,1739577600000,0.057925,0.058345,0.05728,0.057842,711908.61144919
UTK-EUR,1739491200000,0.057966,0.059185,0.057121,0.057936,2652092.29000175
UTK-EUR,1739404800000,0.058572,0.059299,0.057252,0.057591,999659.49155021
UTK-EUR,1739318400000,0.059015,0.059943,0.055533,0.05937,1802382.83084659
UTK-EUR,1739232000000,0.058759,0.061824,0.058059,0.059192,2542446.52360214
UTK-EUR,1739145600000,0.059074,0.06089,0.057084,0.058575,675723.59093095
UTK-EUR,1739059200000,0.060125,0.0623,0.056281,0.059082,1813407.22057257
UTK-EUR,1738972800000,0.06029,0.06049,0.057487,0.059541,1764389.75856504
UTK-EUR,1738886400000,0.057659,0.064759,0.057473,0.060301,6149428.56425964
UTK-EUR,1738800000000,0.058779,0.060776,0.056004,0.057226,2405138.04595907
UTK-EUR,1738713600000,0.06136,0.062291,0.057864,0.058898,4648135.07841363
UTK-EUR,1738627200000,0.060993,0.073131,0.055111,0.06159,28781195.13246476
UTK-EUR,1738540800000,0.05441,0.06576,0.041,0.060678,23566253.47407449
UTK-EUR,1738454400000,0.062094,0.062215,0.050747,0.054401,5324887.51440441
UTK-EUR,1738368000000,0.065404,0.071,0.060996,0.061972,6387365.33960134
UTK-EUR,1738281600000,0.065487,0.0666,0.063862,0.065033,777922.743079
UTK-EUR,1738195200000,0.064316,0.066673,0.063885,0.065212,1230654.44522498
UTK-EUR,1738108800000,0.0641,0.066515,0.062259,0.064201,2217113.12390876
UTK-EUR,1738022400000,0.071629,0.0738,0.062417,0.063606,6704160.27552924
UTK-EUR,1737936000000,0.06293,0.072142,0.057583,0.07108,12599430.83005544
UTK-EUR,1737849600000,0.067499,0.069183,0.063199,0.063397,2560875.92792818
UTK-EUR,1737763200000,0.065789,0.072103,0.064833,0.06729,9689541.26701664
UTK-EUR,1737676800000,0.064414,0.069082,0.06,0.065971,4689319.45730646
UTK-EUR,1737590400000,0.067377,0.071505,0.062099,0.063916,9767199.22497541
UTK-EUR,1737504000000,0.062589,0.080413,0.059825,0.067184,39349309.93383776
UTK-EUR,1737417600000,0.054585,0.079207,0.049921,0.063077,26798641.31757353
UTK-EUR,1737331200000,0.054985,0.058997,0.051223,0.054867,2277008.04951621
UTK-EUR,1737244800000,0.065058,0.066289,0.054,0.055039,5754705.76512519
UTK-EUR,1737158400000,0.071859,0.072953,0.064438,0.06547,2051472.95049003
UTK-EUR,1737072000000,0.069635,0.073279,0.068924,0.07189,4215862.04946278
UTK-EUR,1736985600000,0.074189,0.074189,0.066045,0.069845,3594518.21782193
UTK-EUR,1736899200000,0.068501,0.074489,0.064491,0.073939,4072141.95001469
UTK-EUR,1736812800000,0.069219,0.0718,0.068241,0.068823,2289282.17470083
UTK-EUR,1736726400000,0.071369,0.073275,0.065,0.06862,2557136.71929117
UTK-EUR,1736640000000,0.073495,0.076214,0.070098,0.071749,2014555.03546727
UTK-EUR,1736553600000,0.074575,0.076375,0.071819,0.073199,2472742.2641813
UTK-EUR,1736467200000,0.07618,0.079,0.071491,0.074661,3258439.80106071
UTK-EUR,1736380800000,0.078866,0.08052,0.0728,0.075149,2184466.34252115
UTK-EUR,1736294400000,0.082929,0.087421,0.075039,0.079,4839086.89721703
UTK-EUR,1736208000000,0.094564,0.096147,0.079801,0.082872,10136606.33947185
UTK-EUR,1736121600000,0.093427,0.10018,0.089519,0.095181,13805437.87567498
UTK-EUR,1736035200000,0.088339,0.10095,0.087846,0.093427,25085765.69246627
UTK-EUR,1735948800000,0.087123,0.090458,0.0856,0.088482,5074922.43586662
UTK-EUR,1735862400000,0.086358,0.089557,0.08425,0.087301,7112864.49113508
