market,time,open,high,low,close,volume
VET-EUR,1741132800000,0.025585,0.027513,0.025448,0.0268,72887102.46391697
VET-EUR,1741046400000,0.025167,0.026008,0.023422,0.025735,103685488.06494005
VET-EUR,1740960000000,0.030563,0.032171,0.02544,0.02622,101094778.94097526
VET-EUR,1740873600000,0.027399,0.031895,0.026908,0.030852,92296561.90174676
VET-EUR,1740787200000,0.027343,0.027877,0.026269,0.027165,43727876.72223184
VET-EUR,1740700800000,0.027071,0.027415,0.024463,0.027047,101136764.17942993
VET-EUR,1740614400000,0.026662,0.02801,0.02632,0.027085,51077383.5737215
VET-EUR,1740528000000,0.027263,0.02782,0.025778,0.026607,79819013.41403389
VET-EUR,1740441600000,0.026838,0.027725,0.02466,0.027251,131249214.36332625
VET-EUR,1740355200000,0.030767,0.031,0.02658,0.026806,53933703.33504412
VET-EUR,1740268800000,0.031098,0.031179,0.030135,0.030746,14276782.01442133
VET-EUR,1740182400000,0.029703,0.031307,0.029663,0.031051,19139066.09232081
VET-EUR,1740096000000,0.031236,0.032724,0.029255,0.029824,65322307.61942613
VET-EUR,1740009600000,0.030502,0.031536,0.030397,0.031203,32391459.83450304
VET-EUR,1739923200000,0.030285,0.031161,0.029763,0.030531,34944047.38642754
VET-EUR,1739836800000,0.031415,0.031762,0.029189,0.030237,55969273.05406877
VET-EUR,1739750400000,0.031625,0.0329,0.030856,0.031381,52179899.53517766
VET-EUR,1739664000000,0.032446,0.032627,0.031447,0.031596,30674429.00016693
VET-EUR,1739577600000,0.033607,0.034066,0.032178,0.032455,13201945.46114361
VET-EUR,1739491200000,0.032917,0.034728,0.032816,0.033627,38622469.8805009
VET-EUR,1739404800000,0.034071,0.034519,0.032286,0.032911,34980886.85894217
VET-EUR,1739318400000,0.031985,0.03456,0.030784,0.034162,93864699.51235148
VET-EUR,1739232000000,0.03276,0.034622,0.0316,0.032025,54026223.08115495
VET-EUR,1739145600000,0.030989,0.032926,0.03005,0.03272,46775402.1311445
VET-EUR,1739059200000,0.032017,0.0328,0.029626,0.031076,46982487.96645299
VET-EUR,1738972800000,0.031405,0.03223,0.030951,0.031961,29322248.59040722
VET-EUR,1738886400000,0.031452,0.034111,0.030562,0.031442,51657764.39272837
VET-EUR,1738800000000,0.033421,0.034531,0.03105,0.031483,75058259.18403405
VET-EUR,1738713600000,0.034748,0.03522,0.032769,0.033218,50229648.30421309
VET-EUR,1738627200000,0.038079,0.038831,0.033469,0.034852,73800326.42699978
VET-EUR,1738540800000,0.036817,0.039195,0.0275,0.037934,270292752.29612416
VET-EUR,1738454400000,0.041892,0.042932,0.035162,0.036866,126797916.19186929
VET-EUR,1738368000000,0.045228,0.046759,0.04175,0.042103,65567600.08903638
VET-EUR,1738281600000,0.044689,0.0471,0.043438,0.045012,53444024.57263067
VET-EUR,1738195200000,0.041586,0.04612,0.04114,0.044592,60660492.99430312
VET-EUR,1738108800000,0.040556,0.043284,0.039918,0.041535,50516462.61586727
VET-EUR,1738022400000,0.042779,0.043832,0.040134,0.04062,42296528.79878126
VET-EUR,1737936000000,0.043266,0.04354,0.039729,0.042798,96229709.95471117
VET-EUR,1737849600000,0.045412,0.046299,0.043283,0.043283,45434030.59062745
VET-EUR,1737763200000,0.045477,0.04656,0.044402,0.045376,40087666.08331064
VET-EUR,1737676800000,0.047087,0.047648,0.044767,0.04539,45734287.64066083
VET-EUR,1737590400000,0.04582,0.0485,0.044706,0.047001,83864324.2878089
VET-EUR,1737504000000,0.047283,0.05108,0.045685,0.04592,105746368.5383533
VET-EUR,1737417600000,0.04418,0.05122,0.042278,0.047278,227234296.503612
VET-EUR,1737331200000,0.044155,0.050011,0.04265,0.044193,125039583.19689064
VET-EUR,1737244800000,0.05,0.051002,0.0433,0.044184,141671644.55616075
VET-EUR,1737158400000,0.054484,0.055094,0.048758,0.050184,111524581.34347521
VET-EUR,1737072000000,0.049746,0.056141,0.049746,0.054468,149325129.29007882
VET-EUR,1736985600000,0.047576,0.0522,0.045765,0.049609,160027521.78189355
VET-EUR,1736899200000,0.043654,0.047636,0.043192,0.047538,126789390.6534055
VET-EUR,1736812800000,0.042007,0.04411,0.041749,0.043783,73274941.60790506
VET-EUR,1736726400000,0.043415,0.045754,0.0394,0.04211,92064620.22032124
VET-EUR,1736640000000,0.044262,0.044837,0.042808,0.043659,30385000.94620699
VET-EUR,1736553600000,0.044251,0.045322,0.042783,0.044079,32498675.08403532
VET-EUR,1736467200000,0.043296,0.045395,0.042684,0.044155,51516346.85510235
VET-EUR,1736380800000,0.043474,0.044648,0.041927,0.043196,44699361.36599895
VET-EUR,1736294400000,0.045419,0.046204,0.041442,0.043606,90403727.203282
VET-EUR,1736208000000,0.050665,0.050756,0.04517,0.045332,96902078.84876682
VET-EUR,1736121600000,0.04964,0.052347,0.04816,0.050742,88272128.71655321
VET-EUR,1736035200000,0.049439,0.050225,0.047872,0.04952,49608944.10457816
VET-EUR,1735948800000,0.051341,0.051505,0.048691,0.049388,55644923.93793839
VET-EUR,1735862400000,0.047226,0.05166,0.046387,0.051109,74247569.35351528
VET-EUR,1735776000000,0.045225,0.048237,0.044941,0.046977,73278032.2658099
VET-EUR,1735689600000,0.041652,0.045749,0.040765,0.044951,56927778.56024487
VET-EUR,1735603200000,0.041922,0.04387,0.040719,0.041559,57120701.43784469
VET-EUR,1735516800000,0.043066,0.044534,0.040886,0.042116,59684053.24812343
VET-EUR,1735430400000,0.045338,0.045978,0.042711,0.043165,46759605.08348131
VET-EUR,1735344000000,0.043857,0.046155,0.043348,0.045536,39349068.87437112
VET-EUR,1735257600000,0.044885,0.0483,0.0435,0.043832,59650121.68873345
VET-EUR,1735171200000,0.049394,0.049908,0.044267,0.044841,61049577.95588514
VET-EUR,1735084800000,0.050867,0.051794,0.048778,0.049337,49265558.90306815
VET-EUR,1734998400000,0.046761,0.052159,0.044997,0.050846,112607256.50644739
VET-EUR,1734912000000,0.043985,0.047676,0.042431,0.046804,58327989.4279894
VET-EUR,1734825600000,0.043436,0.04555,0.042367,0.043982,72285228.46595936
VET-EUR,1734739200000,0.046136,0.049079,0.042688,0.04341,120290146.07448465
VET-EUR,1734652800000,0.043577,0.046624,0.0368,0.046145,247549277.20212293
VET-EUR,1734566400000,0.048642,0.050361,0.042268,0.043373,155675659.177895
VET-EUR,1734480000000,0.054355,0.054502,0.047834,0.048827,93899160.76127125
VET-EUR,1734393600000,0.052639,0.0582,0.051386,0.053929,117898737.08135396
VET-EUR,1734307200000,0.055778,0.056268,0.051158,0.05263,83836032.75657015
VET-EUR,1734220800000,0.054178,0.056316,0.05234,0.055524,60025811.8512305
VET-EUR,1734134400000,0.05709,0.057705,0.052844,0.05427,53973588.91823372
VET-EUR,1734048000000,0.057208,0.058028,0.05485,0.057167,64963043.2021478
VET-EUR,1733961600000,0.056464,0.060988,0.055424,0.057166,103155305.73836331
VET-EUR,1733875200000,0.052935,0.057593,0.050161,0.056458,100863269.34526414
VET-EUR,1733788800000,0.053499,0.05655,0.048372,0.052966,190553210.12746316
VET-EUR,1733702400000,0.064287,0.064962,0.047502,0.053602,259707841.9929768
VET-EUR,1733616000000,0.062807,0.066525,0.061558,0.064299,63062831.90481637
VET-EUR,1733529600000,0.063795,0.067561,0.062566,0.063052,103577586.57816017
VET-EUR,1733443200000,0.06146,0.065362,0.058592,0.063795,196871284.61583504
VET-EUR,1733356800000,0.064595,0.0718,0.0584,0.061529,277157629.8416161
VET-EUR,1733270400000,0.073199,0.0732,0.062099,0.064519,327987468.33396477
VET-EUR,1733184000000,0.054872,0.0759,0.052997,0.0732,874328015.9333124
VET-EUR,1733097600000,0.043668,0.055045,0.04356,0.054866,647080058.787896
VET-EUR,1733011200000,0.043395,0.0444,0.041519,0.043632,110861503.43636453
VET-EUR,1732924800000,0.042864,0.045598,0.041362,0.043364,151317916.62605217
VET-EUR,1732838400000,0.03956,0.04302,0.039105,0.042893,136176501.20239162
VET-EUR,1732752000000,0.040682,0.040742,0.038263,0.03956,92559720.8190518
VET-EUR,1732665600000,0.039396,0.041686,0.038059,0.04079,109856008.35176209
VET-EUR,1732579200000,0.038669,0.040213,0.035623,0.03954,172182976.19692656
VET-EUR,1732492800000,0.043214,0.043222,0.03801,0.038704,141690497.13675413
VET-EUR,1732406400000,0.040586,0.043377,0.037086,0.043243,228908010.63326374
VET-EUR,1732320000000,0.034101,0.045086,0.03381,0.040619,717389247.6382977
VET-EUR,1732233600000,0.03063,0.034408,0.029939,0.034086,238115971.6287964
VET-EUR,1732147200000,0.029774,0.032198,0.0291,0.03058,141663660.1763629
VET-EUR,1732060800000,0.031717,0.032519,0.029274,0.029848,112169576.11071625
VET-EUR,1731974400000,0.030647,0.032666,0.029756,0.031751,146505356.38712785
VET-EUR,1731888000000,0.027146,0.03218,0.027059,0.030608,230172689.11105782
VET-EUR,1731801600000,0.029777,0.03125,0.026589,0.027124,147868246.2213618
VET-EUR,1731715200000,0.024952,0.030736,0.024839,0.029777,234445185.64925504
VET-EUR,1731628800000,0.023009,0.024987,0.022457,0.024916,110999426.26964536
VET-EUR,1731542400000,0.024411,0.025685,0.022763,0.023041,91889323.9766267
VET-EUR,1731456000000,0.025347,0.025724,0.023183,0.02444,164192135.887141
VET-EUR,1731369600000,0.026452,0.027945,0.0232,0.025332,194043320.34351757
VET-EUR,1731283200000,0.02356,0.026449,0.023184,0.026434,177328382.6229376
VET-EUR,1731196800000,0.02166,0.024677,0.02118,0.023525,172588233.23546657
VET-EUR,1731110400000,0.020803,0.021669,0.02049,0.021561,41168752.09083906
VET-EUR,1731024000000,0.020155,0.020998,0.019931,0.020841,72245105.20315328
VET-EUR,1730937600000,0.020267,0.020835,0.019824,0.020122,42369315.26953603
VET-EUR,1730851200000,0.01843,0.020453,0.018426,0.020238,78050453.35396396
VET-EUR,1730764800000,0.017833,0.018633,0.017734,0.018436,30349210.9537176
VET-EUR,1730678400000,0.018175,0.018376,0.01755,0.017822,26353411.82407858
VET-EUR,1730592000000,0.018884,0.018896,0.017764,0.018197,31190401.29735168
VET-EUR,1730505600000,0.019095,0.019278,0.018628,0.01883,24536301.74070031
