market,time,open,high,low,close,volume
WIF-EUR,1741219200000,0.53952,0.54078,0.53952,0.54064,11349.019894
WIF-EUR,1741132800000,0.54032,0.57616,0.51215,0.53028,17926605.213988
WIF-EUR,1741046400000,0.61554,0.61699,0.51117,0.54698,19079169.496406
WIF-EUR,1740960000000,0.73216,0.75776,0.60278,0.72353,11974568.021986
WIF-EUR,1740873600000,0.59315,0.75554,0.58648,0.7499,11638791.187293
WIF-EUR,1740787200000,0.60674,0.63987,0.56872,0.57336,5538078.845608
WIF-EUR,1740700800000,0.56182,0.62308,0.52718,0.60631,9301588.717062
WIF-EUR,1740614400000,0.55281,0.59129,0.5415,0.56229,5391326.876
WIF-EUR,1740528000000,0.5226,0.56462,0.51144,0.55085,8263724.134459
WIF-EUR,1740441600000,0.53169,0.53677,0.47932,0.52238,18542633.018459
WIF-EUR,1740355200000,0.62928,0.63718,0.51314,0.53134,10798085.827119
WIF-EUR,1740268800000,0.67299,0.67299,0.62269,0.6289,5526193.971185
WIF-EUR,1740182400000,0.61502,0.68663,0.60522,0.67266,9172582.408898
WIF-EUR,1740096000000,0.6159,0.69476,0.60366,0.61515,12350612.20500499
WIF-EUR,1740009600000,0.58356,0.61624,0.57336,0.6146,5720726.691896
WIF-EUR,1739923200000,0.5891,0.61234,0.5723,0.58347,4896190.644411
WIF-EUR,1739836800000,0.60283,0.60755,0.552,0.58876,5434334.149616
WIF-EUR,1739750400000,0.62759,0.66957,0.58977,0.60206,5683410.105859
WIF-EUR,1739664000000,0.65635,0.67176,0.61702,0.62863,3892274.446557
WIF-EUR,1739577600000,0.69277,0.6939,0.64417,0.65633,5393342.40164
WIF-EUR,1739491200000,0.56423,0.76,0.55912,0.69388,14728622.811073
WIF-EUR,1739404800000,0.58303,0.60282,0.54859,0.56398,6236722.720052
WIF-EUR,1739318400000,0.60641,0.61026,0.53256,0.58232,10402742.483478
WIF-EUR,1739232000000,0.64,0.67661,0.59188,0.60611,6856873.727295
WIF-EUR,1739145600000,0.62905,0.66827,0.6,0.63777,5425811.953715
WIF-EUR,1739059200000,0.69334,0.71321,0.59447,0.62368,5031520.763644
WIF-EUR,1738972800000,0.65688,0.71464,0.64,0.69679,4262256.1673
WIF-EUR,1738886400000,0.68559,0.75533,0.62706,0.6569,5141176.292842
WIF-EUR,1738800000000,0.76442,0.79029,0.676,0.68607,3525386.780205
WIF-EUR,1738713600000,0.77198,0.82207,0.74177,0.76382,4631033.527324
WIF-EUR,1738627200000,0.83469,0.86454,0.72324,0.77527,8061785.507773
WIF-EUR,1738540800000,0.92669,0.92671,0.62456,0.83577,16377785.372649
WIF-EUR,1738454400000,0.975,1.032,0.85388,0.92579,9009769.195976
WIF-EUR,1738368000000,1.0955,1.1334,0.96235,0.97569,4297595.696054
WIF-EUR,1738281600000,1.1102,1.2621,1.0692,1.096,6093508.644717
WIF-EUR,1738195200000,1.1381,1.21,1.1084,1.109,4081401.072262
WIF-EUR,1738108800000,1.0136,1.3225,1.0099,1.1359,14074310.17484
WIF-EUR,1738022400000,1.1362,1.1522,0.93659,1.0122,5125929.35687
WIF-EUR,1737936000000,1.157,1.157,1.0294,1.1326,3603925.77464
WIF-EUR,1737849600000,1.2174,1.245,1.1511,1.1566,1131780.839897
WIF-EUR,1737763200000,1.2289,1.2677,1.1693,1.218,1882565.118116
WIF-EUR,1737676800000,1.3681,1.4055,1.203,1.2243,1449408.352361
WIF-EUR,1737590400000,1.3618,1.4049,1.2921,1.3636,2992907.448627
WIF-EUR,1737504000000,1.3968,1.4271,1.34,1.3617,1409916.139613
WIF-EUR,1737417600000,1.3368,1.4618,1.265,1.3967,2980441.390492
WIF-EUR,1737331200000,1.4946,1.5538,1.3154,1.3348,4819389.283055
WIF-EUR,1737244800000,1.7186,1.7465,1.4633,1.4947,4050686.635014
WIF-EUR,1737158400000,1.8235,1.9329,1.6881,1.7177,3016335.713863
WIF-EUR,1737072000000,1.7102,1.8639,1.6976,1.8187,2239351.18271
WIF-EUR,1736985600000,1.7189,1.8,1.6585,1.7095,2369789.136264
WIF-EUR,1736899200000,1.5061,1.73,1.4582,1.7184,2114612.465672
WIF-EUR,1736812800000,1.4595,1.5288,1.4383,1.5049,1358122.337609
WIF-EUR,1736726400000,1.5089,1.5544,1.329,1.4524,3302547.795907
WIF-EUR,1736640000000,1.5378,1.5512,1.4868,1.5084,728392.426694
WIF-EUR,1736553600000,1.5207,1.6009,1.4926,1.5361,1328436.369348
WIF-EUR,1736467200000,1.5118,1.588,1.4804,1.5207,2722859.682936
WIF-EUR,1736380800000,1.6588,1.6807,1.4514,1.4962,2507436.886726
WIF-EUR,1736294400000,1.7953,1.8249,1.6124,1.6602,2283421.569159
WIF-EUR,1736208000000,2.0059,2.0237,1.7837,1.7937,2309668.837064
WIF-EUR,1736121600000,2.0415,2.0772,1.949,2.0053,1650551.146109
WIF-EUR,1736035200000,2.1141,2.1324,2.0168,2.0397,917422.048456
WIF-EUR,1735948800000,2.1012,2.1152,2.0297,2.1131,889792.031057
WIF-EUR,1735862400000,1.9714,2.1468,1.8932,2.1008,2151390.525003
WIF-EUR,1735776000000,1.7909,1.9885,1.7866,1.9673,2321105.23757699
WIF-EUR,1735689600000,1.8057,1.85,1.7,1.7906,1378556.923287
WIF-EUR,1735603200000,1.7424,1.8808,1.6657,1.7944,1972298.517451
WIF-EUR,1735516800000,1.7527,1.85,1.7137,1.7514,1633375.212517
WIF-EUR,1735430400000,1.8409,1.8687,1.7384,1.76,1018940.913377
WIF-EUR,1735344000000,1.7521,1.8894,1.7251,1.8424,800667.817885
WIF-EUR,1735257600000,1.7744,1.8568,1.7283,1.7494,776831.566727
WIF-EUR,1735171200000,1.9048,1.9266,1.7453,1.7647,834976.710213
WIF-EUR,1735084800000,1.9692,2.0014,1.8681,1.9025,987851.548391
WIF-EUR,1734998400000,1.9457,2.0163,1.8726,1.9722,1066020.439191
WIF-EUR,1734912000000,1.8387,1.9701,1.7745,1.9505,1432917.071581
WIF-EUR,1734825600000,1.8165,1.96,1.7453,1.837,1476571.18226
WIF-EUR,1734739200000,2.0223,2.1681,1.7878,1.8184,2624373.84558099
WIF-EUR,1734652800000,1.9953,2.0828,1.6568,2.0202,4548110.24302802
WIF-EUR,1734566400000,2.2308,2.2421,1.9505,1.994,3360118.149652
WIF-EUR,1734480000000,2.5757,2.6517,2.15,2.2315,3050882.138168
