market,time,open,high,low,close,volume
WOO-EUR,1741132800000,0.09126,0.094918,0.089673,0.092245,637328.28491156
WOO-EUR,1741046400000,0.089458,0.095423,0.085,0.091656,4146432.75692826
WOO-EUR,1740960000000,0.112,0.115,0.094654,0.097119,1662706.33215865
WOO-EUR,1740873600000,0.10422,0.11627,0.10324,0.11449,978217.25270235
WOO-EUR,1740787200000,0.1059,0.10711,0.10208,0.10339,245937.0659006
WOO-EUR,1740700800000,0.10739,0.10836,0.098,0.10748,1338648.64996993
WOO-EUR,1740614400000,0.10702,0.11039,0.10486,0.10742,1406222.83083721
WOO-EUR,1740528000000,0.10472,0.1086,0.10141,0.10649,505065.26271743
WOO-EUR,1740441600000,0.10532,0.10685,0.095001,0.10573,2439887.99001156
WOO-EUR,1740355200000,0.12236,0.1224,0.10323,0.10529,999872.28878652
WOO-EUR,1740268800000,0.12238,0.12694,0.11986,0.12243,597051.52345235
WOO-EUR,1740182400000,0.11304,0.12285,0.11291,0.12285,292654.39605809
WOO-EUR,1740096000000,0.11813,0.12563,0.11222,0.113,720630.20681066
WOO-EUR,1740009600000,0.1149,0.11823,0.1134,0.11805,328962.32574195
WOO-EUR,1739923200000,0.11252,0.11574,0.11149,0.11383,593753.51689068
WOO-EUR,1739836800000,0.11759,0.11759,0.10837,0.11336,459486.77065057
WOO-EUR,1739750400000,0.12086,0.12357,0.1146,0.11862,513981.7802152
WOO-EUR,1739664000000,0.12125,0.12267,0.11807,0.11913,340543.99940705
WOO-EUR,1739577600000,0.12532,0.12679,0.11975,0.12149,173652.77885708
WOO-EUR,1739491200000,0.12144,0.12905,0.11956,0.12583,666585.6752334
WOO-EUR,1739404800000,0.12517,0.12781,0.11737,0.12156,1384116.9388906
WOO-EUR,1739318400000,0.11401,0.12762,0.11222,0.12508,1210475.32801484
WOO-EUR,1739232000000,0.1172,0.1223,0.112,0.11502,1029761.10972398
WOO-EUR,1739145600000,0.11154,0.11702,0.10724,0.11553,573204.25270841
WOO-EUR,1739059200000,0.11247,0.11729,0.10696,0.11147,570339.91203961
WOO-EUR,1738972800000,0.10666,0.11353,0.10556,0.11353,277229.9459477
WOO-EUR,1738886400000,0.10793,0.11446,0.103,0.10586,1372601.86899831
WOO-EUR,1738800000000,0.11206,0.11364,0.10381,0.10606,944735.24622563
WOO-EUR,1738713600000,0.11666,0.11779,0.10913,0.11092,1023247.40975424
WOO-EUR,1738627200000,0.12324,0.12357,0.11,0.11691,865763.87699423
WOO-EUR,1738540800000,0.11956,0.12512,0.09,0.12427,4745820.76647794
WOO-EUR,1738454400000,0.14359,0.1459,0.11653,0.1224,1800612.20243576
WOO-EUR,1738368000000,0.15807,0.16052,0.14148,0.1424,824713.48781938
WOO-EUR,1738281600000,0.15492,0.16589,0.15372,0.15861,430346.96759895
WOO-EUR,1738195200000,0.14807,0.15918,0.14782,0.15609,484000.85490291
WOO-EUR,1738108800000,0.14372,0.15382,0.14325,0.14864,880180.39421048
WOO-EUR,1738022400000,0.15816,0.15817,0.14193,0.14193,823614.46057205
WOO-EUR,1737936000000,0.16075,0.16075,0.1412,0.15577,1901833.92075877
WOO-EUR,1737849600000,0.16313,0.16918,0.16087,0.16172,396562.97526816
WOO-EUR,1737763200000,0.165,0.16733,0.162,0.16446,265130.21686574
WOO-EUR,1737676800000,0.17146,0.17518,0.16511,0.16541,498216.92088948
WOO-EUR,1737590400000,0.17289,0.17702,0.167,0.1738,749799.27839416
WOO-EUR,1737504000000,0.17793,0.19537,0.17163,0.17351,1645900.5883864
WOO-EUR,1737417600000,0.17046,0.1821,0.16287,0.1785,1893254.05828687
WOO-EUR,1737331200000,0.17293,0.19056,0.16731,0.173,2149761.63178098
WOO-EUR,1737244800000,0.19771,0.2,0.1717,0.17444,3829695.14363974
WOO-EUR,1737158400000,0.21439,0.21636,0.19401,0.19803,1231681.16603217
WOO-EUR,1737072000000,0.20347,0.21782,0.20256,0.21476,627419.56147318
WOO-EUR,1736985600000,0.209,0.20965,0.19782,0.20303,661862.36809021
WOO-EUR,1736899200000,0.19298,0.20884,0.18667,0.20836,960266.06764532
WOO-EUR,1736812800000,0.1882,0.19572,0.1882,0.19265,736555.87497719
WOO-EUR,1736726400000,0.1973,0.20307,0.17491,0.18772,1872091.09569681
WOO-EUR,1736640000000,0.20229,0.20855,0.1942,0.197,591577.4984967
WOO-EUR,1736553600000,0.20065,0.20739,0.19451,0.20455,739693.05711118
WOO-EUR,1736467200000,0.19455,0.20302,0.1933,0.20118,811802.06817914
WOO-EUR,1736380800000,0.20323,0.20559,0.18881,0.19431,757536.51847137
WOO-EUR,1736294400000,0.2149,0.21683,0.192,0.20286,1460870.2860193
WOO-EUR,1736208000000,0.24132,0.24262,0.21525,0.21525,1060484.26757116
WOO-EUR,1736121600000,0.24416,0.25123,0.23909,0.24254,1302330.79767056
WOO-EUR,1736035200000,0.243,0.24883,0.23532,0.24397,811291.17214897
WOO-EUR,1735948800000,0.23496,0.24695,0.23378,0.24327,869732.34801209
WOO-EUR,1735862400000,0.22136,0.23705,0.21657,0.23581,918545.8160607
WOO-EUR,1735776000000,0.20696,0.22126,0.20695,0.22126,611826.04528248
WOO-EUR,1735689600000,0.20073,0.20836,0.19607,0.20836,603526.51211872
WOO-EUR,1735603200000,0.2036,0.21128,0.19927,0.20002,476664.29360959
WOO-EUR,1735516800000,0.20186,0.21016,0.1954,0.20416,947236.36979432
WOO-EUR,1735430400000,0.21515,0.21621,0.19975,0.20193,500356.61089285
WOO-EUR,1735344000000,0.20837,0.21782,0.20606,0.21607,258204.21467658
WOO-EUR,1735257600000,0.20127,0.21485,0.20127,0.20858,362902.10371081
WOO-EUR,1735171200000,0.21814,0.21979,0.19927,0.20223,477737.19962083
WOO-EUR,1735084800000,0.2195,0.22343,0.21384,0.21737,592746.1842329
WOO-EUR,1734998400000,0.2114,0.2222,0.20591,0.21935,480798.84053456
WOO-EUR,1734912000000,0.19395,0.21662,0.18857,0.21157,1022818.17671814
