market,time,open,high,low,close,volume
XLM-EUR,1741132800000,0.28018,0.28911,0.2735,0.27472,2949692.8745154
XLM-EUR,1741046400000,0.27754,0.2844,0.26,0.27791,5403878.4455975
XLM-EUR,1740960000000,0.34587,0.34737,0.27596,0.27856,7548893.3325435
XLM-EUR,1740873600000,0.31294,0.36246,0.29884,0.32929,11030900.8012322
XLM-EUR,1740787200000,0.28013,0.30768,0.27332,0.30022,5456204.3152611
XLM-EUR,1740700800000,0.27184,0.27785,0.24269,0.27623,3155182.9895929
XLM-EUR,1740614400000,0.2728,0.27989,0.26601,0.27225,2705010.8054546
XLM-EUR,1740528000000,0.28042,0.28478,0.26517,0.27265,2288556.6346192
XLM-EUR,1740441600000,0.28476,0.28981,0.25842,0.2811,8233692.2106421
XLM-EUR,1740355200000,0.31847,0.3194,0.2814,0.28477,3269540.5526707
XLM-EUR,1740268800000,0.31948,0.32154,0.31239,0.31872,622693.7671906
XLM-EUR,1740182400000,0.31127,0.32486,0.31052,0.31997,774628.9588306
XLM-EUR,1740096000000,0.32806,0.33101,0.30689,0.3117,2128504.4634517
XLM-EUR,1740009600000,0.32837,0.33365,0.32187,0.32804,1265488.5043721
XLM-EUR,1739923200000,0.30951,0.32877,0.30815,0.3279,1783434.3366467
XLM-EUR,1739836800000,0.31941,0.32026,0.302,0.30959,1601791.5123584
XLM-EUR,1739750400000,0.32771,0.33226,0.31579,0.31811,1204818.1360422
XLM-EUR,1739664000000,0.33248,0.33555,0.32435,0.32689,939289.1514158
XLM-EUR,1739577600000,0.33467,0.34885,0.32982,0.3328,2003288.9002252
XLM-EUR,1739491200000,0.32259,0.34611,0.31928,0.33469,4411271.9064224
XLM-EUR,1739404800000,0.32046,0.32769,0.30964,0.32313,1987514.431665
XLM-EUR,1739318400000,0.30687,0.32412,0.29819,0.3206,3050188.4938222
XLM-EUR,1739232000000,0.30396,0.32883,0.30361,0.30722,5190565.5717553
XLM-EUR,1739145600000,0.3048,0.3128,0.29447,0.30368,2739450.9171117
XLM-EUR,1739059200000,0.32106,0.327,0.2943,0.30481,3329324.9569612
XLM-EUR,1738972800000,0.31653,0.32395,0.31101,0.32169,1852263.3269264
XLM-EUR,1738886400000,0.30632,0.33249,0.30552,0.31661,5727653.1039129
XLM-EUR,1738800000000,0.31456,0.3292,0.3019,0.30646,2650659.5210422
XLM-EUR,1738713600000,0.32778,0.33509,0.31015,0.31472,4111040.119179
XLM-EUR,1738627200000,0.36049,0.36481,0.32063,0.32925,6877073.7800028
XLM-EUR,1738540800000,0.34584,0.362,0.25521,0.35948,18073947.6512443
XLM-EUR,1738454400000,0.37986,0.38783,0.32721,0.34544,8307296.3363252
XLM-EUR,1738368000000,0.40023,0.40576,0.3758,0.37962,2235978.7961162
XLM-EUR,1738281600000,0.41101,0.41264,0.39257,0.39949,2380764.3464105
XLM-EUR,1738195200000,0.37713,0.42524,0.37375,0.41191,3514785.6076138
XLM-EUR,1738108800000,0.37646,0.38934,0.3672,0.37688,2670476.7245662
XLM-EUR,1738022400000,0.39035,0.4039,0.37448,0.37707,3453641.0621689
XLM-EUR,1737936000000,0.38801,0.3914,0.34666,0.39012,5570994.6774417
XLM-EUR,1737849600000,0.39789,0.40647,0.388,0.38861,1714332.6932545
XLM-EUR,1737763200000,0.40988,0.41619,0.3938,0.39777,3197713.7564283
XLM-EUR,1737676800000,0.41445,0.42847,0.4023,0.41063,2470603.153106
XLM-EUR,1737590400000,0.41094,0.42017,0.39642,0.41421,4564819.7944668
XLM-EUR,1737504000000,0.42508,0.42736,0.40877,0.41114,3160924.5327524
XLM-EUR,1737417600000,0.42924,0.43595,0.41296,0.42447,3018372.5504538
XLM-EUR,1737331200000,0.42122,0.46397,0.41219,0.42667,6110267.1383951
XLM-EUR,1737244800000,0.47593,0.4783,0.40699,0.42223,6839677.7097291
XLM-EUR,1737158400000,0.47361,0.47761,0.43792,0.47643,5940212.6837243
XLM-EUR,1737072000000,0.46916,0.48393,0.4601,0.47341,8545534.7976012
XLM-EUR,1736985600000,0.47362,0.501,0.44983,0.46728,17184113.26925959
XLM-EUR,1736899200000,0.41795,0.48,0.41427,0.47368,17476819.835685
XLM-EUR,1736812800000,0.409,0.42366,0.40537,0.41732,6760977.8177658
XLM-EUR,1736726400000,0.41146,0.428,0.38417,0.40871,5239942.8291541
XLM-EUR,1736640000000,0.43442,0.43527,0.40886,0.41219,4296885.4222386
XLM-EUR,1736553600000,0.40552,0.44778,0.39394,0.43403,8748750.8072748
XLM-EUR,1736467200000,0.38142,0.41561,0.377,0.40472,8858307.4269386
XLM-EUR,1736380800000,0.413,0.41849,0.366,0.38096,7250968.7894703
XLM-EUR,1736294400000,0.40434,0.42597,0.37859,0.41326,7915170.7983426
XLM-EUR,1736208000000,0.42899,0.4519,0.40049,0.40424,6898077.4750908
XLM-EUR,1736121600000,0.42853,0.44641,0.41983,0.43014,4317173.5840822
XLM-EUR,1736035200000,0.43719,0.44324,0.4193,0.42785,4938364.4788783
XLM-EUR,1735948800000,0.43485,0.47174,0.43096,0.43645,8150388.0648671
XLM-EUR,1735862400000,0.42058,0.45,0.41861,0.43536,12491090.04519908
XLM-EUR,1735776000000,0.40988,0.44434,0.3957,0.42071,15058059.19484968
XLM-EUR,1735689600000,0.32125,0.42314,0.32125,0.41001,20183743.28859292
XLM-EUR,1735603200000,0.31808,0.33238,0.31103,0.32039,1739381.5822194
XLM-EUR,1735516800000,0.32381,0.33289,0.30839,0.31826,3478671.5289294
XLM-EUR,1735430400000,0.34114,0.34145,0.32094,0.32384,1549488.9885294
XLM-EUR,1735344000000,0.3354,0.34449,0.33069,0.34139,1026865.7389082
XLM-EUR,1735257600000,0.34037,0.35432,0.33052,0.33527,2360707.1093081
XLM-EUR,1735171200000,0.36797,0.37185,0.33646,0.34023,2480594.682589
XLM-EUR,1735084800000,0.38736,0.3877,0.36412,0.36829,2484938.5758118
XLM-EUR,1734998400000,0.35595,0.39877,0.34651,0.38679,6503405.49818141
XLM-EUR,1734912000000,0.34133,0.36072,0.33297,0.3558,2369391.2988321
XLM-EUR,1734825600000,0.34172,0.35753,0.32973,0.34147,2635976.5500429
XLM-EUR,1734739200000,0.36009,0.37547,0.33754,0.34216,5531345.63011959
XLM-EUR,1734652800000,0.35693,0.37047,0.29983,0.36058,9792858.77657514
XLM-EUR,1734566400000,0.38279,0.39826,0.3405,0.35654,6146474.9236828
XLM-EUR,1734480000000,0.40967,0.42577,0.37407,0.38256,8105215.82013751
XLM-EUR,1734393600000,0.39814,0.44972,0.38997,0.40896,9604451.33771431
XLM-EUR,1734307200000,0.40929,0.425,0.38762,0.39794,7041489.04134583
XLM-EUR,1734220800000,0.40215,0.41498,0.39633,0.40747,3255315.0107888
XLM-EUR,1734134400000,0.41646,0.42931,0.39142,0.40406,3647122.04206431
XLM-EUR,1734048000000,0.40552,0.43134,0.39351,0.41692,4705004.20133761
XLM-EUR,1733961600000,0.41424,0.42896,0.39955,0.40616,4440129.46961889
XLM-EUR,1733875200000,0.41484,0.42489,0.38282,0.41417,6399365.37238711
XLM-EUR,1733788800000,0.3892,0.41793,0.34418,0.41482,14481283.39961831
XLM-EUR,1733702400000,0.46633,0.46633,0.33002,0.38975,12306999.86143923
XLM-EUR,1733616000000,0.47651,0.47651,0.44974,0.46667,4430578.78020901
XLM-EUR,1733529600000,0.46955,0.4825,0.45467,0.47672,6198128.78650702
XLM-EUR,1733443200000,0.44557,0.47317,0.43036,0.46948,6536785.11637758
XLM-EUR,1733356800000,0.46512,0.47821,0.433,0.44559,11982226.81457437
XLM-EUR,1733270400000,0.48244,0.49715,0.45255,0.46497,13595991.71231588
