market,time,open,high,low,close,volume
XRP-USDC,1741132800000,2.485,2.5381,2.421,2.4998,243039.070519
XRP-USDC,1741046400000,2.3938,2.5402,2.2251,2.5011,338814.922466
XRP-USDC,1740960000000,2.958,2.958,2.3047,2.38,643263.638017
XRP-USDC,1740873600000,2.2592,3,2.1758,2.9349,353787.255661
XRP-USDC,1740787200000,2.1844,2.2179,2.1227,2.165,120057.317731
XRP-USDC,1740700800000,2.1979,2.1979,1.95,2.1468,776628.424317
XRP-USDC,1740614400000,2.197,2.2516,2.1458,2.1963,440773.584575
XRP-USDC,1740528000000,2.3219,2.3262,2.15,2.1938,397847.239028
XRP-USDC,1740441600000,2.2863,2.3624,2.0659,2.3207,1453522.738383
XRP-USDC,1740355200000,2.5923,2.6054,2.255,2.2738,300638.467113
XRP-USDC,1740268800000,2.5679,2.6024,2.5305,2.5732,71056.976614
XRP-USDC,1740182400000,2.5613,2.596,2.5509,2.5841,71023.478099
XRP-USDC,1740096000000,2.6829,2.7149,2.51,2.569,331018.222503
XRP-USDC,1740009600000,2.7308,2.7436,2.6711,2.691,194173.471883
XRP-USDC,1739923200000,2.5602,2.7443,2.513,2.7379,295168.064283
XRP-USDC,1739836800000,2.6598,2.6685,2.472,2.5656,252338.533666
XRP-USDC,1739750400000,2.7324,2.7619,2.6132,2.6588,272095.394979
XRP-USDC,1739664000000,2.7607,2.8005,2.6928,2.7221,119653.035284
XRP-USDC,1739577600000,2.7394,2.8291,2.7192,2.7618,161017.779878
XRP-USDC,1739491200000,2.5609,2.8062,2.5349,2.7388,353482.624556
XRP-USDC,1739404800000,2.466,2.6,2.4194,2.5447,131603.514386
XRP-USDC,1739318400000,2.4076,2.495,2.3427,2.4687,124706.745518
XRP-USDC,1739232000000,2.4231,2.5211,2.3754,2.4187,171963.058323
XRP-USDC,1739145600000,2.3965,2.4564,2.3256,2.4148,159862.723097
XRP-USDC,1739059200000,2.4191,2.4951,2.3196,2.3962,84385.777617
XRP-USDC,1738972800000,2.388,2.4299,2.3596,2.42,59501.298398
XRP-USDC,1738886400000,2.3243,2.5442,2.2791,2.3914,415200.757686
XRP-USDC,1738800000000,2.3899,2.4629,2.2827,2.3277,291814.526319
XRP-USDC,1738713600000,2.5289,2.5609,2.3578,2.3806,276015.287237
XRP-USDC,1738627200000,2.7116,2.7847,2.4258,2.5366,367155.185977
XRP-USDC,1738540800000,2.5568,2.7816,1.8,2.6966,1624293.217651
XRP-USDC,1738454400000,2.8988,2.9448,2.4723,2.5778,311295.483188
XRP-USDC,1738368000000,3.0567,3.0578,2.8433,2.8784,66888.10717
XRP-USDC,1738281600000,3.1215,3.1215,3.0045,3.0362,87088.229048
XRP-USDC,1738195200000,3.0576,3.151,3.0508,3.1461,78056.120379
XRP-USDC,1738108800000,3.0587,3.1247,2.9921,3.0675,102849.904317
XRP-USDC,1738022400000,3.0836,3.2067,3.0075,3.0553,286277.515248
XRP-USDC,1737936000000,3.0015,3.0524,2.6597,3.0524,647396.662272
XRP-USDC,1737849600000,3.1073,3.1367,3.0162,3.0181,30648.555619
XRP-USDC,1737763200000,3.1054,3.141,3.0856,3.1056,27470.491559
XRP-USDC,1737676800000,3.1197,3.1978,3.0614,3.106,99831.884052
XRP-USDC,1737590400000,3.1615,3.218,3.0475,3.119,136447.767073
XRP-USDC,1737504000000,3.1879,3.2711,3.0756,3.1631,128026.465856
XRP-USDC,1737417600000,3.1062,3.2235,3.0154,3.1712,136497.723438
XRP-USDC,1737331200000,2.949,3.36,2.9256,3.1373,692563.609075
XRP-USDC,1737244800000,3.2578,3.2652,2.8377,2.9765,202615.4673
XRP-USDC,1737158400000,3.2901,3.2902,3.0705,3.264,214348.3606
XRP-USDC,1737072000000,3.2536,3.35,3.1835,3.3043,360664.012469
XRP-USDC,1736985600000,3.1203,3.4,2.9281,3.2436,587598.067682
XRP-USDC,1736899200000,2.6509,3.2,2.6509,3.1437,756134.774776
XRP-USDC,1736812800000,2.5348,2.695,2.5164,2.6715,316792.746746
XRP-USDC,1736726400000,2.5446,2.5574,2.3263,2.5324,256160.432922
XRP-USDC,1736640000000,2.5496,2.5517,2.4765,2.5016,180453.567998
XRP-USDC,1736553600000,2.3403,2.5962,2.3264,2.5566,120158.745572
XRP-USDC,1736467200000,2.2779,2.3685,2.2418,2.3366,111236.062282
XRP-USDC,1736380800000,2.3683,2.3714,2.2317,2.2906,147476.640673
XRP-USDC,1736294400000,2.2988,2.3908,2.2114,2.3752,74925.133322
XRP-USDC,1736208000000,2.4128,2.4622,2.26,2.2764,66849.915113
XRP-USDC,1736121600000,2.4262,2.4536,2.3807,2.412,17628.252369
XRP-USDC,1736035200000,2.4232,2.4232,2.33,2.4125,10243.372985
XRP-USDC,1735948800000,2.44,2.5,2.4091,2.4241,30752.079686
XRP-USDC,1735862400000,2.4073,2.4747,2.4,2.4592,36433.56766
XRP-USDC,1735776000000,2.3298,2.4419,2.3298,2.4032,74251.935044
XRP-USDC,1735689600000,2.0806,2.3484,2.0794,2.3254,97946.899639
XRP-USDC,1735603200000,2.0547,2.1266,2.0203,2.0773,28125.417224
