market,time,open,high,low,close,volume
YFI-EUR,1741132800000,4967.5,5164.4,4944.3,5009.2,10.71828623
YFI-EUR,1741046400000,4960.2,5118.4,4861.7,4917.4,14.18722487
YFI-EUR,1740960000000,5709.2,5786,5000,5130.7,33.22176255
YFI-EUR,1740873600000,5348.2,5848.9,5265.9,5655.3,45.72944101
YFI-EUR,1740787200000,5426.9,5431.5,5206.8,5328.4,8.81117319
YFI-EUR,1740700800000,5511.7,5511.7,5042.8,5344.9,14.25789864
YFI-EUR,1740614400000,5390.1,5574.7,5362.4,5509.1,11.26225034
YFI-EUR,1740528000000,5438.4,5762.4,5189,5295.8,29.72596834
YFI-EUR,1740441600000,5332.9,5485.5,5067.3,5482.2,32.1931715
YFI-EUR,1740355200000,5696.7,5696.7,5285.3,5313.6,19.04717551
YFI-EUR,1740268800000,5826.7,5830.1,5673.1,5710.8,8.3719188
YFI-EUR,1740182400000,5580.4,5883.4,5580.3,5883.4,10.46847839
YFI-EUR,1740096000000,5643.3,5930,5497.4,5517.8,22.23043111
YFI-EUR,1740009600000,5685.9,5841.1,5557.3,5656.3,25.80628086
YFI-EUR,1739923200000,5479.4,5659,5377,5655.7,36.29940268
YFI-EUR,1739836800000,5702.3,5727.7,5450,5482.4,6.78416964
YFI-EUR,1739750400000,5665.8,5813.6,5578.8,5729.2,6.9861309
YFI-EUR,1739664000000,5695.7,5805.3,5644.8,5679,8.11227014
YFI-EUR,1739577600000,5857.3,5857.3,5676.3,5702.1,6.46896756
YFI-EUR,1739491200000,5729.4,5946.9,5676.7,5826.5,7.95698046
YFI-EUR,1739404800000,5837.2,5837.2,5625.2,5749.5,7.0699955
YFI-EUR,1739318400000,5542.7,5876.7,5528.3,5829.5,17.86247764
YFI-EUR,1739232000000,5550.3,5820.8,5469.3,5567.5,8.27231307
YFI-EUR,1739145600000,5566,5629.8,5388.4,5579,7.54378996
YFI-EUR,1739059200000,5612,5712.2,5337.6,5527.8,8.79748648
YFI-EUR,1738972800000,5518.1,5621.5,5400,5604.5,4.53041631
YFI-EUR,1738886400000,5558.6,5720.3,5392.2,5448.1,10.61424951
YFI-EUR,1738800000000,5687.1,5816.2,5375.5,5565.2,7.53869436
YFI-EUR,1738713600000,5752,5893.1,5638.9,5668.4,5.55614653
YFI-EUR,1738627200000,6195.3,6195.3,5612.1,5779.8,24.92300363
YFI-EUR,1738540800000,5785,6231.9,4800,6180,84.36895087
YFI-EUR,1738454400000,6447.2,6580.7,5590.1,5828,39.57687422
YFI-EUR,1738368000000,6860,6863.8,6332.2,6392.5,7.03967694
YFI-EUR,1738281600000,6883.4,7178.8,6842.2,6900.2,6.27005156
YFI-EUR,1738195200000,6781.4,7078.4,6765.2,6949.5,8.80263442
YFI-EUR,1738108800000,6596,6940.3,6596,6887,6.04154311
YFI-EUR,1738022400000,6983.2,7049,6552.2,6552.2,6.31722256
YFI-EUR,1737936000000,6827.1,7010.8,6438.9,6980.3,13.07961258
YFI-EUR,1737849600000,7194.7,7194.7,6855,6855,11.81895421
YFI-EUR,1737763200000,7101.8,7279.3,7056.1,7166.9,5.41794265
YFI-EUR,1737676800000,7253.6,7400,7093.5,7102.6,8.0408845
YFI-EUR,1737590400000,7268.8,7454.7,7139.9,7346.2,11.27219347
YFI-EUR,1737504000000,7485.1,7553.1,7240,7250.9,11.29950062
YFI-EUR,1737417600000,7385.2,7650.3,7192.5,7498.5,25.13636695
YFI-EUR,1737331200000,7330.3,8101.7,7150,7520,50.05802762
YFI-EUR,1737244800000,7900.1,8152.3,7233.1,7390,54.51018957
YFI-EUR,1737158400000,8479.8,8523,7800,7939,22.66022971
YFI-EUR,1737072000000,7991.7,8579.2,7972.8,8474.5,40.20387868
YFI-EUR,1736985600000,8200,8284.7,7901.1,7948.7,27.84475875
YFI-EUR,1736899200000,7720,8180.1,7710,8180.1,30.73411172
YFI-EUR,1736812800000,7578.6,7743,7484.2,7742.1,17.90514961
YFI-EUR,1736726400000,7796.8,7796.8,7135.5,7603.2,22.86525373
YFI-EUR,1736640000000,7801.8,7832.6,7580,7708.9,6.64514916
YFI-EUR,1736553600000,7822.4,7866.9,7720.1,7780.4,13.0842315
YFI-EUR,1736467200000,7685.7,7992.3,7669.2,7892.1,25.47950206
YFI-EUR,1736380800000,7929.5,8144.1,7525.6,7677.3,16.31565117
YFI-EUR,1736294400000,7938.7,8015.5,7550,7911.6,19.34346421
YFI-EUR,1736208000000,8664.7,8664.7,7878,7920,26.7261302
YFI-EUR,1736121600000,8727.7,8875.3,8547.9,8662,14.33097005
YFI-EUR,1736035200000,8579,8750.1,8393,8682.7,8.19952326
YFI-EUR,1735948800000,8677.7,8746.5,8456.9,8607.7,29.01329412
YFI-EUR,1735862400000,8172.6,8924.2,8085.3,8671.2,37.23787965
YFI-EUR,1735776000000,8000,8359.7,8000,8142,21.17809649
YFI-EUR,1735689600000,7792,8120.5,7612,8044.7,10.40212666
YFI-EUR,1735603200000,7876.1,8100.3,7658.6,7729.2,22.35725317
YFI-EUR,1735516800000,8050.1,8255.5,7821.6,7939,8.20488577
YFI-EUR,1735430400000,8335.6,8358.9,7885.5,7983.1,13.4549115
YFI-EUR,1735344000000,8186.8,8475.5,8105.4,8404.9,14.15931133
YFI-EUR,1735257600000,8241.2,8627.2,8120.4,8147.3,16.08657144
YFI-EUR,1735171200000,8856.2,8856.2,8089.5,8185.4,8.47318869
YFI-EUR,1735084800000,8921.5,8994.8,8609.9,8825,25.23332845
YFI-EUR,1734998400000,8628.9,9185.5,8481,8982,63.48024766
YFI-EUR,1734912000000,8088.7,8947.7,8025,8707,48.44479937
YFI-EUR,1734825600000,8205.7,8500.1,7972.4,8205.9,38.42986723
YFI-EUR,1734739200000,8789.4,9318.6,8071.4,8220,56.8061559
YFI-EUR,1734652800000,8203.1,8732.5,7030,8681.6,136.25753601
YFI-EUR,1734566400000,8896,9194.5,7884.4,8275.5,71.84202738
YFI-EUR,1734480000000,9637.7,9737.9,8735.2,8907.2,41.72995416
YFI-EUR,1734393600000,10084,10211,9530.2,9564.7,47.43628523
YFI-EUR,1734307200000,10402,10869,10045,10212,52.87731836
YFI-EUR,1734220800000,10220,10634,9890,10411,37.54559389
YFI-EUR,1734134400000,10877,11041,9922.5,10219,31.53087506
YFI-EUR,1734048000000,10852,11004,10580,10890,30.42471376
YFI-EUR,1733961600000,10936,11390,10644,10890,87.62467655
YFI-EUR,1733875200000,10444,11724,9864.4,10973,96.72685012
YFI-EUR,1733788800000,9953.1,10887,9185.3,10482,125.25852305
YFI-EUR,1733702400000,12318,12379,8184.7,9974.8,258.84692669
YFI-EUR,1733616000000,13046,13382,11850,12308,120.88427326
YFI-EUR,1733529600000,13271,13945,12442,13040,105.4077395
YFI-EUR,1733443200000,11099,13707,10900,13250,276.88803344
YFI-EUR,1733356800000,9726.2,12000,9306.5,11149,470.87408385
YFI-EUR,1733270400000,8675.5,10100,8586,9739.4,149.41561212
YFI-EUR,1733184000000,8113.6,9006.3,7967.9,8828,159.26381669
YFI-EUR,1733097600000,7551.9,8191.6,7274.7,8127.9,91.94072271
YFI-EUR,1733011200000,7610.4,7648,7347.3,7568.8,34.32630237
YFI-EUR,1732924800000,7210.2,7949.1,7174.7,7621.6,105.63424307
YFI-EUR,1732838400000,6967.3,7336.4,6858.3,7277.2,44.73145348
YFI-EUR,1732752000000,7137.5,7157,6854.3,6959.2,18.59439072
YFI-EUR,1732665600000,6862.2,7196.8,6776.4,7131.3,34.15984536
YFI-EUR,1732579200000,6838.4,7080,6402.1,6788.7,38.64504253
YFI-EUR,1732492800000,7022.4,7328,6764.6,6848.9,60.40022238
