market,time,open,high,low,close,volume
ZK-EUR,1741132800000,0.078209,0.080509,0.077101,0.078797,545802.45774095
ZK-EUR,1741046400000,0.084056,0.084056,0.071793,0.074076,1174227.58091285
ZK-EUR,1740960000000,0.093307,0.10011,0.081742,0.084035,682766.4457626
ZK-EUR,1740873600000,0.090554,0.10071,0.090461,0.10014,839060.40529794
ZK-EUR,1740787200000,0.093122,0.093189,0.088,0.089784,262417.02186259
ZK-EUR,1740700800000,0.093649,0.094286,0.086512,0.093722,1606907.10091323
ZK-EUR,1740614400000,0.094314,0.097067,0.091246,0.094218,855552.72663298
ZK-EUR,1740528000000,0.094106,0.096531,0.089807,0.093895,1317891.87477045
ZK-EUR,1740441600000,0.090262,0.095378,0.083718,0.094125,22970235.87327308
ZK-EUR,1740355200000,0.10166,0.10218,0.086613,0.089344,23923714.96912324
ZK-EUR,1740268800000,0.10232,0.10379,0.1001,0.10165,13591347.36787404
ZK-EUR,1740182400000,0.099143,0.10318,0.098307,0.10226,6622661.82303907
ZK-EUR,1740096000000,0.10368,0.10847,0.097079,0.099435,14624346.67912499
ZK-EUR,1740009600000,0.10256,0.10569,0.10197,0.1045,8198169.47221574
ZK-EUR,1739923200000,0.099001,0.10358,0.096748,0.10227,6917060.10101117
ZK-EUR,1739836800000,0.10445,0.10499,0.093929,0.098485,6946061.78305764
ZK-EUR,1739750400000,0.10419,0.1101,0.10207,0.10452,8828271.82675557
ZK-EUR,1739664000000,0.10282,0.10673,0.1016,0.10348,3150982.16235356
ZK-EUR,1739577600000,0.10701,0.10701,0.1023,0.10274,1239239.8581399
ZK-EUR,1739491200000,0.10264,0.10957,0.1025,0.10718,4042896.9015384
ZK-EUR,1739404800000,0.10817,0.10967,0.10056,0.10285,4224762.08456021
ZK-EUR,1739318400000,0.10226,0.10946,0.097161,0.10789,3948487.12377217
ZK-EUR,1739232000000,0.10726,0.11108,0.10125,0.10257,5616514.25944611
ZK-EUR,1739145600000,0.10495,0.10972,0.10175,0.10629,3925112.84013625
ZK-EUR,1739059200000,0.10338,0.10668,0.09967,0.10456,1706813.57737028
ZK-EUR,1738972800000,0.10119,0.1048,0.09955,0.10398,456984.85717947
ZK-EUR,1738886400000,0.10374,0.11005,0.096734,0.098875,2479433.16965592
ZK-EUR,1738800000000,0.1095,0.11062,0.10195,0.10239,2240008.23633324
ZK-EUR,1738713600000,0.10876,0.11289,0.10678,0.10816,3752007.54364391
ZK-EUR,1738627200000,0.11801,0.11801,0.10347,0.10944,6640314.81199221
ZK-EUR,1738540800000,0.11245,0.12078,0.079,0.11883,6377826.27019426
ZK-EUR,1738454400000,0.13143,0.13215,0.10838,0.11361,2808120.87112203
ZK-EUR,1738368000000,0.1466,0.14949,0.12993,0.13155,1218417.25571661
ZK-EUR,1738281600000,0.14085,0.15391,0.13763,0.14654,1649531.60981502
ZK-EUR,1738195200000,0.13118,0.14202,0.13118,0.14116,1169193.01637959
ZK-EUR,1738108800000,0.12797,0.13674,0.12797,0.13212,1218431.43628678
ZK-EUR,1738022400000,0.13881,0.13881,0.1254,0.1274,538546.95991623
ZK-EUR,1737936000000,0.14252,0.14306,0.12557,0.13812,4637134.06154293
ZK-EUR,1737849600000,0.14441,0.14955,0.14274,0.14274,645579.72271169
ZK-EUR,1737763200000,0.1446,0.14847,0.14159,0.14535,684620.21265945
ZK-EUR,1737676800000,0.15017,0.15322,0.14406,0.1446,1335687.46697036
ZK-EUR,1737590400000,0.15092,0.15092,0.14462,0.1498,1710093.11929166
ZK-EUR,1737504000000,0.15494,0.15618,0.15011,0.15061,602511.58698933
ZK-EUR,1737417600000,0.14829,0.15695,0.1419,0.15286,1858246.79925186
ZK-EUR,1737331200000,0.15357,0.16733,0.14711,0.14852,2567611.47476417
ZK-EUR,1737244800000,0.17018,0.17379,0.15223,0.15503,2614074.54589637
ZK-EUR,1737158400000,0.18724,0.18742,0.166,0.17113,1652106.51175518
ZK-EUR,1737072000000,0.17568,0.18656,0.17568,0.18546,2115798.76232317
ZK-EUR,1736985600000,0.18434,0.18503,0.17218,0.1745,1571511.66851364
ZK-EUR,1736899200000,0.17206,0.18422,0.1652,0.18422,1875350.38143831
ZK-EUR,1736812800000,0.1674,0.17448,0.1674,0.1719,263995.40883143
ZK-EUR,1736726400000,0.17401,0.17434,0.15733,0.16635,449596.46351252
ZK-EUR,1736640000000,0.17675,0.17729,0.1715,0.17155,124557.92497973
ZK-EUR,1736553600000,0.17967,0.18098,0.17366,0.17708,160786.34722503
ZK-EUR,1736467200000,0.17177,0.18145,0.17135,0.18057,460665.85535452
ZK-EUR,1736380800000,0.18289,0.18351,0.1676,0.17141,489141.32522227
ZK-EUR,1736294400000,0.19642,0.19642,0.17307,0.18186,916969.51380448
ZK-EUR,1736208000000,0.21615,0.21827,0.19466,0.19486,659379.08713631
ZK-EUR,1736121600000,0.20752,0.22088,0.20511,0.21567,615786.91448841
ZK-EUR,1736035200000,0.20742,0.2089,0.19945,0.20738,400704.56425704
ZK-EUR,1735948800000,0.20596,0.21187,0.20335,0.20616,438111.91535531
ZK-EUR,1735862400000,0.19653,0.20849,0.19247,0.20813,672449.10491717
ZK-EUR,1735776000000,0.18887,0.19819,0.18887,0.19656,702659.18066963
ZK-EUR,1735689600000,0.17786,0.19004,0.17488,0.1895,618340.85812133
ZK-EUR,1735603200000,0.18349,0.18349,0.17585,0.1776,977511.44425823
ZK-EUR,1735516800000,0.1824,0.19225,0.18029,0.18445,2252366.29035634
