market,time,open,high,low,close,volume
ZRC-EUR,1741132800000,0.040888,0.043286,0.040087,0.041649,387148.75455448
ZRC-EUR,1741046400000,0.043191,0.04423,0.037477,0.041532,2070570.03534116
ZRC-EUR,1740960000000,0.048642,0.049886,0.042506,0.044158,384739.19100384
ZRC-EUR,1740873600000,0.042327,0.051703,0.041492,0.044431,2861650.4147577
ZRC-EUR,1740787200000,0.042536,0.043652,0.041055,0.043017,1626044.45681055
ZRC-EUR,1740700800000,0.045984,0.045984,0.040998,0.041921,3343967.56697336
ZRC-EUR,1740614400000,0.045511,0.047093,0.043813,0.04551,2335521.29282746
ZRC-EUR,1740528000000,0.053004,0.053477,0.045072,0.04516,804263.11058314
ZRC-EUR,1740441600000,0.056155,0.056423,0.050193,0.053456,1390861.95188541
ZRC-EUR,1740355200000,0.063619,0.063793,0.056166,0.056187,273082.47903726
ZRC-EUR,1740268800000,0.061503,0.064099,0.061054,0.063289,177085.54891574
ZRC-EUR,1740182400000,0.058224,0.062181,0.057765,0.061959,483153.30687067
ZRC-EUR,1740096000000,0.060811,0.067658,0.057892,0.05845,2198404.47237213
ZRC-EUR,1740009600000,0.0603,0.062165,0.059423,0.060758,346416.01053917
ZRC-EUR,1739923200000,0.060216,0.062149,0.059801,0.060376,202324.31023864
ZRC-EUR,1739836800000,0.060918,0.061339,0.058336,0.060174,432752.7184477
ZRC-EUR,1739750400000,0.060401,0.063817,0.059424,0.061381,531705.71212042
ZRC-EUR,1739664000000,0.059767,0.061638,0.059102,0.060372,485644.49685975
ZRC-EUR,1739577600000,0.059108,0.060902,0.058216,0.059698,664798.94662798
ZRC-EUR,1739491200000,0.055511,0.062098,0.054779,0.059238,1756260.19941756
ZRC-EUR,1739404800000,0.055506,0.056867,0.052896,0.055189,4402394.81600378
ZRC-EUR,1739318400000,0.045548,0.057254,0.044344,0.055127,24000227.76495937
ZRC-EUR,1739232000000,0.037663,0.05,0.036423,0.045658,8785710.82529818
ZRC-EUR,1739145600000,0.03908,0.040166,0.037263,0.037465,534979.86964825
ZRC-EUR,1739059200000,0.040712,0.041708,0.038805,0.04035,356298.33640562
ZRC-EUR,1738972800000,0.039973,0.040966,0.039766,0.040966,221597.81930684
ZRC-EUR,1738886400000,0.043211,0.044334,0.039241,0.039704,585455.72729504
ZRC-EUR,1738800000000,0.048051,0.048054,0.042859,0.042859,52329.97374125
ZRC-EUR,1738713600000,0.047978,0.0488,0.045971,0.0466,679118.67893626
ZRC-EUR,1738627200000,0.0546,0.0546,0.046168,0.047892,1858772.44015995
ZRC-EUR,1738540800000,0.045398,0.054739,0.035468,0.054739,1529518.02402943
ZRC-EUR,1738454400000,0.057613,0.058103,0.0467,0.0467,1639913.72843917
ZRC-EUR,1738368000000,0.062565,0.063355,0.057141,0.057421,324805.09578402
ZRC-EUR,1738281600000,0.060015,0.06546,0.059684,0.062519,435381.87387427
ZRC-EUR,1738195200000,0.060713,0.062155,0.059868,0.060214,1049087.33230044
ZRC-EUR,1738108800000,0.058496,0.060772,0.058323,0.059416,941676.73281688
ZRC-EUR,1738022400000,0.059081,0.062247,0.057432,0.058017,1086909.99056778
ZRC-EUR,1737936000000,0.061154,0.062493,0.055889,0.058064,1291308.08109489
ZRC-EUR,1737849600000,0.062585,0.063663,0.0619,0.062079,748976.06564104
ZRC-EUR,1737763200000,0.062105,0.063571,0.061922,0.062749,102594.74463983
ZRC-EUR,1737676800000,0.0618,0.0669,0.060635,0.062632,1938322.78994824
ZRC-EUR,1737590400000,0.061395,0.063093,0.06012,0.063,2144082.27194448
ZRC-EUR,1737504000000,0.065558,0.066233,0.06133,0.061518,1130390.50595383
ZRC-EUR,1737417600000,0.063274,0.066679,0.061153,0.065117,616804.7729165
ZRC-EUR,1737331200000,0.063615,0.068834,0.062498,0.06372,2301793.37598306
ZRC-EUR,1737244800000,0.067254,0.07009,0.061833,0.065838,2739220.04809744
ZRC-EUR,1737158400000,0.071314,0.071952,0.066417,0.067505,3493221.56335378
ZRC-EUR,1737072000000,0.068572,0.072669,0.068099,0.071511,1905489.20616275
ZRC-EUR,1736985600000,0.070064,0.070609,0.067065,0.067974,1837732.85586401
ZRC-EUR,1736899200000,0.066581,0.071159,0.064745,0.070251,3199862.49729929
ZRC-EUR,1736812800000,0.0672,0.06883,0.065709,0.067208,1156997.61914407
ZRC-EUR,1736726400000,0.065952,0.090568,0.064781,0.06759,8294676.42074187
ZRC-EUR,1736640000000,0.066191,0.066243,0.0645,0.064881,84883.17586779
ZRC-EUR,1736553600000,0.066502,0.067905,0.065621,0.066988,852022.31187167
ZRC-EUR,1736467200000,0.062917,0.068748,0.062917,0.066607,901130.70848282
ZRC-EUR,1736380800000,0.064628,0.065275,0.060835,0.0621,544440.04068102
ZRC-EUR,1736294400000,0.064398,0.068073,0.061773,0.0649,819414.81440039
ZRC-EUR,1736208000000,0.073117,0.073353,0.064157,0.06446,823116.28895519
ZRC-EUR,1736121600000,0.070988,0.07357,0.069817,0.072353,759014.93032468
ZRC-EUR,1736035200000,0.072446,0.072446,0.069955,0.071334,2401377.75063713
ZRC-EUR,1735948800000,0.071994,0.073844,0.070252,0.072951,3525186.53528839
ZRC-EUR,1735862400000,0.070797,0.072741,0.069729,0.072414,3559809.10156066
ZRC-EUR,1735776000000,0.068798,0.072,0.068633,0.070739,2781187.63398471
ZRC-EUR,1735689600000,0.067691,0.0696,0.066904,0.069343,2056822.79578215
ZRC-EUR,1735603200000,0.07081,0.07081,0.067034,0.06742,1979380.85147603
ZRC-EUR,1735516800000,0.070138,0.072883,0.068077,0.070773,4383269.09309807
ZRC-EUR,1735430400000,0.074382,0.074414,0.06952,0.070027,3624424.8610742
ZRC-EUR,1735344000000,0.071502,0.076954,0.070698,0.07444,5364837.9575162
ZRC-EUR,1735257600000,0.070041,0.073746,0.069979,0.071155,3390058.4403354
ZRC-EUR,1735171200000,0.074297,0.075008,0.068892,0.070197,3909784.8639764
ZRC-EUR,1735084800000,0.073298,0.07565,0.072184,0.074314,4806569.87235238
ZRC-EUR,1734998400000,0.071796,0.073488,0.070575,0.07332,1963290.03594024
ZRC-EUR,1734912000000,0.069529,0.073256,0.068018,0.072874,2541373.45753738
ZRC-EUR,1734825600000,0.073067,0.074043,0.068528,0.069476,2691455.55718927
ZRC-EUR,1734739200000,0.073109,0.076449,0.071082,0.072483,8352890.84483309
ZRC-EUR,1734652800000,0.065243,0.074062,0.063112,0.072992,4868521.92399178
ZRC-EUR,1734566400000,0.06902,0.071144,0.06303,0.065245,5881826.01253035
ZRC-EUR,1734480000000,0.077382,0.081281,0.066801,0.068863,10247849.32584627
ZRC-EUR,1734393600000,0.069007,0.085039,0.068534,0.07737,17500959.46762869
ZRC-EUR,1734307200000,0.069772,0.078943,0.068471,0.069549,8525025.68817929
ZRC-EUR,1734220800000,0.06415,0.070165,0.06415,0.070138,3520641.47240653
ZRC-EUR,1734134400000,0.068161,0.069746,0.06451,0.064929,1924053.14719216
ZRC-EUR,1734048000000,0.07178,0.073943,0.067721,0.068052,3395625.50720641
ZRC-EUR,1733961600000,0.07785,0.078199,0.071101,0.071805,3300896.56119963
